count,language,type
7808906,en,PER
7130595,nl,PER
4565168,es,PER
4264515,ast,PER
3133470,en,LOC
3079421,fr,PER
3012391,de,PER
2516901,sq,PER
2386865,sl,PER
2243680,ca,PER
1904988,it,PER
1590894,ceb,LOC
1548210,ga,PER
1404723,sv,PER
1376697,pt,PER
1276622,da,PER
1225725,nb,PER
983783,fi,PER
926124,nl,LOC
852543,nn,PER
850084,fr,LOC
801416,sv,LOC
788714,hu,PER
729072,pl,PER
729051,de,LOC
723842,zh,PER
703920,ru,PER
665811,cs,PER
646696,arz,PER
563426,es,LOC
550933,zh-hant,PER
525712,ar,PER
464223,ja,PER
452915,pl,LOC
420992,it,LOC
415342,gl,PER
412271,cy,PER
408280,lzh,PER
383350,pt,LOC
341221,ru,LOC
319334,ca,LOC
308758,ro,LOC
305145,ro,PER
304960,sk,PER
298411,id,PER
296258,uk,LOC
291924,zh,LOC
287568,nds,PER
287235,pt-br,PER
286083,cs,LOC
269800,eu,PER
269012,id,LOC
266649,eu,LOC
265037,ms,LOC
253578,nb,LOC
249738,ga,LOC
243867,vi,LOC
239157,en-gb,LOC
238783,fa,LOC
238523,tr,PER
232863,ast,LOC
232707,et,PER
226704,fi,LOC
224142,nn,LOC
217179,eo,PER
215284,bar,PER
209961,af,PER
205877,fa,PER
205741,sk,LOC
204810,da,LOC
204150,lb,PER
203419,co,PER
200206,hr,PER
199051,en-gb,PER
196352,sh,LOC
195853,en-ca,LOC
195185,br,PER
191174,gsw,PER
189019,war,LOC
185150,cy,LOC
183299,sr,LOC
182989,tr,LOC
182293,lt,PER
181399,an,PER
178199,hu,LOC
176997,en-ca,PER
173626,oc,LOC
172433,vi,PER
168121,oc,PER
165847,ja,LOC
164925,sco,PER
164184,rm,PER
163745,uk,PER
162971,nds-nl,PER
156720,min,PER
152391,li,PER
152115,ce,LOC
151138,sl,LOC
145392,eo,LOC
143296,sc,PER
143151,ar,LOC
141918,ms,PER
141911,vo,LOC
139825,pms,PER
139365,gd,PER
138620,wa,PER
137405,de-ch,PER
136835,vec,PER
135808,pcd,PER
135541,scn,PER
134256,vls,PER
133839,de-at,PER
132772,lij,PER
132009,is,PER
131901,mg,PER
131837,he,PER
131655,fur,PER
131169,nap,PER
128990,sw,PER
128565,pt-br,LOC
124856,gl,LOC
123205,hr,LOC
123165,zh-hans,LOC
122976,ko,PER
119493,bg,LOC
118964,sco,LOC
117750,tt,LOC
114811,azb,LOC
114256,io,PER
111792,et,LOC
111583,ia,PER
111191,ie,PER
110963,vo,PER
110925,frp,PER
109319,nrm,PER
107101,zu,PER
105807,wo,PER
105620,kg,PER
102093,lt,LOC
101792,de-ch,LOC
99994,mg,LOC
98208,sr-el,PER
