language_code,language,script_entropy
ks,Kashmiri,0.915
zgh,Standard Moroccan Berber,0.849
gom,Goan Konkani,0.816
ja,Japanese,0.792
as,Assamese,0.697
uz-cyrl,Uzbek Cyrillic alphabet,0.693
inh,Ingush,0.691
dz,Dzongkha,0.687
bgn,Western Balochi,0.678
mdf,Moksha,0.667
myv,Erzya,0.666
gom-deva,Goan Konkani in Devanagari script,0.662
ab,Abkhaz,0.661
gan-hant,traditional Gan,0.659
lbe,Lak,0.657
tt-cyrl,Tatar in Cyrillic script,0.65
krc,Karachay-Balkar,0.646
ady,Adyghe,0.643
kum,Kumyk,0.637
arc,Aramaic,0.627
ug-arab,Uyghur Arabic alphabet,0.624
kbd,Kabardian,0.619
tzm,Central Atlas Tamazight,0.611
arq,Algerian Arabic,0.601
tg-cyrl,Tajik in Cyrillic script,0.597
awa,Awadhi,0.593
tcy,Tulu,0.574
my,Burmese,0.562
ug,Uyghur,0.557
sr,Serbian,0.554
pnt,Pontic Greek,0.542
dv,Dhivehi,0.529
av,Avaric,0.528
yue,Cantonese,0.521
koi,Permyak,0.519
ota,Ottoman Turkish,0.512
kv,Komi,0.509
xal,Kalmyk Oirat,0.497
tyv,Tuvan,0.483
ko-kp,North Korean standard language,0.461
grc,Ancient Greek,0.447
pi,Pali,0.446
mni,Meitei,0.438
glk,Gilaki,0.434
bxr,Russia Buriat,0.43
tt,Tatar,0.422
shn,Shan,0.415
mnw,Mon language spelling,0.401
sat,Santali,0.382
sah,Sakha,0.379
sty,Siberian Tatar,0.377
udm,Udmurt,0.365
km,Khmer,0.362
ii,Nuosu,0.346
nod,Northern Thai,0.339
bo,Tibetan,0.337
lrc,Northern Luri,0.335
mhr,Meadow Mari,0.334
kk-kz,Kazakh in Kazakhstan,0.315
lez,Lezgian,0.279
aeb,Tunisian Arabic,0.273
rue,Rusyn,0.268
mrj,Hill Mari,0.263
sd,Sindhi,0.254
dty,Doteli,0.25
xmf,Mingrelian,0.238
aeb-arab,Tunisian Arabic in Arabic script,0.227
ku-arab,Kurdish Arabic alphabet,0.216
sa,Sanskrit,0.216
crh-cyrl,Crimean Tatar Cyrillic alphabet,0.215
os,Ossetian,0.215
mn,Mongolian,0.209
yi,Yiddish,0.197
ps,Pashto,0.192
lo,Lao,0.191
kk-cn,Kazakh in China,0.169
zh-mo,Chinese in Macau,0.159
bho,Bhojpuri,0.153
shi,Tashelhit,0.152
ike-cans,Eastern Canadian (Aboriginal syllabics),0.149
ary,Moroccan Arabic,0.144
el,Modern Greek,0.139
ru,Russian,0.129
si,Sinhala,0.125
mzn,Mazanderani,0.125
kjp,Eastern Pwo,0.122
or,Odia,0.122
got,Gothic,0.117
uk,Ukrainian,0.115
ka,Georgian,0.115
hy,Armenian,0.112
anp,Angika,0.112
mk,Macedonian,0.111
mai,Maithili,0.109
be-tarask,Taraškievica,0.1
