language,conll_type,num_docs
kum,PER,2
hu-formal,PER,2
tzm,PER,4
uz-latn,PER,5
nia,PER,1
de-formal,PER,12
ks-deva,PER,178
ks-arab,PER,177
kbd-cyrl,PER,177
tly,PER,182
ii,PER,178
bgn,PER,151
uz-cyrl,PER,1
nod,PER,170
ses,PER,165
sty,PER,6
kjp,PER,6
shy-latn,PER,18
mni,PER,12
lki,PER,823
dz,PER,198
ug-arab,PER,237
rwr,PER,162
ko-kp,PER,197
ruq,PER,1268
ike-cans,PER,611
mdf,PER,296
awa,PER,277
gan-hans,PER,394
skr-arab,PER,3
gan-hant,PER,386
nqo,PER,267
crh-cyrl,PER,186
glk,PER,430
mad,PER,1971
ks,PER,299
rmy,PER,25510
sjd,PER,326
sju,PER,590
szy,PER,626
kk-arab,PER,1633
kk-cyrl,PER,1765
kk-cn,PER,991
kv,PER,613
koi,PER,445
got,PER,23500
dv,PER,452
tk,PER,24303
iu,PER,23261
gom,PER,596
om,PER,24685
lbe,PER,233
gom-deva,PER,195
arc,PER,312
zh-my,PER,5319
sd,PER,1585
als,PER,130
cv,PER,6602
mzn,PER,2527
xal,PER,275
bpy,PER,313
bo,PER,974
lzh,PER,408652
ug,PER,762
crh,PER,549
new,PER,1149
ab,PER,416
myv,PER,2184
hak,PER,29122
am,PER,1933
gcr,PER,126
xmf,PER,2536
sms,PER,711
si,PER,2161
tay,PER,29
ff,PER,26160
tt-latn,PER,24598
haw,PER,25427
hif-latn,PER,25624
bbc-latn,PER,1449
ee,PER,33014
jut,PER,1206
kl,PER,41812
mrj,PER,568
mwl,PER,28049
egl,PER,3226
fo,PER,61932
krc,PER,251
ltg,PER,24771
anp,PER,182
shi-latn,PER,24583
qu,PER,30901
cho,PER,25712
bi,PER,26467
to,PER,25523
lfn,PER,31400
rif,PER,23361
ruq-latn,PER,24588
gan,PER,853
hsb,PER,70828
dag,PER,131
xh,PER,25306
vep,PER,25788
sli,PER,23560
grc,PER,1061
tn,PER,24839
es-419,PER,487
csb,PER,26964
pfl,PER,55341
sn,PER,25830
pag,PER,25177
shi-tfng,PER,177
sr-el,PER,98365
sk,PER,307876
ti,PER,217
lij,PER,132797
kk-kz,PER,1420
sm,PER,24851
fi,PER,989166
tpi,PER,26175
sc,PER,143346
shi,PER,622
kr,PER,24771
zu,PER,107106
tru,PER,23185
as,PER,4550
ru,PER,835084
mt,PER,60474
li,PER,152508
avk,PER,1161
nso,PER,24796
co,PER,203452
rue,PER,858
shn,PER,215
nan,PER,8767
vo,PER,112079
hr,PER,204134
ku,PER,27860
gv,PER,29296
ilo,PER,31242
de-ch,PER,137476
ki,PER,25728
gsw,PER,191460
sq,PER,2600023
