language_code	count
aa	28306
ab	588
ace	150581
aeb-arab	2610
aeb-latn	1993
af	317775
ak	30038
aln	25610
am	3644
an	287861
ang	32677
ar	756564
arc	619
arn	25652
ary	7831
arz	874811
as	3532
ast	5129753
atj	1856
av	911
avk	3176
ay	33088
az	104501
azb	202885
ba	33257
ban	8078
bar	327823
bbc	1986
bbc-latn	1991
bcl	35017
be	128965
be-tarask	64638
bg	203087
bho	6012
bi	29534
bjn	98570
bm	120340
bn	423871
bo	14090
bpy	16639
br	313911
brh	25070
bs	99511
bto	2371
bug	82420
bxr	1201
ca	2838888
cbk-zam	31143
cdo	33245
ce	207974
ceb	1678728
ch	28564
cho	28082
chr	306
chy	28421
ckb	14337
co	307444
cps	2397
cr	27617
crh	8103
crh-latn	30935
cs	1168696
csb	31351
cu	447
cv	20558
cy	639976
da	1647150
de	4262402
de-at	252105
de-ch	259169
din	972
diq	55954
dsb	69666
dtp	26277
dty	2164
dv	901
ee	35444
egl	3919
el	160849
eml	34810
en	13353129
en-ca	414333
en-gb	555687
eo	406693
es	5861033
es-419	989
et	390358
eu	581265
ext	37721
fa	517239
ff	28871
fi	1352061
fit	31427
fj	28940
fo	109395
fr	4592787
frc	96054
frp	189723
frr	76234
fur	211346
fy	64535
ga	1841210
gag	29489
gan	30721
gan-hans	30041
gd	238177
gl	604881
glk	1393
gn	30033
gom	1115
gom-latn	2258
gor	43470
got	606
grc	1271
gsw	289612
gu	23057
gv	33637
ha	39867
hak	35182
haw	29766
he	231257
hi	65964
hif	31421
hif-latn	27921
hil	3608
ho	28089
hr	362806
hrx	2294
hsb	88944
ht	66981
hu	1037085
hy	174195
hyw	5236
hz	28035
ia	209001
id	654078
ie	203445
ig	30685
ik	28342
ike-cans	24
ike-latn	27804
ilo	37832
io	211603
is	231058
it	2728196
iu	303
ja	827804
jam	121115
jbo	28736
jut	1697
jv	143560
ka	78715
kaa	29729
kab	123335
kbd	674
kbp	1601
kg	195039
ki	30566
kj	26975
kk	100154
kk-arab	45392
kk-cn	7099
kk-cyrl	46087
kk-kz	7177
kk-latn	73169
kk-tr	32898
kl	87022
km	2743
kn	28551
ko	228329
koi	951
kr	27080
krj	26967
ksh	33118
ku	42564
ku-arab	3741
ku-latn	29532
kv	868
kw	30078
ky	28262
la	141597
lad	33795
lb	320186
lez	2616
lfn	34864
lg	26957
li	235098
lij	214961
liv	2271
lki	1127
lmo	89731
ln	28840
lo	1180
loz	25047
lrc	1344
lt	306753
ltg	27519
lus	25038
luz	11808
lv	178257
lzh	415232
lzz	24966
mad	2421
mai	8785
map-bms	89596
mg	245090
mh	24713
mhr	2359
mi	46533
min	277169
mk	48940
ml	83436
mn	10731
mo	24503
mr	35354
mrj	2908
ms	434973
mt	66026
mus	27536
mwl	32181
my	7548
myv	2976
mzn	7569
na	28338
nah	32512
nan	359180
nap	217559
nb	1625436
nds	403021
nds-nl	253952
ne	15877
new	15793
ng	26719
nl	9137645
nn	1136175
nov	29852
nqo	999
nrm	198759
nso	29164
nv	29580
ny	28642
nys	5754
oc	360935
olo	4299
om	27276
or	14184
os	4808
pa	17116
pag	29357
pam	34493
pap	944103
pcd	214554
pdc	34395
pdt	27119
pfl	60323
pi	752
pih	28033
pl	1348702
pms	233504
pnb	28443
pnt	281
prg	117115
ps	4755
pt	2085441
pt-br	1726589
qu	40077
qug	25325
rgn	93894
rif	25207
rm	257393
rmf	1090
rmy	28236
rn	27497
ro	679944
roa-tara	35431
ru	1171266
rue	2900
rup	36817
ruq	1737
ruq-latn	26789
rw	29334
sa	4917
sah	3606
sat	3843
sc	247777
scn	234658
sco	300002
sd	3315
sdc	27099
se	70699
sei	25528
sg	27302
sgs	35045
sh	264989
shi	1256
shi-latn	26776
shn	1157
si	14796
simple	7243
sje	18906
sju	1089
sk	558235
sl	2639344
sli	25480
sm	28912
sma	45378
smj	20928
smn	3377
sms	1961
sn	28893
so	29639
sq	2752147
sr	248315
sr-ec	44564
sr-el	207480
srn	29947
ss	25263
st	27914
stq	34882
su	119746
sv	2420672
sw	237055
szl	39349
szy	942
ta	71525
te	46990
tet	55849
tg	74088
tg-cyrl	554
tg-latn	29248
th	78121
tk	27745
tl	154527
tn	27646
to	27641
tpi	29410
tr	480184
tru	24962
ts	27389
tt	187728
tt-cyrl	1241
tt-latn	26997
tum	27700
tw	25512
ty	72637
tyv	1042
udm	1786
ug	2544
ug-latn	26833
uk	521721
ur	118702
uz	109183
ve	27578
vec	240395
vep	31264
vi	450049
vls	224538
vmf	123547
vo	266876
vot	26620
vro	4746
wa	230066
war	238486
wo	193853
wuu	50311
xal	853
xh	28112
xmf	7758
yi	6368
yo	40399
yue	42038
za	27498
zea	36203
zh	1169154
zh-cn	145977
zh-hans	251597
zh-hant	705177
zh-hk	120423
zh-mo	8027
zh-my	37168
zh-sg	66501
zh-tw	56205
zu	202446
