language	conll_type	count
aa	LOC	421
aa	ORG	932
aa	PER	26953
ab	LOC	339
ab	ORG	42
ab	PER	207
ace	LOC	61839
ace	ORG	4432
ace	PER	84310
aeb-arab	LOC	221
aeb-arab	ORG	12
aeb-arab	PER	2377
aeb-latn	LOC	82
aeb-latn	ORG	173
aeb-latn	PER	1738
af	LOC	89863
af	ORG	10437
af	PER	217475
ak	LOC	1420
ak	ORG	909
ak	PER	27709
aln	LOC	276
aln	ORG	673
aln	PER	24661
am	LOC	1766
am	ORG	365
am	PER	1513
ang	LOC	1938
ang	ORG	1235
ang	PER	29504
an	LOC	90417
an	ORG	10532
an	PER	186912
arc	LOC	433
arc	ORG	44
arc	PER	142
ar	LOC	148825
arn	LOC	429
arn	ORG	710
arn	PER	24513
ar	ORG	60566
ar	PER	547173
ary	LOC	1974
ary	ORG	623
ary	PER	5234
arz	LOC	146405
arz	ORG	16367
arz	PER	712039
as	LOC	741
as	ORG	669
as	PER	2122
ast	LOC	236754
ast	ORG	133927
ast	PER	4759072
atj	LOC	566
atj	ORG	123
atj	PER	1167
avk	LOC	1521
avk	ORG	125
avk	PER	1530
av	LOC	698
av	ORG	56
av	PER	157
ay	LOC	3522
ay	ORG	1014
ay	PER	28552
azb	LOC	116366
azb	ORG	6683
azb	PER	79836
az	LOC	33311
az	ORG	8560
az	PER	62630
ba	LOC	23451
ban	LOC	6774
ban	ORG	250
ban	PER	1054
ba	ORG	2284
ba	PER	7522
bar	LOC	91833
bar	ORG	9351
bar	PER	226639
bbc-latn	LOC	79
bbc-latn	ORG	174
bbc-latn	PER	1738
bbc	LOC	1570
bbc	ORG	75
bbc	PER	341
bcl	LOC	4455
bcl	ORG	1312
bcl	PER	29250
be	LOC	74759
be	ORG	14298
be	PER	39908
be-tarask	LOC	34762
be-tarask	ORG	7332
be-tarask	PER	22544
bg	LOC	122483
bg	ORG	12922
bg	PER	67682
bho	LOC	3844
bho	ORG	372
bho	PER	1796
bi	LOC	1072
bi	ORG	951
bi	PER	27511
bjn	LOC	20275
bjn	ORG	824
bjn	PER	77471
bm	LOC	39277
bm	ORG	1353
bm	PER	79710
bn	LOC	50742
bn	ORG	17156
bn	PER	355973
bo	LOC	1022
bo	ORG	89
bo	PER	12979
bpy	LOC	16449
bpy	ORG	54
bpy	PER	136
brh	LOC	263
brh	ORG	602
brh	PER	24205
br	LOC	93198
br	ORG	13681
br	PER	207032
bs	LOC	23674
bs	ORG	5199
bs	PER	70638
bto	LOC	1664
bto	ORG	99
bto	PER	608
bug	LOC	29928
bug	ORG	189
bug	PER	52303
bxr	LOC	816
bxr	ORG	81
bxr	PER	304
ca	LOC	344133
ca	ORG	81439
ca	PER	2413316
cbk-zam	LOC	2901
cbk-zam	ORG	949
cbk-zam	PER	27293
cdo	LOC	4882
cdo	ORG	956
cdo	PER	27407
ceb	LOC	1628226
ceb	ORG	2623
ceb	PER	47879
ce	LOC	206016
ce	ORG	463
ce	PER	1495
ch	LOC	811
cho	LOC	419
cho	ORG	922
cho	PER	26741
ch	ORG	931
ch	PER	26822
chr	LOC	195
chr	ORG	8
chr	PER	103
chy	LOC	675
chy	ORG	935
chy	PER	26811
ckb	LOC	6364
ckb	ORG	1744
ckb	PER	6229
co	LOC	82853
co	ORG	10096
co	PER	214495
cps	LOC	1664
cps	ORG	123
cps	PER	610
crh-latn	LOC	2737
crh-latn	ORG	1052
crh-latn	PER	27146
crh	LOC	7170
crh	ORG	202
crh	PER	731
cr	LOC	350
cr	ORG	831
cr	PER	26436
csb	LOC	2259
csb	ORG	1109
csb	PER	27983
cs	LOC	292980
cs	ORG	81600
cs	PER	794116
cu	LOC	345
cu	ORG	15
cu	PER	87
cv	LOC	16050
cv	ORG	645
cv	PER	3863
cy	LOC	190453
cy	ORG	22311
cy	PER	427212
da	LOC	224793
da	ORG	60226
da	PER	1362131
de-at	LOC	98630
de-at	ORG	9806
de-at	PER	143669
de-ch	LOC	103142
de-ch	ORG	11387
de-ch	PER	144640
de	LOC	762900
de	ORG	271372
de	PER	3228130
din	LOC	168
din	ORG	112
din	PER	692
diq	LOC	19956
diq	ORG	1973
diq	PER	34025
dsb	LOC	3104
dsb	ORG	1176
dsb	PER	65386
dtp	LOC	206
dtp	ORG	709
dtp	PER	25362
dty	LOC	943
dty	ORG	205
dty	PER	1016
dv	LOC	584
dv	ORG	79
dv	PER	238
ee	LOC	536
ee	ORG	726
ee	PER	34182
egl	LOC	48
egl	ORG	300
egl	PER	3571
el	LOC	49854
el	ORG	18501
el	PER	92494
eml	LOC	1783
eml	ORG	1475
eml	PER	31552
en-ca	LOC	203841
en-ca	ORG	23810
en-ca	PER	186682
en-gb	LOC	248335
en-gb	ORG	97388
en-gb	PER	209964
en	LOC	3276811
en	ORG	1586772
en	PER	8489546
eo	LOC	148870
eo	ORG	29390
eo	PER	228433
es-419	LOC	72
es-419	ORG	265
es-419	PER	652
es	LOC	588801
es	ORG	302935
es	PER	4969297
et	LOC	115121
et	ORG	23998
et	PER	251239
eu	LOC	271784
eu	ORG	24865
eu	PER	284616
ext	LOC	1373
ext	ORG	1160
ext	PER	35188
fa	LOC	261411
fa	ORG	37243
fa	PER	218585
ff	LOC	673
ff	ORG	941
ff	PER	27257
fi	LOC	240471
fi	ORG	95194
fi	PER	1016396
fit	LOC	592
fit	ORG	1197
fit	PER	29638
fj	LOC	724
fj	ORG	951
fj	PER	27265
fo	LOC	41348
fo	ORG	3888
fo	PER	64159
frc	LOC	38654
frc	ORG	681
frc	PER	56719
fr	LOC	876849
fr	ORG	432263
fr	PER	3283675
frp	LOC	68084
frp	ORG	5951
frp	PER	115688
frr	LOC	6850
frr	ORG	1351
frr	PER	68033
fur	LOC	69028
fur	ORG	6032
fur	PER	136286
fy	LOC	7459
fy	ORG	3279
fy	PER	53797
gag	LOC	1473
gag	ORG	886
gag	PER	27130
ga	LOC	252593
gan-hans	LOC	29800
gan-hans	ORG	39
gan-hans	PER	202
gan	LOC	30050
gan	ORG	157
gan	PER	514
ga	ORG	12823
ga	PER	1575794
gd	LOC	85961
gd	ORG	7999
gd	PER	144217
glk	LOC	1164
glk	ORG	52
glk	PER	177
gl	LOC	129542
gl	ORG	23977
gl	PER	451362
gn	LOC	1585
gn	ORG	1107
gn	PER	27341
gom-latn	LOC	284
gom-latn	ORG	183
gom-latn	PER	1791
gom	LOC	382
gom	ORG	58
gom	PER	675
gor	LOC	16341
gor	ORG	239
gor	PER	26890
got	LOC	398
got	ORG	26
got	PER	182
grc	LOC	278
grc	ORG	27
grc	PER	966
gsw	LOC	84431
gsw	ORG	7565
gsw	PER	197616
gu	LOC	18170
gu	ORG	732
gu	PER	4155
gv	LOC	2032
gv	ORG	1040
gv	PER	30565
hak	LOC	4182
hak	ORG	1016
hak	PER	29984
ha	LOC	3899
ha	ORG	1345
ha	PER	34623
haw	LOC	2167
haw	ORG	1011
haw	PER	26588
he	LOC	48544
he	ORG	36955
he	PER	145758
hif-latn	LOC	323
hif-latn	ORG	923
hif-latn	PER	26675
hif	LOC	2304
hif	ORG	1207
hif	PER	27910
hil	LOC	1786
hi	LOC	29277
hil	ORG	169
hil	PER	1653
hi	ORG	8120
hi	PER	28567
ho	LOC	420
ho	ORG	921
ho	PER	26748
hr	LOC	127679
hr	ORG	22913
hr	PER	212214
hrx	LOC	81
hrx	ORG	214
hrx	PER	1999
hsb	LOC	10119
hsb	ORG	1472
hsb	PER	77353
ht	LOC	23819
ht	ORG	1605
ht	PER	41557
hu	LOC	181689
hu	ORG	44379
hu	PER	811017
hy	LOC	93119
hy	ORG	11660
hy	PER	69416
hyw	LOC	1725
hyw	ORG	895
hyw	PER	2616
hz	LOC	421
hz	ORG	921
hz	PER	26693
ia	LOC	86789
ia	ORG	6163
ia	PER	116049
id	LOC	272939
id	ORG	58960
id	PER	322179
ie	LOC	81849
ie	ORG	5907
ie	PER	115689
ig	LOC	880
ig	ORG	1298
ig	PER	28507
ike-cans	LOC	16
ike-cans	ORG	2
ike-cans	PER	6
ike-latn	LOC	340
ike-latn	ORG	881
ike-latn	PER	26583
ik	LOC	662
ik	ORG	925
ik	PER	26755
ilo	LOC	4130
ilo	ORG	1309
ilo	PER	32393
io	LOC	86475
io	ORG	6276
io	PER	118852
is	LOC	82461
is	ORG	10559
