language	F1	conll_type
th	88.157	LOC
he	82.388	LOC
ja	83.849	LOC
ko	85.005	LOC
ar	85.9	LOC
sv	97.521	LOC
ru	87.725	LOC
fa	85.405	LOC
kk	92.441	LOC
global	91.13	LOC
zu	99.257	LOC
hy	89.478	LOC
ka	87.925	LOC
tg	83.683	LOC
th	90.836	PER
he	93.501	PER
ja	89.481	PER
ko	95.375	PER
ar	92.912	PER
sv	91.963	PER
ru	89.903	PER
fa	98.862	PER
kk	87.352	PER
global	93.954	PER
zu	88.716	PER
hy	99.501	PER
ka	90.133	PER
tg	92.486	PER
th	73.962	ORG
he	73.682	ORG
ja	79.645	ORG
ko	81.452	ORG
ar	76.55	ORG
sv	80.237	ORG
ru	93.23	ORG
fa	83.385	ORG
kk	78.05	ORG
global	78.547	ORG
zu	85.255	ORG
hy	97.205	ORG
ka	82.804	ORG
tg	77.92	ORG
