F1	count
88.157	32814
82.388	48544
83.849	178308
85.005	53617
85.9	148825
97.521	835582
87.725	361767
85.405	261411
92.441	83849
99.257	84528
89.478	93119
87.925	45597
83.683	25094
90.836	28661
93.501	145758
89.481	505949
95.375	132740
92.912	547173
91.963	1486319
89.903	738983
98.862	218585
87.352	13514
88.716	111973
99.501	69416
90.133	26579
92.486	47992
73.962	16646
73.682	36955
79.645	143547
81.452	41972
76.55	60566
80.237	98771
93.23	70516
83.385	37243
78.05	2791
85.255	5945
97.205	11660
82.804	6539
77.92	1002
