count	language_code	type
8900808	en	PER
8107792	nl	PER
5093772	es	PER
4877288	ast	PER
3453377	en	LOC
3417155	fr	PER
3395748	de	PER
2787999	sq	PER
2494924	sl	PER
2483972	ca	PER
2213354	it	PER
2018939	en	ORG
1752210	pt	PER
1737970	pt-br	PER
1654432	ga	PER
1651634	ceb	LOC
1632609	sv	PER
1468934	da	PER
1357063	nb	PER
1107284	fi	PER
1014937	nl	LOC
921091	fr	LOC
910330	nn	PER
899720	pap	PER
859498	sv	LOC
825836	hu	PER
825401	pl	PER
824979	cs	PER
823326	de	LOC
788796	zh	PER
782953	ru	PER
757309	arz	PER
663863	fr	ORG
659448	es	LOC
629020	nl	ORG
574215	zh-hant	PER
562983	ar	PER
560004	gl	PER
541515	ja	PER
516539	cy	PER
478333	pl	LOC
462611	es	ORG
460676	de	ORG
442969	it	ORG
439590	it	LOC
437808	ro	PER
415757	lzh	PER
407063	pt	LOC
375778	ru	LOC
369690	id	PER
360896	bn	PER
358396	ca	LOC
352106	nan	LOC
335706	sk	PER
326608	eu	PER
318234	ro	LOC
315718	zh	LOC
312584	uk	LOC
308180	nds	PER
299839	cs	LOC
298898	nb	LOC
281896	et	PER
280351	eu	LOC
277237	id	LOC
274900	fi	LOC
272121	ms	LOC
269369	fa	LOC
264213	tr	PER
256654	ga	LOC
253587	vi	LOC
251636	en-gb	LOC
248300	pt	ORG
246178	sc	PER
245984	ce	LOC
243011	en-gb	PER
240026	ast	LOC
239611	zh	ORG
239305	eo	PER
237312	fa	PER
235918	bar	PER
235230	da	LOC
232518	nn	LOC
232477	ja	ORG
231826	sv	ORG
231600	yo	PER
225231	an	PER
222655	af	PER
222621	pl	ORG
222037	co	PER
220271	hr	PER
218475	en-ca	PER
217243	tr	LOC
215955	br	PER
215616	lb	PER
214320	ca	ORG
212157	sk	LOC
208127	sco	PER
207431	ast	ORG
206384	en-ca	LOC
202568	gsw	PER
198604	sh	LOC
193426	cy	LOC
193220	uk	PER
193119	war	LOC
192743	tt	LOC
191088	lt	PER
189117	sr	LOC
188065	ja	LOC
185408	vi	PER
184899	de-at	PER
184675	hu	LOC
184524	de-ch	PER
183538	en-gb	ORG
182786	pms	PER
181929	oc	LOC
178435	nb	ORG
178080	oc	PER
175561	arz	LOC
175061	ru	ORG
173594	rm	PER
172047	nds-nl	PER
166010	min	PER
161613	li	PER
157822	cs	ORG
157560	fi	ORG
157408	sl	LOC
157097	io	PER
156335	he	PER
155284	ms	PER
155107	hu	ORG
153667	eo	LOC
151896	ceb	ORG
151876	ar	LOC
148782	uk	ORG
148359	gd	PER
148145	wa	PER
147289	vec	PER
144976	vo	LOC
144670	pcd	PER
144581	vec	LOC
144318	scn	PER
143044	vls	PER
141800	is	PER
141471	lij	PER
140946	eu	ORG
140679	mg	PER
140316	fur	PER
140181	sw	PER
139819	nap	PER
138149	ko	PER
137866	ro	ORG
135935	da	ORG
133589	gl	LOC
132991	pt-br	LOC
129401	hr	LOC
129018	vi	ORG
127688	zh-hans	LOC
126894	id	ORG
124529	bg	LOC
124279	fa	ORG
123521	vo	PER
123110	sco	LOC
123036	eo	ORG
119804	ia	PER
119509	ie	PER
119451	frp	PER
118042	ms	ORG
117660	nrm	PER
117196	et	LOC
116132	zu	PER
115663	ar	ORG
113955	wo	PER
113730	kg	PER
111566	nan	ORG
106308	mg	LOC
105933	sr-el	PER
104841	lt	LOC
104725	tr	ORG
104451	de-ch	LOC
103648	vec	ORG
100870	zh-hant	LOC
100076	de-at	LOC
100042	lb	LOC
99106	el	PER
98043	lv	PER
97977	zh-hant	ORG
97848	sw	LOC
97359	min	LOC
96830	sr-el	LOC
96132	cy	ORG
95833	hy	LOC
95528	sk	ORG
95233	vo	ORG
95202	nn	ORG
94566	br	LOC
94132	tt	ORG
93576	nds	LOC
93241	zh-hans	ORG
93132	bar	LOC
92731	war	ORG
92497	jv	PER
91963	an	LOC
91909	en-ca	ORG
91153	zh-hans	PER
90992	af	LOC
90660	ur	LOC
89945	ce	ORG
89199	pt-br	ORG
88322	scn	LOC
87730	ia	LOC
87571	io	LOC
87567	zu	LOC
87021	gd	LOC
86873	sc	LOC
86625	kk	LOC
86294	vmf	PER
86172	ace	PER
85432	gsw	LOC
84913	tl	LOC
84847	sr	ORG
83855	co	LOC
83540	is	LOC
83152	pms	LOC
82959	ie	LOC
82641	su	PER
82578	rm	LOC
82423	jam	PER
82315	kab	PER
81794	kg	LOC
81759	bm	PER
80792	wa	LOC
80731	hsb	PER
80585	nds-nl	LOC
80018	gl	ORG
80007	vls	LOC
79482	prg	PER
79028	nrm	LOC
78945	map-bms	PER
78770	wo	LOC
78328	bjn	PER
78101	et	ORG
78041	oc	ORG
76800	be	LOC
76414	nap	LOC
76344	hr	ORG
73297	la	PER
72763	lv	LOC
72602	bs	PER
72508	zh-cn	LOC
72266	lij	LOC
72238	hy	PER
72127	li	LOC
71452	bg	PER
69837	fur	LOC
69585	frr	PER
68886	frp	LOC
68734	zh-hk	LOC
68708	pcd	LOC
68420	mg	ORG
68157	sh	ORG
67667	tl	PER
67620	ty	PER
67105	lt	ORG
66857	dsb	PER
66285	fo	PER
66115	la	LOC
65539	min	ORG
64631	az	PER
63717	lb	ORG
63656	lmo	PER
63596	sh	PER
63393	an	ORG
63338	sco	ORG
63336	de-ch	ORG
63274	mt	PER
63120	br	ORG
63084	pms	ORG
62469	ace	LOC
61905	ko	ORG
61801	ga	ORG
61119	sr-el	ORG
60336	kk	ORG
59736	scn	ORG
59482	frc	PER
59326	zh-cn	PER
59096	arz	ORG
58706	la	ORG
58532	ia	ORG
58516	nap	ORG
58493	io	ORG
58411	nds	ORG
58150	pfl	PER
57905	af	ORG
57557	ko	LOC
57484	de-at	ORG
57027	bar	ORG
56824	sw	ORG
56667	rgn	PER
56570	is	ORG
56302	he	ORG
56120	zh-hk	ORG
55994	lv	ORG
55977	co	ORG
55918	gsw	ORG
55441	sje	PER
55439	fy	PER
54080	el	LOC
54013	gd	ORG
53949	lij	ORG
53595	ie	ORG
53548	pap	LOC
53488	se	PER
53067	li	ORG
52900	zu	ORG
52837	sc	ORG
52793	bug	PER
52706	rm	ORG
51836	bn	LOC
51666	kg	ORG
51558	wa	ORG
51490	nds-nl	ORG
51465	tet	PER
51453	vls	ORG
51423	fur	ORG
51324	nrm	ORG
51303	he	LOC
50778	pcd	ORG
50760	frp	ORG
50087	wo	ORG
50077	zh-cn	ORG
49487	ceb	PER
49122	tg	PER
48739	sr	PER
47466	war	PER
46961	ka	LOC
45151	kl	PER
45091	kk-cyrl	LOC
44990	kk-latn	LOC
44667	kk-arab	LOC
44272	zh-sg	LOC
44110	sq	LOC
44095	sma	PER
43922	be	PER
43705	hy	ORG
43369	fo	ORG
42413	ht	PER
42062	kab	LOC
41869	fo	LOC
41764	sl	ORG
41708	zh-hk	PER
41628	mi	PER
41325	jam	LOC
41286	kab	ORG
41233	jam	ORG
41128	kl	ORG
40829	kl	LOC
40475	pap	ORG
39744	bm	LOC
39437	bm	ORG
39368	vmf	LOC
39292	vmf	ORG
39275	el	ORG
39119	frc	LOC
39002	prg	ORG
38974	prg	LOC
38813	rgn	LOC
38786	ta	LOC
38661	frc	ORG
38620	wuu	LOC
38563	ml	LOC
38446	rgn	ORG
38317	lfn	PER
38045	jut	PER
37347	jv	LOC
37130	bg	ORG
37022	yo	LOC
36502	ha	PER
36456	ext	PER
36173	be-tarask	LOC
35805	ur	ORG
35573	ee	PER
34793	az	LOC
34521	diq	PER
33799	th	LOC
33658	tt	PER
33634	ilo	PER
33379	pdc	PER
33025	zea	PER
33000	stq	PER
32885	eml	PER
32563	qu	PER
31955	zh-my	LOC
31876	gv	PER
31761	th	PER
31711	ksh	PER
31269	kk-latn	ORG
31116	szl	PER
31088	fit	PER
30906	be	ORG
30859	bug	LOC
30768	gan	LOC
30510	gan-hans	LOC
30497	mwl	PER
30446	kk-cyrl	ORG
30371	hi	LOC
30341	ml	PER
30316	hak	PER
30290	sr-ec	LOC
30133	kk-arab	ORG
30013	ang	PER
30001	hi	PER
29800	bcl	PER
29616	lad	PER
29531	ku	PER
29400	ig	PER
29064	ak	PER
28958	ay	PER
28846	rup	PER
28775	ta	PER
28763	pam	PER
28532	tpi	PER
28529	nah	PER
28525	fj	PER
28520	ff	PER
28505	srn	PER
28390	csb	PER
28363	kk-latn	PER
28187	bi	PER
27859	rmy	PER
27841	sgs	PER
27785	ka	PER
27780	kaa	PER
27768	gn	PER
27763	cdo	PER
27683	nov	PER
27659	cbk-zam	PER
27657	xh	PER
27571	kw	PER
27521	jbo	PER
27510	crh-latn	PER
27488	mus	PER
27481	roa-tara	PER
27481	gag	PER
27431	aa	PER
27374	zh-tw	PER
27357	pdt	PER
27248	vep	PER
27247	sn	PER
27230	gor	PER
27220	mk	LOC
27174	ch	PER
27165	chy	PER
27159	so	PER
27109	ki	PER
27104	ik	PER
27095	ho	PER
27091	cho	PER
27041	hz	PER
27028	hif-latn	PER
26994	haw	PER
26937	ike-latn	PER
26928	ln	PER
26703	cr	PER
26613	yue	PER
26595	rw	PER
26582	pih	PER
26548	pag	PER
26439	tg-latn	PER
26428	to	PER
26426	na	PER
26420	st	PER
26348	ve	PER
26279	th	ORG
