language_code	type	count	language
aa	LOC	428	Afar
aa	ORG	1030	Afar
aa	PER	27431	Afar
ab	LOC	398	Abkhaz
ab	ORG	214	Abkhaz
ab	PER	216	Abkhaz
abs	PER	2	Ambonese
ace	LOC	62469	Acehnese
ace	ORG	5265	Acehnese
ace	PER	86172	Acehnese
ady	LOC	271	Adyghe
ady	ORG	184	Adyghe
ady	PER	45	Adyghe
aeb	LOC	304	Tunisian Arabic
aeb	ORG	420	Tunisian Arabic
aeb	PER	4231	Tunisian Arabic
af	LOC	90992	Afrikaans
af	ORG	57905	Afrikaans
af	PER	222655	Afrikaans
agq	ORG	2	Aghem
ak	LOC	1755	Akan
ak	ORG	1833	Akan
ak	PER	29064	Akan
aln	LOC	281	Gheg Albanian
aln	ORG	735	Gheg Albanian
aln	PER	25004	Gheg Albanian
als	LOC	60	Swiss German
als	ORG	69	Swiss German
als	PER	104	Swiss German
alt	LOC	385	Altai
alt	ORG	77	Altai
alt	PER	70	Altai
ami	LOC	1665	Amis
ami	ORG	1512	Amis
ami	PER	39	Amis
an	LOC	91963	Aragonese
an	ORG	63393	Aragonese
an	PER	225231	Aragonese
ang	LOC	3621	Old English
ang	ORG	3551	Old English
ang	PER	30013	Old English
anp	LOC	1	Angika
anp	ORG	1	Angika
anp	PER	3	Angika
ar	LOC	151876	Arabic
ar	ORG	115663	Arabic
ar	PER	562983	Arabic
arc	LOC	447	Aramaic
arc	ORG	271	Aramaic
arc	PER	144	Aramaic
arn	LOC	441	Mapudungun
arn	ORG	915	Mapudungun
arn	PER	24882	Mapudungun
arq	LOC	131	Algerian Arabic
arq	ORG	59	Algerian Arabic
arq	PER	390	Algerian Arabic
ary	LOC	2623	Moroccan Arabic
ary	ORG	2569	Moroccan Arabic
ary	PER	5460	Moroccan Arabic
arz	LOC	175561	Egyptian Arabic
arz	ORG	59096	Egyptian Arabic
arz	PER	757309	Egyptian Arabic
as	LOC	770	Assamese
as	ORG	983	Assamese
as	PER	2461	Assamese
ase	LOC	1	American Sign Language
ase	PER	2	American Sign Language
ast	LOC	240026	Asturian
ast	ORG	207431	Asturian
ast	PER	4877288	Asturian
atj	LOC	852	Atikamekw
atj	ORG	782	Atikamekw
atj	PER	2176	Atikamekw
av	LOC	757	Avaric
av	ORG	233	Avaric
av	PER	165	Avaric
avk	LOC	1580	Kotava
avk	ORG	585	Kotava
avk	PER	1640	Kotava
awa	LOC	253	Awadhi
