	language_code	type	count
0	aa	LOC	428
1	aa	ORG	1034
2	aa	PER	27432
3	ab	LOC	398
4	ab	ORG	214
5	ab	PER	216
6	abs	PER	2
7	ace	LOC	62478
8	ace	ORG	5268
9	ace	PER	86177
10	ady	LOC	271
11	ady	ORG	184
12	ady	PER	45
13	aeb	LOC	304
14	aeb	ORG	420
15	aeb	PER	4232
16	af	LOC	91045
17	af	ORG	57996
18	af	PER	222661
19	agq	ORG	2
20	ak	LOC	1755
21	ak	ORG	1836
22	ak	PER	29065
23	aln	LOC	281
24	aln	ORG	738
25	aln	PER	25004
26	als	LOC	60
27	als	ORG	69
28	als	PER	104
29	alt	LOC	385
30	alt	ORG	77
31	alt	PER	70
32	am	LOC	1788
33	am	ORG	1165
34	am	PER	1525
35	ami	LOC	1665
36	ami	ORG	1512
37	ami	PER	39
38	an	LOC	91968
39	an	ORG	63489
40	an	PER	225235
41	ang	LOC	3622
42	ang	ORG	3556
43	ang	PER	30014
44	anp	LOC	1
45	anp	ORG	1
46	anp	PER	3
47	ar	LOC	151937
48	ar	ORG	115725
49	ar	PER	562986
50	arc	LOC	447
51	arc	ORG	271
52	arc	PER	144
53	arn	LOC	441
54	arn	ORG	918
55	arn	PER	24882
56	arq	LOC	131
57	arq	ORG	59
58	arq	PER	390
59	ary	LOC	2623
60	ary	ORG	2569
61	ary	PER	5460
62	arz	LOC	175564
63	arz	ORG	59100
64	arz	PER	757315
65	as	LOC	770
66	as	ORG	983
67	as	PER	2461
68	ase	LOC	1
69	ase	PER	2
70	ast	LOC	240104
71	ast	ORG	207795
72	ast	PER	4877542
73	atj	LOC	852
74	atj	ORG	782
75	atj	PER	2176
76	av	LOC	757
77	av	ORG	233
78	av	PER	165
79	avk	LOC	1580
80	avk	ORG	585
81	avk	PER	1640
82	awa	LOC	253
83	awa	ORG	158
84	awa	PER	135
85	ay	LOC	3564
86	ay	ORG	1551
87	ay	PER	28959
88	az	LOC	34850
89	az	ORG	15532
90	az	PER	64632
91	ba	LOC	25089
92	ba	ORG	6458
93	ba	PER	8136
94	bag	LOC	1
95	bag	ORG	1
96	ban	LOC	8756
97	ban	ORG	2124
98	ban	PER	1230
99	bar	LOC	93132
100	bar	ORG	57118
101	bar	PER	235923
102	bas	ORG	3
103	bbc	LOC	1655
104	bbc	ORG	1735
105	bbc	PER	2167
106	bcc	LOC	5
107	bcc	ORG	46
108	bcc	PER	541
109	bcl	LOC	4530
110	bcl	ORG	4691
111	bcl	PER	29801
112	be	LOC	112973
113	be	ORG	43300
114	be	PER	69977
115	bg	LOC	124556
116	bg	ORG	37177
117	bg	PER	71454
118	bgn	LOC	109
119	bgn	ORG	110
120	bh	PER	5
121	bho	LOC	3884
122	bho	ORG	933
123	bho	PER	2056
124	bi	LOC	1199
125	bi	ORG	1448
126	bi	PER	28188
127	bjn	LOC	20543
128	bjn	ORG	2612
129	bjn	PER	78330
130	bkm	ORG	1
131	bkm	PER	2
132	bm	LOC	39744
133	bm	ORG	39442
134	bm	PER	81761
135	bn	LOC	51835
136	bn	ORG	25109
137	bn	PER	360894
138	bo	LOC	3617
139	bo	ORG	3114
140	bo	PER	13162
141	bpy	LOC	16623
142	bpy	ORG	5999
143	bpy	PER	134
144	bqi	LOC	1
145	bqi	ORG	2
146	bqi	PER	3
147	br	LOC	94569
148	br	ORG	63220
149	br	PER	215959
150	brh	PER	3
151	bs	LOC	24046
152	bs	ORG	7946
153	bs	PER	72603
154	btm	PER	2
155	bto	LOC	1674
156	bto	ORG	1565
157	bto	PER	689
158	bug	LOC	30859
159	bug	ORG	16008
160	bug	PER	52795
161	bxr	LOC	835
162	bxr	ORG	508
163	bxr	PER	313
164	ca	LOC	358534
165	ca	ORG	214544
166	ca	PER	2484037
167	cbk	LOC	2928
168	cbk	ORG	3175
169	cbk	PER	27660
170	cdo	LOC	4947
171	cdo	ORG	1649
172	cdo	PER	27764
173	ce	LOC	246054
174	ce	ORG	89945
175	ce	PER	1617
176	ceb	LOC	1652513
177	ceb	ORG	151906
178	ceb	PER	49489
179	ch	LOC	823
180	ch	ORG	1389
181	ch	PER	27175
182	cho	LOC	427
183	cho	ORG	1022
184	cho	PER	27092
185	chr	LOC	235
186	chr	ORG	195
187	chr	PER	111
188	chy	LOC	690
189	chy	ORG	1210
190	chy	PER	27166
191	ckb	LOC	6683
192	ckb	ORG	3234
193	ckb	PER	6797
194	co	LOC	83856
195	co	ORG	56073
196	co	PER	222041
197	cps	LOC	1677
198	cps	ORG	1591
199	cps	PER	700
200	cr	LOC	356
201	cr	ORG	932
202	cr	PER	26704
203	crh	LOC	12368
204	crh	ORG	2377
205	crh	PER	28286
206	cs	LOC	299880
207	cs	ORG	158114
208	cs	PER	825036
209	csb	LOC	2302
210	csb	ORG	1732
211	csb	PER	28391
212	cu	LOC	381
213	cu	ORG	142
214	cu	PER	93
215	cv	LOC	17190
216	cv	ORG	2593
217	cv	PER	4919
218	cy	LOC	193431
219	cy	ORG	96233
220	cy	PER	516596
221	da	LOC	235274
222	da	ORG	136111
223	da	PER	1468960
224	dag	LOC	2341
225	dag	ORG	1686
226	dag	PER	5758
227	de	LOC	1028090
228	de	ORG	582241
229	de	PER	3765318
230	din	LOC	181
231	din	ORG	180
232	din	PER	779
233	diq	LOC	20199
234	diq	ORG	16738
235	diq	PER	34522
236	dsb	LOC	3195
237	dsb	ORG	2372
238	dsb	PER	66858
239	dtp	LOC	218
240	dtp	ORG	781
241	dtp	PER	25734
242	dty	LOC	946
243	dty	ORG	503
244	dty	PER	1022
245	dv	LOC	592
246	dv	ORG	334
247	dv	PER	248
248	dz	LOC	147
249	dz	ORG	113
250	dz	PER	20
251	ee	LOC	550
252	ee	ORG	1011
253	ee	PER	35574
254	egl	LOC	52
255	egl	ORG	334
