wikidata_id	name
Q100938408	Fort Peck Assiniboine and Sioux Tribes
Q104439864	Kewa Puebloan
Q1065583	Potawatomi
Q1074730	Chiricahua
Q108266	Navajo
Q11080868	Spink and Son
Q11117817	Madhesi tribe
Q11404539	Sōsa Hōjō no Shō
Q11452120	Kanshōfu-shō
Q11476819	Shimazu Estate
Q11577052	Tashibunosho
Q11608424	Ota-no-shō
Q1256820	Coast Miwok
Q12639337	Pascagoula
Q1286592	Estonia Piano Factory
Q14681735	Chemehuevi Indian Tribe of the Chemehuevi Reservation
Q14715170	Aroostook Band of Micmac
Q1500686	Havasupai people
Q15087899	Northwestern Band of the Shoshone Nation
Q151227	Pokanoket
Q1516298	Tulalip
Q15211891	Cowlitz Indian Tribe
Q15262399	Nisqually Indian Tribe of the Nisqually Reservation
Q1537653	Ho-Chunk
Q1570674	Halchidhoma
Q16321378	Casson
Q16932542	Navesink tribe
Q1695829	Stockbridge-Munsee Community
Q17193963	Uesugi Manshion
Q17280097	Rosebud Sioux Tribe
Q17280792	Standing Rock Sioux Tribe
Q1750007	Maricopa people
Q1754503	Quechan people
Q1783866	Kopane
Q1891996	Sinagua
Q1921340	Mercedes-Benz U.S. International
Q1936651	Hualapai
Q19509637	Tandbergs Radiofabrikk
Q1976480	Khortytsa
Q19842418	Sonofon
Q2006701	Northern Cheyenne
Q2043383	O'odham
Q210332	Haida people
Q2293341	Skykomish
Q231317	Zuni people
Q2329815	Wiyot people
Q2393129	Arizona Tewa
Q24248665	Cahto Indian Tribe of the Laytonville Rancheria
Q24256362	Round Valley Indian Tribes
Q255872	Ojibwe
Q277380	Blüthner
Q283510	Chemehuevi people
Q29982	Shanghai Broadcasting Equipment Factory
Q30258193	Mescalero Apache Tribe
Q324516	Choctaw
Q33123248	Blackfeet Nation
Q3321410	Seigneury of Villena
Q333049	Lakota people
Q341185	Achomawi
Q3502382	Nansemond
Q3508603	Minnesota Chippewa Tribe
Q3513658	Monacan people
Q356979	Ak-Chin Indian Community
Q4198190	Izhevsk Radio Factory
Q42305782	Hoopa Valley Tribe
Q42374624	Mahalasa School of Art
Q45128629	Edward Anthony & Co.
Q4669719	Absentee-Shawnee Tribe of Indians
Q4694429	Agua Caliente Band of Cahuilla Indians
Q4815786	Atikameksheng Anishnawbek First Nation
Q4821154	Augustine Band of Cahuilla Indians
Q4840420	Bad River Band of the Lake Superior Tribe of Chippewa Indians
Q48505	Luxor AB
Q4894782	Berry Creek Rancheria of Maidu Indians of California
Q492901	Pend d'Oreilles
Q4938422	Bois Forte Band of Chippewa
Q5094611	Cheyenne and Arapaho Tribes
Q5141402	Cohonina
Q5148891	Colorado River Indian Tribes
Q5159767	Confederated Tribes of the Colville Reservation
Q5169327	Coquille Indian Tribe
Q5319190	Dynatron Radio Ltd
Q5323238	EKCO
Q53950502	Pinakos Inc
Q5470818	Fort Bidwell Indian Community of the Fort Bidwell Reservation of California
Q5471623	Fort McDowell Yavapai Nation
Q56188	Chitimacha
Q5649005	Hannahville Indian Community
Q56518	Yaquina people
Q56886322	Upper Mattaponi Tribe
Q56962	Atakapa people
Q57047524	Chickahominy Tribe
Q57048756	Eastern Chickahominy
Q57061684	Fort Mojave Indian Tribe
Q57064848	Cocopah Tribe of Arizona
Q5750473	Hia C-eḍ O'odham
Q5750568	Hiawatha First Nation
Q5781300	Count of Almenara
Q58044561	The Marconi Wireless Telegraph & Signal Company
Q5900794	Hopland Band of Pomo Indians of the Hopland Rancheria
Q60403581	Gilhofer & Ranschburg. Lucerne, Suisse
Q63386746	Fort Belknap Indian Community of the Fort Belknap Reservation of Montana
Q63431585	Campo Kumeyaay Nation
Q6467824	Lac Courte Oreilles Band of Lake Superior Chippewa Indians
Q654243	Aria Satrapy
Q659307	Jicarilla Apache
Q6651681	Little River Band of Ottawa Indians
Q6879061	Mississippi Band of Choctaw Indians
Q689159	Armstrong Whitworth
Q6940348	Muscogee (Creek) Nation
Q7081622	Ojibways of the Pic River First Nation
Q71067217	Fred Parr
Q7109263	Ottawa Tribe of Oklahoma
Q7125272	Pajalat
Q7141853	Pascua Yaqui Tribe
Q7206169	Poarch Band of Creek Indians
Q7245415	Prior Radiofabrikk
Q7265832	Qahatika
Q7294310	Rappahannock Tribe
Q7312749	Renault Valladolid Factory
Q7334608	Rincon Band of Luiseño Indians
Q7375173	Royce Money
Q7414619	San Juan Southern Paiute Tribe of Arizona
Q7414787	San Manuel Band of Mission Indians
Q7449545	Seminole Tribe of Florida
Q7495566	Sherwood Valley Rancheria of Pomo Indians of California
Q7550108	Soboba Band of Luiseno Indians
Q7577890	Spirit Lake Tribe
Q7659641	Sycuan Band of the Kumeyaay Nation
Q7851995	Tule River Indian Tribe of the Tule River Reservation
Q79079399	Suomen kutomo- ja neulomo Oy
Q8050368	Yavapai-Apache Nation
Q826867	Shoalwater Bay Tribe
Q873891	Lyra Bleistift-Fabrik GmbH & Co. KG
Q88901133	Wiyot Tribe
Q918556	Pamunkey
Q947650	Osage Nation
Q992401	Brulé
