wikidata_id	name
Q102274697	Lina Fazylovna Rakhmatullina
Q10779562	Khánh Bình
Q11078338	Sogou Baike
Q11938347	Naila State
Q12290639	Petar Širilov
Q14709240	Siletz Agency Site
Q15070417	Yuri Krasnobaev
Q15357	Buton
Q15900712	Li Guangchang
Q16703248	Aleksey Krasnitsky
Q17379292	Atulananda Goswami
Q19513724	Sergei Ivanov
Q21707343	Anna Bulavkina
Q23690300	Ludovica Rampoldi
Q23786455	Volksgruppenführer
Q2395053	Paruyr Sevak
Q28855228	Eugene Warburg
Q29881616	woman from Lottum
Q3429995	Bhanumathi Ramakrishna
Q456488	Spirit Cave mummy
Q47285	J. J. Thomson
Q56072166	Fatuma Gedi
Q703390	Saxon Eastern March
Q9015213	Juan Bautista Aguirre
Q905014	indigenous peoples of the Southeastern Woodlands
Q96657756	Le Petit Théâtre du Vieux Noranda
