wikidata_id	name
Q1000076	Custom Coasters International
Q1002112	Buffaud & Robatel
Q1002154	Buffet Crampon
Q1002164	Bufori
Q1002267	Bugatti Automobili
Q1002424	Bugetta
Q1002472	Buggy Autodynamisch Centrum vehicles
Q1003606	Bulgaralpine
Q1003848	Mózes Freudiger
Q1004060	Bulgarrenault
Q100600874	J. Rinta-Jouppi
Q100701667	Max Taylor (Creepy Neighbour)
Q100717588	Amir Shpilman
Q100736514	National Digital Health Mission
Q100741879	Fing Limited
Q101061481	Steven Shankman
Q101061773	Darren G. Burton
Q101562819	2 Much
Q101564504	Covert Instruments
Q1017103	Burton
Q101755814	Aristarchus
Q1017646	Busmann
Q1017685	Busse Elektromobil-Bau
Q1018131	Butterosi
Q1019396	Bégot & Mazurie vehicles
Q1019400	Bédélia
Q1021729	Bürstner vehicles
Q1022190	China South Industries Group
Q1022344	Charron, Girardot et Voigt
Q1022383	C.V.R.
Q1022465	Richardson vehicles
Q1022493	Hugot vehicles
Q1022824	CAP
Q1023936	CN vehicles
Q1024705	Caban
Q1025605	Cafe Gerstner
Q1028142	Cambier
Q1031263	Campion Cycle Company
Q1035232	Car-Nation
Q1035510	Carbon Motors Corporation
Q1035578	Carcano
Q103841069	Turiaso
Q10389626	Vemag
Q1040139	Hitachi Rail STS
Q104215490	Rocky (South Korean Singer)
Q1042271	Inokom
Q104295373	Ulay/Abramovic
Q104298728	Cambo B. V.
Q104298738	Barbara Ciurej and Lindsay Lochman
Q104299972	O. Hisgen & Co.
Q104300565	Loopuit & Reichenfeld
Q104300571	Photoatelier Lux
Q104300587	Munnich & Ermerins
Q104300616	Nebo GmbH
Q104300627	Netherlands Dry Plate Co.
Q104301216	Schaap and Co.
Q104301379	Sportex
Q104301399	Tahbes
Q104301939	Van Dijk Foto
Q104302155	E. & C. Verschuur
Q104373098	Antony
Q104418100	Pleuger Industries
Q104434366	Dynamic Discs
Q104438464	Jeffero Chan
Q104450665	Secretário de Estado e da Guerra do Brasil
Q104450667	Secretário de Estado do Brasil
Q1045210	Carroll Shelby International
Q104522467	Lacloche Frères
Q1045282	Carrozzeria Fissore
Q1045284	Leontina vehicles
Q104528697	London Institute of World Affairs
Q104528700	Savigny-Stiftung
Q1045302	Carrozzeria Marazzi
Q1045339	Carrozzeria Ghia
Q1045890	Cartercar
Q1045931	Carthago Reisemobilbau
Q104629147	Henry Wise & Company
Q104704885	Francisca Linconao
Q104721498	Mr. Goodie
Q1051297	Subaru Corporation
Q1052715	Ceirano Fabbrica Automobili
Q1052719	Ceirano GB & C
Q10528147	Hydrolift
Q1052851	Celer vehicles
Q10535344	Inet
Q1054108	Centralne Warsztaty Samochodowe
Q1058911	Chaigneau-Brasier
Q1059098	Chainless
Q1060679	Chambers Motors
Q1061402	Gretsch
Q1062020	Changhe
Q1062829	Chapuis-Dornier
Q1065061	Jeantaud
Q1065539	Jiangling Motors
Q1065549	Charles Montier et Cie
Q1067660	Charon vehicles
Q10680692	Stockholmshem
Q1068156	Chatel-Jeannin
Q1068164	Chater-Lea
Q10685076	Scania-Bussar
Q10693341	TerhiTec Oy
Q1069840	Chenard-Walcker
Q1070822	Cheswold
Q1070913	Chevallier
Q1071347	Chevron Cars
Q1071774	Chic
Q1073188	DreamHost
Q1074705	Chiribiri
Q1078587	Rudolph Wurlitzer Company
Q1081459	Nash Motors
Q1082704	Christiane Huit
Q1082938	Christiansen
Q10832650	Vinaxuki
Q10853143	Umovie
Q1087495	Chriton vehicles
Q1088572	Chrysler Australia
Q1088671	Chrysler Europe
Q10910065	Bajaj Auto
Q1093218	Cisitalia
Q1093451	Cito Fahrradwerke
Q1093795	Austin Rover Group
Q1094693	Reva
Q1094696	Flandria
Q1096003	Janßen vehicles
Q1099064	Clavia
Q1100681	Cleveland
Q1103911	Clément vehicles
Q1104150	Coadou et Fleury
Q1105275	Cockerell
Q1106759	Coey
Q1107602	Colani vehicles
Q1107886	Colda
Q1107983	Cole Motor Car Company
Q1109854	Deliry & Fils
Q1112079	Colt Runabout
Q1112388	Columbia Automobile Company
Q1113414	Schaudel vehicles
Q1114233	Comet vehicles
Q1114905	Cativolcus
Q1117001	Great Wall Motors
Q1117972	Ford SAF
Q11190237	ammuff
Q11195088	Cup's
Q1121090	Stella vehicles
Q1121240	Xenia
Q1121351	Compañía Balear de Automóviles
Q11224956	IRis
Q1122899	Vox Amplification
Q11229355	LOOSELY
Q1123110	Duhanot vehicles
Q1123635	Lion-Peugeot
Q11245891	Seventh Tarz Armstrong
Q1124668	Popp vehicles
Q1126139	Conn-Selmer
Q1126499	Laraki
Q1126555	LDV
Q1126617	Leyland Motors
Q1128047	Constantinesco
Q1128343	CID vehicles
Q1128507	Mototri Contal
Q1128836	Spyker Cars
Q1129734	Prinetti & Stucchi
Q1129740	Mochet
Q1129747	SCAT
Q1129749	Donald Healey Motor Company
Q1129815	Cooper Steam Digger
Q1129856	HRG Engineering Company
Q1129941	Alldays & Onions
Q1129966	Shuanghuan Auto
Q1132185	Samcor
Q1132789	New-Map
Q1134163	Cornilleau
Q1134274	Cornu
Q1134481	Corona
Q1134603	Coronet vehicles
Q11356940	Sansei Technologies
Q1136056	Tofaş
Q1136528	CMN
Q1137676	Courier Car Co
Q1137690	Cournil
Q1138062	Coventry Victor
Q1138113	Covert
Q1138452	Dongfeng Motor Corporation
Q1138702	Anadolu Isuzu
Q1139117	Crawford Automobile
Q1139186	Crayford Engineering
Q1139442	Radior
Q1140388	Triumph
Q1140779	Établissements V. Couverchel, H. Croissant et Compagnie
Q1141056	Crosley
Q1141446	Derways
Q1141680	Crow-Elkhart
Q1142074	Ford Union
Q1142461	Créanche vehicles
Q1142957	Cubitt
Q1143764	Cumbria Motors
Q1144168	Nota Sports and Racing Cars
Q114421	Bell
Q1146494	Fiat Professional
Q1147362	Cycles et Automobiles C. Lefebvre et Cie
Q1147626	Gryff vehicles
Q1147707	Cygnus vehicles
Q1147736	Cyklon
Q1148478	Cyrano
Q1150534	César
Q1152155	DCA
Q1153059	Dewcar
Q1153669	DIM
Q1155609	DS-Malterre vehicles
Q11557679	Mao Hamasaki
Q1156297	D & B
