lang_code	language	is_subtag	en_wikipedia_link	wikidata_url
aa	Afar	False	https://en.wikipedia.org/wiki/Afar_language	http://www.wikidata.org/entity/Q27811
ab	Abkhaz	False	https://en.wikipedia.org/wiki/Abkhaz_language	http://www.wikidata.org/entity/Q5111
abe	Abenaki	False	https://en.wikipedia.org/wiki/Abenaki_language	http://www.wikidata.org/entity/Q197936
abq	Abaza	False	https://en.wikipedia.org/wiki/Abaza_language	http://www.wikidata.org/entity/Q27567
abs	Ambonese	False	https://en.wikipedia.org/wiki/Ambonese_Malay	http://www.wikidata.org/entity/Q3124354
ace	Acehnese	False	https://en.wikipedia.org/wiki/Acehnese_language	http://www.wikidata.org/entity/Q27683
adx	Amdo Tibetan	False	https://en.wikipedia.org/wiki/Amdo_Tibetan	http://www.wikidata.org/entity/Q56509
ady	Adyghe	False	https://en.wikipedia.org/wiki/Adyghe_language	http://www.wikidata.org/entity/Q27776
ady-cyrl	Adyghe in Cyrillic script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362980
aeb	Tunisian Arabic	False	https://en.wikipedia.org/wiki/Tunisian_Arabic	http://www.wikidata.org/entity/Q56240
aeb-arab	Tunisian Arabic in Arabic script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362981
aeb-latn	Tunisian Arabic in Latin script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362982
af	Afrikaans	False	https://en.wikipedia.org/wiki/Afrikaans	http://www.wikidata.org/entity/Q14196
agq	Aghem	False	https://en.wikipedia.org/wiki/Aghem_language	http://www.wikidata.org/entity/Q34737
ak	Akan	False	https://en.wikipedia.org/wiki/Akan_language	http://www.wikidata.org/entity/Q28026
akl	Aklan	False	https://en.wikipedia.org/wiki/Aklanon_language	http://www.wikidata.org/entity/Q8773
akz	Alabama	False	https://en.wikipedia.org/wiki/Alabama_language	http://www.wikidata.org/entity/Q1815020
aln	Gheg Albanian	False	https://en.wikipedia.org/wiki/Gheg_Albanian	http://www.wikidata.org/entity/Q181037
als	Swiss German	False	https://en.wikipedia.org/wiki/Swiss_German	http://www.wikidata.org/entity/Q387066
alt	Altai	False	https://en.wikipedia.org/wiki/Southern_Altai_language	http://www.wikidata.org/entity/Q1991779
am	Amharic	False	https://en.wikipedia.org/wiki/Amharic	http://www.wikidata.org/entity/Q28244
ami	Amis	False	https://en.wikipedia.org/wiki/Amis_language	http://www.wikidata.org/entity/Q35132
an	Aragonese	False	https://en.wikipedia.org/wiki/Aragonese_language	http://www.wikidata.org/entity/Q8765
ang	Old English	False	https://en.wikipedia.org/wiki/Old_English	http://www.wikidata.org/entity/Q42365
anp	Angika	False	https://en.wikipedia.org/wiki/Angika	http://www.wikidata.org/entity/Q28378
aoc	Pemon	False	https://en.wikipedia.org/wiki/Pemon_language	http://www.wikidata.org/entity/Q10729616
ar	Arabic	False	https://en.wikipedia.org/wiki/Arabic	http://www.wikidata.org/entity/Q13955
arc	Aramaic	False	https://en.wikipedia.org/wiki/Aramaic	http://www.wikidata.org/entity/Q28602
arn	Mapudungun	False	https://en.wikipedia.org/wiki/Mapuche_language	http://www.wikidata.org/entity/Q33730
arq	Algerian Arabic	False	https://en.wikipedia.org/wiki/Algerian_Arabic	http://www.wikidata.org/entity/Q56499
ary	Moroccan Arabic	False	https://en.wikipedia.org/wiki/Moroccan_Arabic	http://www.wikidata.org/entity/Q56426
arz	Egyptian Arabic	False	https://en.wikipedia.org/wiki/Egyptian_Arabic	http://www.wikidata.org/entity/Q29919
as	Assamese	False	https://en.wikipedia.org/wiki/Assamese_language	http://www.wikidata.org/entity/Q29401
ase	American Sign Language	False	https://en.wikipedia.org/wiki/American_Sign_Language	http://www.wikidata.org/entity/Q14759
ast	Asturian	False	https://en.wikipedia.org/wiki/Asturian_language	http://www.wikidata.org/entity/Q29507
atj	Atikamekw	False	https://en.wikipedia.org/wiki/Atikamekw_language	http://www.wikidata.org/entity/Q56590
av	Avaric	False	https://en.wikipedia.org/wiki/Avar_language	http://www.wikidata.org/entity/Q29561
avk	Kotava	False	https://en.wikipedia.org/wiki/Kotava	http://www.wikidata.org/entity/Q1377116
awa	Awadhi	False	https://en.wikipedia.org/wiki/Awadhi_language	http://www.wikidata.org/entity/Q29579
ay	Aymara	False	https://en.wikipedia.org/wiki/Aymara_language	http://www.wikidata.org/entity/Q4627
az	Azerbaijani	False	https://en.wikipedia.org/wiki/Azerbaijani_language	http://www.wikidata.org/entity/Q9292
az-cyrl	Azerbaijani in Cyrillic	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107549766
azb	South Azerbaijani	False	https://en.wikipedia.org/wiki/South_Azerbaijani_language	http://www.wikidata.org/entity/Q3449805
ba	Bashkir	False	https://en.wikipedia.org/wiki/Bashkir_language	http://www.wikidata.org/entity/Q13389
ban	Balinese	False	https://en.wikipedia.org/wiki/Balinese_language	http://www.wikidata.org/entity/Q33070
ban-bali	Balinese in Balinese script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107530457
bar	Bavarian	False	https://en.wikipedia.org/wiki/Bavarian_language	http://www.wikidata.org/entity/Q29540
bat-smg	Samogitian	True	https://en.wikipedia.org/wiki/Samogitian_dialect	http://www.wikidata.org/entity/Q213434
bbc	Toba Batak	False	https://en.wikipedia.org/wiki/Toba_Batak_language	http://www.wikidata.org/entity/Q33017
bbc-latn	Batak Toba in Latin script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362983
bcc	Southern Balochi	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q12634001
bcl	Central Bikol	False	https://en.wikipedia.org/wiki/Central_Bikol_language	http://www.wikidata.org/entity/Q33284
bdr	West Coast Bajau	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q2880037
be	Belarusian	False	https://en.wikipedia.org/wiki/Belarusian_language	http://www.wikidata.org/entity/Q9091
be-tarask	Taraškievica	True	https://en.wikipedia.org/wiki/Taraškievica	http://www.wikidata.org/entity/Q2087886
be-x-old	Taraškievica	True	https://en.wikipedia.org/wiki/Taraškievica	http://www.wikidata.org/entity/Q2087886
bej	Beja	False	https://en.wikipedia.org/wiki/Beja_language	http://www.wikidata.org/entity/Q33025
bfi	British Sign Language	False	https://en.wikipedia.org/wiki/British_Sign_Language	http://www.wikidata.org/entity/Q33000
bfq	Badaga	False	https://en.wikipedia.org/wiki/Badaga_language	http://www.wikidata.org/entity/Q33205
bg	Bulgarian	False	https://en.wikipedia.org/wiki/Bulgarian_language	http://www.wikidata.org/entity/Q7918
bgn	Western Balochi	False	https://en.wikipedia.org/wiki/Western_Baluchi_language	http://www.wikidata.org/entity/Q12645561
bh	Bhojpuri	False	https://en.wikipedia.org/wiki/Bhojpuri_language	http://www.wikidata.org/entity/Q33268
bi	Bislama	False	https://en.wikipedia.org/wiki/Bislama	http://www.wikidata.org/entity/Q35452
bjn	Banjar	False	https://en.wikipedia.org/wiki/Banjarese_language	http://www.wikidata.org/entity/Q33151
bla	Blackfoot	False	https://en.wikipedia.org/wiki/Blackfoot_language	http://www.wikidata.org/entity/Q33060
bm	Bambara	False	https://en.wikipedia.org/wiki/Bambara_language	http://www.wikidata.org/entity/Q33243
bn	Bengali	False	https://en.wikipedia.org/wiki/Bengali_language	http://www.wikidata.org/entity/Q9610
bnn	Bunun	False	https://en.wikipedia.org/wiki/Bunun_language	http://www.wikidata.org/entity/Q56505
bo	Tibetan	False	https://en.wikipedia.org/wiki/Lhasa_Tibetan	http://www.wikidata.org/entity/Q34271
bpy	Bishnupriya Manipuri	False	https://en.wikipedia.org/wiki/Bishnupriya_Manipuri_language	http://www.wikidata.org/entity/Q37059
bqi	Bakhtiari	False	https://en.wikipedia.org/wiki/Bakhtiari_dialect	http://www.wikidata.org/entity/Q257829
