lang_code	language	comment	orthography	is_subtag	en_wikipedia_link	wikidata_url
aa	Afar		Latin	FALSE	https://en.wikipedia.org/wiki/Afar_language	http://www.wikidata.org/entity/Q27811
ab	Abkhaz		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Abkhaz_language	http://www.wikidata.org/entity/Q5111
abe	Abenaki		Latin	FALSE	https://en.wikipedia.org/wiki/Abenaki_language	http://www.wikidata.org/entity/Q197936
abq	Abaza	Exiled community in Turkey uses Latin	Cyrillic	FALSE	https://en.wikipedia.org/wiki/Abaza_language	http://www.wikidata.org/entity/Q27567
abs	Ambonese	Spoken in indonesia	Latin	FALSE	https://en.wikipedia.org/wiki/Ambonese_Malay	http://www.wikidata.org/entity/Q3124354
ace	Acehnese	Historically Jawi (Arabic)	Latin	FALSE	https://en.wikipedia.org/wiki/Acehnese_language	http://www.wikidata.org/entity/Q27683
adx	Amdo Tibetan		Tibetan	FALSE	https://en.wikipedia.org/wiki/Amdo_Tibetan	http://www.wikidata.org/entity/Q56509
ady	Adyghe	Arabic, Latin hist.	Cyrillic	FALSE	https://en.wikipedia.org/wiki/Adyghe_language	http://www.wikidata.org/entity/Q27776
ady-cyrl	Adyghe in Cyrillic script		Cyrillic	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362980
aeb	Tunisian Arabic		Arabic	FALSE	https://en.wikipedia.org/wiki/Tunisian_Arabic	http://www.wikidata.org/entity/Q56240
aeb-arab	Tunisian Arabic in Arabic script		Arabic	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362981
aeb-latn	Tunisian Arabic in Latin script		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362982
af	Afrikaans		Latin	FALSE	https://en.wikipedia.org/wiki/Afrikaans	http://www.wikidata.org/entity/Q14196
agq	Aghem	Unwritten?	Latin	FALSE	https://en.wikipedia.org/wiki/Aghem_language	http://www.wikidata.org/entity/Q34737
ak	Akan		Latin	FALSE	https://en.wikipedia.org/wiki/Akan_language	http://www.wikidata.org/entity/Q28026
akl	Aklan		Latin	FALSE	https://en.wikipedia.org/wiki/Aklanon_language	http://www.wikidata.org/entity/Q8773
akz	Alabama	Native American	Latin	FALSE	https://en.wikipedia.org/wiki/Alabama_language	http://www.wikidata.org/entity/Q1815020
aln	Gheg Albanian		Latin	FALSE	https://en.wikipedia.org/wiki/Gheg_Albanian	http://www.wikidata.org/entity/Q181037
als	Swiss German		Latin	FALSE	https://en.wikipedia.org/wiki/Swiss_German	http://www.wikidata.org/entity/Q387066
alt	Altai		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Southern_Altai_language	http://www.wikidata.org/entity/Q1991779
am	Amharic		Ge'ez	FALSE	https://en.wikipedia.org/wiki/Amharic	http://www.wikidata.org/entity/Q28244
ami	Amis		Latin	FALSE	https://en.wikipedia.org/wiki/Amis_language	http://www.wikidata.org/entity/Q35132
an	Aragonese		Latin	FALSE	https://en.wikipedia.org/wiki/Aragonese_language	http://www.wikidata.org/entity/Q8765
ang	Old English		Latin	FALSE	https://en.wikipedia.org/wiki/Old_English	http://www.wikidata.org/entity/Q42365
anp	Angika		Tirhuta	FALSE	https://en.wikipedia.org/wiki/Angika	http://www.wikidata.org/entity/Q28378
aoc	Pemon		Latin	FALSE	https://en.wikipedia.org/wiki/Pemon_language	http://www.wikidata.org/entity/Q10729616
ar	Arabic		Arabic	FALSE	https://en.wikipedia.org/wiki/Arabic	http://www.wikidata.org/entity/Q13955
arc	Aramaic		Aramaic	FALSE	https://en.wikipedia.org/wiki/Aramaic	http://www.wikidata.org/entity/Q28602
arn	Mapudungun		Latin	FALSE	https://en.wikipedia.org/wiki/Mapuche_language	http://www.wikidata.org/entity/Q33730
arq	Algerian Arabic		Arabic	FALSE	https://en.wikipedia.org/wiki/Algerian_Arabic	http://www.wikidata.org/entity/Q56499
ary	Moroccan Arabic		Arabic	FALSE	https://en.wikipedia.org/wiki/Moroccan_Arabic	http://www.wikidata.org/entity/Q56426
arz	Egyptian Arabic		Arabic	FALSE	https://en.wikipedia.org/wiki/Egyptian_Arabic	http://www.wikidata.org/entity/Q29919
as	Assamese	Also latin for Nagamese Creole	Assamese	FALSE	https://en.wikipedia.org/wiki/Assamese_language	http://www.wikidata.org/entity/Q29401
ase	American Sign Language	Unwritten	Latin	FALSE	https://en.wikipedia.org/wiki/American_Sign_Language	http://www.wikidata.org/entity/Q14759
ast	Asturian		Latin	FALSE	https://en.wikipedia.org/wiki/Asturian_language	http://www.wikidata.org/entity/Q29507
atj	Atikamekw		Latin	FALSE	https://en.wikipedia.org/wiki/Atikamekw_language	http://www.wikidata.org/entity/Q56590
av	Avaric	Historically Latin	Cyrillic	FALSE	https://en.wikipedia.org/wiki/Avar_language	http://www.wikidata.org/entity/Q29561
avk	Kotava	Auxiliary language	Latin	FALSE	https://en.wikipedia.org/wiki/Kotava	http://www.wikidata.org/entity/Q1377116
awa	Awadhi		Devanagari	FALSE	https://en.wikipedia.org/wiki/Awadhi_language	http://www.wikidata.org/entity/Q29579
ay	Aymara		Latin	FALSE	https://en.wikipedia.org/wiki/Aymara_language	http://www.wikidata.org/entity/Q4627
az	Azerbaijani	Cyrillic, Arabic etc. non-official	Latin	FALSE	https://en.wikipedia.org/wiki/Azerbaijani_language	http://www.wikidata.org/entity/Q9292
az-cyrl	Azerbaijani in Cyrillic		Cyrillic	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107549766
azb	South Azerbaijani		Arabic	FALSE	https://en.wikipedia.org/wiki/South_Azerbaijani_language	http://www.wikidata.org/entity/Q3449805
ba	Bashkir		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Bashkir_language	http://www.wikidata.org/entity/Q13389
ban	Balinese		Latin	FALSE	https://en.wikipedia.org/wiki/Balinese_language	http://www.wikidata.org/entity/Q33070
ban-bali	Balinese in Balinese script		Balinese	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107530457
bar	Bavarian		Latin	FALSE	https://en.wikipedia.org/wiki/Bavarian_language	http://www.wikidata.org/entity/Q29540
bat-smg	Samogitian		Latin	TRUE	https://en.wikipedia.org/wiki/Samogitian_dialect	http://www.wikidata.org/entity/Q213434
bbc	Toba Batak		Latin, Batak	FALSE	https://en.wikipedia.org/wiki/Toba_Batak_language	http://www.wikidata.org/entity/Q33017
bbc-latn	Batak Toba in Latin script		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362983
bcc	Southern Balochi		Latin	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q12634001
bcl	Central Bikol		Latin	FALSE	https://en.wikipedia.org/wiki/Central_Bikol_language	http://www.wikidata.org/entity/Q33284
bdr	West Coast Bajau		Latin	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q2880037
be	Belarusian		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Belarusian_language	http://www.wikidata.org/entity/Q9091
be-tarask	Taraškievica		Cyrillic	TRUE	https://en.wikipedia.org/wiki/Taraškievica	http://www.wikidata.org/entity/Q2087886
be-x-old	Taraškievica		Cyrillic	TRUE	https://en.wikipedia.org/wiki/Taraškievica	http://www.wikidata.org/entity/Q2087886
bej	Beja	Both unadopted	Latin, Arabic	FALSE	https://en.wikipedia.org/wiki/Beja_language	http://www.wikidata.org/entity/Q33025
bfi	British Sign Language	Unwritten	Latin	FALSE	https://en.wikipedia.org/wiki/British_Sign_Language	http://www.wikidata.org/entity/Q33000
bfq	Badaga		Tamil, Kannada, Malayalam	FALSE	https://en.wikipedia.org/wiki/Badaga_language	http://www.wikidata.org/entity/Q33205
bg	Bulgarian		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Bulgarian_language	http://www.wikidata.org/entity/Q7918
bgn	Western Balochi		Latin	FALSE	https://en.wikipedia.org/wiki/Western_Baluchi_language	http://www.wikidata.org/entity/Q12645561
bh	Bhojpuri		Devanagari	FALSE	https://en.wikipedia.org/wiki/Bhojpuri_language	http://www.wikidata.org/entity/Q33268
bi	Bislama		Latin	FALSE	https://en.wikipedia.org/wiki/Bislama	http://www.wikidata.org/entity/Q35452
bjn	Banjar	Historically Jawi	Latin	FALSE	https://en.wikipedia.org/wiki/Banjarese_language	http://www.wikidata.org/entity/Q33151
bla	Blackfoot		Blackfoot, Latin	FALSE	https://en.wikipedia.org/wiki/Blackfoot_language	http://www.wikidata.org/entity/Q33060
bm	Bambara		Latin	FALSE	https://en.wikipedia.org/wiki/Bambara_language	http://www.wikidata.org/entity/Q33243
bn	Bengali		Bengali	FALSE	https://en.wikipedia.org/wiki/Bengali_language	http://www.wikidata.org/entity/Q9610
bnn	Bunun		Latin	FALSE	https://en.wikipedia.org/wiki/Bunun_language	http://www.wikidata.org/entity/Q56505
bo	Tibetan		Tibetan	FALSE	https://en.wikipedia.org/wiki/Lhasa_Tibetan	http://www.wikidata.org/entity/Q34271
bpy	Bishnupriya Manipuri		Bengali	FALSE	https://en.wikipedia.org/wiki/Bishnupriya_Manipuri_language	http://www.wikidata.org/entity/Q37059
