language_long	num_names
English	7808906
Dutch	7130595
Spanish	4565168
Asturian	4264515
French	3079421
German	3012391
Albanian	2516901
Slovene	2386865
Catalan	2243680
Italian	1904988
Irish	1548210
Swedish	1404723
Portuguese	1376697
Danish	1276622
Bokmål	1225725
Finnish	983783
Nynorsk	852543
Hungarian	788714
Polish	729072
Chinese	723842
Russian	703920
Czech	665811
Egyptian Arabic	646696
Traditional Chinese	550933
Arabic	525712
Japanese	464223
Galician	415342
Welsh	412271
Classical Chinese	408280
Romanian	305145
Slovak	304960
Indonesian	298411
Low German	287568
Brazilian Portuguese	287235
Basque	269800
Turkish	238523
Estonian	232707
Esperanto	217179
Bavarian	215284
Afrikaans	209961
Persian	205877
Luxembourgish	204150
Corsican	203419
Croatian	200206
British English	199051
Breton	195185
Alemannic	191174
Lithuanian	182293
Aragonese	181399
Canadian English	176997
Vietnamese	172433
Occitan	168121
Scots	164925
Romansh	164184
Ukrainian	163745
Dutch Low Saxon	162971
Minangkabau	156720
Limburgish	152391
Sardinian	143296
Malay	141918
Piedmontese	139825
Scottish Gaelic	139365
Walloon	138620
Swiss Standard German	137405
Venetian	136835
Picard	135808
Sicilian	135541
West Flemish	134256
Austrian German	133839
Ligurian	132772
Icelandic	132009
Malagasy	131901
Hebrew	131837
Friulian	131655
Neapolitan	131169
Swahili	128990
Korean	122976
Ido	114256
Interlingua	111583
Interlingue	111191
Volapük	110963
Franco-Provençal	110925
Norman	109319
Zulu	107101
Wolof	105807
Kongo	105620
Serbian written in Latin script	98208
Latvian	92283
Simplified Chinese	88574
Javanese	87240
Modern Greek	84859
Acehnese	82636
Main-Franconian	80289
South Azerbaijani	79149
Sundanese	78567
Jamaican Creole	77423
Kabyle	77308
Papiamento	76804
Bambara	76794
Banjar	75918
Banyumasan	75648
Old Prussian	74528
Upper Sorbian	70568
Bosnian	68477
North Frisian	66520
Latin	66516
Armenian	64841
Tagalog	64021
Lower Sorbian	63770
Bulgarian	63621
Faroese	61723
Lombard	61110
Maltese	60439
Bengali	60305
Serbo-Croatian	59304
Tahitian	59114
Azerbaijani	57617
Putonghua	55838
Palatinate German	55335
Louisiana French	54479
Romagnol	52714
West Frisian	52026
Buginese	51759
Tetum	49655
Northern Sami	48437
Tajik	47167
Cebuano	46441
Waray	44554
Serbian	42948
Southern Sami	41893
Greenlandic	41810
Chinese (Hong Kong)	39084
Haitian Creole	38536
Māori	37825
Belarusian	36540
Yoruba	34881
Extremaduran	33974
Uzbek	33170
Ewe	33013
Zazaki	32888
Hausa	31582
Lingua Franca Nova	31392
Ilocano	31238
Quechua	30821
Pennsylvania German	30655
Tatar	30574
Zeelandic	30541
Emilian-Romagnol	30376
Saterland Frisian	30351
Manx	29294
Ripuarian	29248
Hakka	29107
Silesian	28592
Old English	28380
Meänkieli	28152
Mirandese	28023
Judaeo-Spanish	27950
Central Bikol	27741
Aymara	27463
Kurdish	27342
Igbo	27131
Nahuatl	27113
Sranan Tongo	27060
Hindi	26996
Kazakh in Latin script	26944
Kashubian	26917
Fiji Hindi	26857
Akan Wiktionary	26550
Bislama Wiktionary	26462
Thai	26413
Gorontalo	26396
Aromanian	26372
Karakalpak	26367
Min Dong	26353
Kapampangan	26272
Guarani	26272
Novial	26216
Zamboanga Chavacano	26183
Tok Pisin	26174
Fijian	26173
Fula	26159
Crimean Tatar Latin alphabet	26089
Gagauz	26054
Lojban	26051
Afar	25921
Shona	25820
Chamorro	25788
Cheyenne	25780
Veps	25759
Gikuyu	25728
Inupiat	25725
Taiwanese Mandarin	25720
Hiri Motu	25716
Choctaw	25712
Herero	25663
Fiji Hindi in Latin script	25624
Cree Wikiquote	25615
Somali	25571
Eastern Canadian in Latin script	25538
Romani	25507
Samogitian	25468
Hawaiian	25415
Xhosa	25306
Lingala	25249
Pitkern	25167
Pangasinan	25165
Muscogee	25162
Tarantino	25147
Nauruan Wikiquote	25047
Tongan	25043
Sesotho	25040
Tajik in Latin script	25036
Kinyarwanda	24989
Plautdietsch	24979
Venda	24970
Cornish	24890
Tumbuka	24863
Samoan	24851
Tswana	24839
Kirundi	24825
Chewa	24818
Tsonga	24814
Navajo	24809
Northern Sotho	24796
Georgian	24794
Sango	24775
Kanuri	24770
Zhuang	24761
Kwanyama	24754
Tamil	24753
Latgalian	24743
Kazakh in Turkey	24732
Oromo	24681
Ndonga	24646
Tatar in Latin script	24598
Uyghur Latin alphabet	24597
Megleno-Romanian in Latin script	24588
Tachelhit in Latin script	24583
Santali	24567
Votic	24508
Malayalam	24418
Kurdish in Latin script	24367
Kadazandusun	24335
Turkmen	24251
Luganda	24208
Burmese	23965
Sassarese	23674
Gheg Albanian	23644
Seri	23608
Silesian German	23560
Gothic	23499
Mapudungun	23482
Kichwa	23388
Riffian	23361
Kinaray-a	23358
Cherokee	23269
Inuktitut	23261
Lozi	23239
Mizo	23231
Brahui language	23199
Laz	23190
Turoyo	23185
Cantonese	23042
Swazi	22911
Twi	22895
Marshallese	22648
Moldovan	22157
Lao	21654
Old Church Slavonic	21253
Urdu	19506
Singaporean Mandarin	19320
Lule Sami	19080
Pite Sami	17838
Macedonian	17574
Taraškievica	16932
Marathi	14111
Telugu	13685
Kazakh	12621
Southern Luri	11158
Serbian written in Cyrillic	10834
Eastern Punjabi	10310
Wu Chinese	9709
Odia	9125
Kannada	8616
	8454
Western Punjabi	7648
Bashkir language	7108
Simple English	6865
Mongolian	6576
Nepali	6294
Malaysian Mandarin	5178
Chinese in Macau	5142
Moroccan Arabic	5059
Sorani	5040
Assamese	4468
Gujarati	4009
Maithili	3979
Noongar	3945
Chuvash	3752
Pali	3494
Kyrgyz	3341
Emilian	3226
Yiddish	2918
Mingrelian	2483
Tunisian Arabic in Arabic script	2482
Mazanderani	2441
Livvi-Karelian	2339
Sanskrit	2310
Võro	2286
Western Armenian	2225
Chechen	2187
Sinhala	2146
Erzya	2069
Madurese	1963
Bhojpuri	1906
Pashto	1848
Kazakh in Cyrillic script	1733
Hunsrik	1707
Kazakh Arabic alphabets	1617
Livonian	1549
Goan Konkani in Latin script	1500
Amharic	1464
Batak Toba in Latin script	1449
Tunisian Arabic in Latin script	1448
