language_long	npn_baseline
global	0
Afar	0
Abkhaz	0
Ambonese	0
Acehnese	0
Adyghe	0
Adyghe in Cyrillic script	0
Tunisian Arabic	0
Tunisian Arabic in Arabic script	0
Tunisian Arabic in Latin script	0
Afrikaans	0
Akan Wiktionary	0
Gheg Albanian	0
Swiss German	0
Amharic	0
Aragonese	0
Old English	0
Angika	0
Arabic	0
Aramaic	0
Mapudungun	0
Algerian Arabic	0
Moroccan Arabic	0
Egyptian Arabic	0
Assamese	0
Asturian	0
Atikamekw	0
Avaric	0
Kotava	0
Awadhi	0
Aymara	0
Azerbaijani	0
South Azerbaijani	0
Bashkir language	0
Balinese	0
Bavarian	0
Toba Batak	0
Batak Toba in Latin script	0
Southern Balochi	0
Central Bikol	0
Belarusian	0
Taraškievica	0
Bulgarian	0
Western Balochi	0
Bhojpuri	0
Bislama Wiktionary	0
Banjar	0
Bambara	0
Bengali	0
Tibetan	0
Bishnupriya Manipuri	0
Bakhtiari	0
Breton	0
Brahui language	0
Bosnian	0
Mandailing	0
Rinconada Bikol	0
Buginese	0
Russia Buriat	0
Catalan	0
Zamboanga Chavacano	0
Min Dong	0
Chechen	0
Cebuano	0
Chamorro	0
Choctaw	0
Cherokee	0
Cheyenne	0
Sorani	0
Corsican	0
Capiznon	0
Cree Wikiquote	0
Crimean Tatar	0
Crimean Tatar Cyrillic alphabet	0
Crimean Tatar Latin alphabet	0
Czech	0
Kashubian	0
Old Church Slavonic	0
Chuvash	0
Welsh	0
Danish	0
Dagbani	0
German	0
Austrian German	0
Swiss Standard German	0
formal address in German	0
Dinka	0
Zazaki	0
Lower Sorbian	0
Kadazandusun	0
Doteli	0
Dhivehi	0
Dzongkha	0
Ewe	0
Emilian	0
Modern Greek	0
Emilian-Romagnol	0
English	0
Canadian English	0
British English	0
Esperanto	0
Spanish	0
Latin American Spanish	0
formal Spanish	0
Estonian	0
Basque	0
Extremaduran	0
Persian	0
Fula	0
Finnish	0
Meänkieli	0
Fijian	0
kven	0
Faroese	0
French	0
Louisiana French	0
Franco-Provençal	0
North Frisian	0
Friulian	0
West Frisian	0
Irish	0
Gagauz	0
Gan	0
simplified Gan	0
traditional Gan	0
Guianan Creole	0
Scottish Gaelic	0
Galician	0
Gilaki	0
Guarani	0
Goan Konkani	0
Goan Konkani in Devanagari script	0
Goan Konkani in Latin script	0
Gorontalo	0
Gothic	0
Ancient Greek	0
Alemannic	0
Gujarati	0
Manx	0
Hausa	0
Hakka	0
Hawaiian	0
Hebrew	0
Hindi	0
Fiji Hindi	0
Fiji Hindi in Latin script	0
Hiligaynon	0
Hiri Motu	0
Croatian	0
Hunsrik	0
Upper Sorbian	0
Haitian Creole	0
Hungarian	0
formal Hungarian	0
Armenian	0
Western Armenian	0
Herero	0
Interlingua	0
Indonesian	0
Interlingue	0
Igbo	0
Nuosu	0
Inupiat	0
Eastern Canadian (Aboriginal syllabics)	0
Eastern Canadian in Latin script	0
Ilocano	0
Ingush	0
Ido	0
Icelandic	0
Italian	0
Inuktitut	0
Japanese	0
Jamaican Creole	0
Lojban	0
Jutlandic	0
Javanese	0
Georgian	0
Karakalpak	0
Kabyle	0
Kabardian	0
Kabardian in Cyrillic script	0
Kabiye	0
Cape Verdean Creole	0
Kongo	0
Khowar	0
Gikuyu	0
Kirmanjki	0
Kwanyama	0
Eastern Pwo	0
Kazakh	0
Kazakh Arabic alphabets	0
Kazakh in China	0
Kazakh in Cyrillic script	0
Kazakh in Kazakhstan	0
Kazakh in Latin script	0
Kazakh in Turkey	0
Greenlandic	0
Khmer	0
Kannada	0
Korean	0
North Korean standard language	0
Permyak	0
Kanuri	0
Karachay-Balkar	0
Krio	0
Kinaray-a	0
Karelian	0
Kashmiri	0
Kashmiri in Arabic script	0
Kashmiri in Devanagari script	0
Ripuarian	0
Kurdish	0
Kurdish Arabic alphabet	0
Kurdish in Latin script	0
Kumyk	0
Komi	0
Cornish	0
Kyrgyz	0
Latin	0
Judaeo-Spanish	0
Luxembourgish	0
Lak	0
Lezgian	0
Lingua Franca Nova	0
Luganda	0
Limburgish	0
Ligurian	0
Livonian	0
Laki	0
Ladin	0
Lombard	0
Lingala	0
Lao	0
Lozi	0
Northern Luri	0
Lithuanian	0
Latgalian	0
Mizo	0
Southern Luri	0
Latvian	0
Classical Chinese	0
Laz	0
Madurese	0
Maithili	0
Banyumasan	0
Moksha	0
Malagasy	0
Marshallese	0
Meadow Mari	0
