language_long	npn_comma
global	618497
Afar	3
Abkhaz	23
Ambonese	0
Acehnese	23
Adyghe	0
Adyghe in Cyrillic script	0
Tunisian Arabic	0
Tunisian Arabic in Arabic script	0
Tunisian Arabic in Latin script	0
Afrikaans	252
Akan Wiktionary	5
Gheg Albanian	1
Swiss German	0
Amharic	0
Aragonese	121
Old English	7
Angika	0
Arabic	16
Aramaic	0
Mapudungun	0
Algerian Arabic	0
Moroccan Arabic	0
Egyptian Arabic	3
Assamese	1
Asturian	8290
Atikamekw	2
Avaric	6
Kotava	0
Awadhi	0
Aymara	3
Azerbaijani	19
South Azerbaijani	4
Bashkir language	30
Balinese	0
Bavarian	300
Toba Batak	0
Batak Toba in Latin script	0
Southern Balochi	0
Central Bikol	25
Belarusian	492
Taraškievica	12
Bulgarian	247
Western Balochi	0
Bhojpuri	1
Bislama Wiktionary	3
Banjar	8
Bambara	67
Bengali	107
Tibetan	0
Bishnupriya Manipuri	0
Bakhtiari	0
Breton	196
Brahui language	0
Bosnian	364
Mandailing	0
Rinconada Bikol	0
Buginese	4
Russia Buriat	11
Catalan	5831
Zamboanga Chavacano	4
Min Dong	3
Chechen	622
Cebuano	40
Chamorro	3
Choctaw	3
Cherokee	0
Cheyenne	3
Sorani	1
Corsican	110
Capiznon	0
Cree Wikiquote	3
Crimean Tatar	1
Crimean Tatar Cyrillic alphabet	0
Crimean Tatar Latin alphabet	4
Czech	4904
Kashubian	3
Old Church Slavonic	0
Chuvash	18
Welsh	1880
Danish	4865
Dagbani	0
German	11022
Austrian German	103
Swiss Standard German	291
formal address in German	0
Dinka	1
Zazaki	8
Lower Sorbian	24
Kadazandusun	4
Doteli	0
Dhivehi	0
Dzongkha	0
Ewe	4
Emilian	6
Modern Greek	1174
Emilian-Romagnol	7
English	56873
Canadian English	2702
British English	2796
Esperanto	408
Spanish	20459
Latin American Spanish	1
formal Spanish	0
Estonian	181
Basque	264
Extremaduran	11
Persian	23
Fula	4
Finnish	3966
Meänkieli	5
Fijian	4
kven	0
Faroese	9
French	7499
Louisiana French	68
Franco-Provençal	74
North Frisian	45
Friulian	75
West Frisian	40
Irish	236
Gagauz	4
Gan	0
simplified Gan	0
traditional Gan	0
Guianan Creole	0
Scottish Gaelic	203
Galician	1725
Gilaki	0
Guarani	3
Goan Konkani	26
Goan Konkani in Devanagari script	12
Goan Konkani in Latin script	0
Gorontalo	4
Gothic	0
Ancient Greek	1
Alemannic	334
Gujarati	4
Manx	5
Hausa	8
Hakka	4
Hawaiian	50
Hebrew	4620
Hindi	78
Fiji Hindi	2
Fiji Hindi in Latin script	3
Hiligaynon	3
Hiri Motu	3
Croatian	427
Hunsrik	0
Upper Sorbian	42
Haitian Creole	14
Hungarian	9119
formal Hungarian	0
Armenian	124
Western Armenian	3
Herero	3
Interlingua	75
Indonesian	799
Interlingue	73
Igbo	5
Nuosu	0
Inupiat	3
Eastern Canadian (Aboriginal syllabics)	1
Eastern Canadian in Latin script	3
Ilocano	13
Ingush	2
Ido	88
Icelandic	48
Italian	10921
Inuktitut	0
Japanese	55
Jamaican Creole	68
Lojban	12
Jutlandic	1
Javanese	14
Georgian	13
Karakalpak	5
Kabyle	67
Kabardian	0
Kabardian in Cyrillic script	0
Kabiye	0
Cape Verdean Creole	0
Kongo	73
Khowar	0
Gikuyu	3
Kirmanjki	0
Kwanyama	0
Eastern Pwo	0
Kazakh	192
Kazakh Arabic alphabets	0
Kazakh in China	0
Kazakh in Cyrillic script	25
Kazakh in Kazakhstan	9
Kazakh in Latin script	13
Kazakh in Turkey	8
Greenlandic	5
Khmer	1
Kannada	81
Korean	42
North Korean standard language	0
Permyak	3
Kanuri	1
Karachay-Balkar	10
Krio	0
Kinaray-a	0
Karelian	0
Kashmiri	0
Kashmiri in Arabic script	0
Kashmiri in Devanagari script	0
Ripuarian	9
Kurdish	9
Kurdish Arabic alphabet	0
Kurdish in Latin script	1
Kumyk	0
Komi	6
Cornish	4
Kyrgyz	605
Latin	73
Judaeo-Spanish	1
Luxembourgish	505
Lak	7
Lezgian	2
Lingua Franca Nova	9
Luganda	0
Limburgish	302
Ligurian	76
Livonian	0
Laki	0
Ladin	1
Lombard	13
Lingala	0
Lao	0
Lozi	0
Northern Luri	0
Lithuanian	338
Latgalian	6
Mizo	0
