language_long	npn_edit_distance
global	6104617
Afar	236
Abkhaz	179
Ambonese	0
Acehnese	947
Adyghe	29
Adyghe in Cyrillic script	3
Tunisian Arabic	14
Tunisian Arabic in Arabic script	2235
Tunisian Arabic in Latin script	54
Afrikaans	12442
Akan Wiktionary	277
Gheg Albanian	162
Swiss German	19
Amharic	1149
Aragonese	8377
Old English	462
Angika	7
Arabic	514009
Aramaic	122
Mapudungun	184
Algerian Arabic	305
Moroccan Arabic	4772
Egyptian Arabic	632088
Assamese	1613
Asturian	125580
Atikamekw	16
Avaric	115
Kotava	190
Awadhi	116
Aymara	528
Azerbaijani	20230
South Azerbaijani	76955
Bashkir language	6707
Balinese	64
Bavarian	7805
Toba Batak	5
Batak Toba in Latin script	54
Southern Balochi	5
Central Bikol	459
Belarusian	34326
Taraškievica	16189
Bulgarian	58662
Western Balochi	3
Bhojpuri	1561
Bislama Wiktionary	263
Banjar	829
Bambara	1764
Bengali	57511
Tibetan	10
Bishnupriya Manipuri	108
Bakhtiari	4
Breton	8984
Brahui language	163
Bosnian	3753
Mandailing	0
Rinconada Bikol	5
Buginese	636
Russia Buriat	279
Catalan	122914
Zamboanga Chavacano	264
Min Dong	741
Chechen	1102
Cebuano	1334
Chamorro	225
Choctaw	220
Cherokee	200
Cheyenne	224
Sorani	4496
Corsican	7289
Capiznon	9
Cree Wikiquote	223
Crimean Tatar	333
Crimean Tatar Cyrillic alphabet	11
Crimean Tatar Latin alphabet	488
Czech	87851
Kashubian	469
Old Church Slavonic	182
Chuvash	3406
Welsh	8249
Danish	85064
Dagbani	8
German	173597
Austrian German	4163
Swiss Standard German	6407
formal address in German	1
Dinka	45
Zazaki	978
Lower Sorbian	3211
Kadazandusun	166
Doteli	935
Dhivehi	211
Dzongkha	6
Ewe	1709
Emilian	51
Modern Greek	78257
Emilian-Romagnol	558
English	4775
Canadian English	5440
British English	5969
Esperanto	16398
Spanish	143819
Latin American Spanish	92
formal Spanish	5
Estonian	16006
Basque	15996
Extremaduran	487
Persian	200451
Fula	245
Finnish	65099
Meänkieli	425
Fijian	232
kven	0
Faroese	1392
French	159489
Louisiana French	1676
Franco-Provençal	2907
North Frisian	3327
Friulian	3849
West Frisian	2201
Irish	15484
Gagauz	269
Gan	5
simplified Gan	8
traditional Gan	7
Guianan Creole	38
Scottish Gaelic	4656
Galician	19326
Gilaki	157
Guarani	308
Goan Konkani	191
Goan Konkani in Devanagari script	35
Goan Konkani in Latin script	64
Gorontalo	517
Gothic	291
Ancient Greek	188
Alemannic	8889
Gujarati	3406
Manx	494
Hausa	596
Hakka	864
Hawaiian	284
Hebrew	126678
Hindi	25020
Fiji Hindi	578
Fiji Hindi in Latin script	219
Hiligaynon	22
Hiri Motu	222
Croatian	13758
Hunsrik	58
Upper Sorbian	4001
Haitian Creole	1577
Hungarian	57793
formal Hungarian	0
Armenian	62303
Western Armenian	2119
Herero	222
Interlingua	3036
Indonesian	16374
Interlingue	2857
Igbo	342
Nuosu	4
Inupiat	221
Eastern Canadian (Aboriginal syllabics)	15
Eastern Canadian in Latin script	222
Ilocano	680
Ingush	44
Ido	3931
Icelandic	5896
Italian	129331
Inuktitut	214
Japanese	14110
Jamaican Creole	1880
Lojban	267
Jutlandic	77
Javanese	2169
Georgian	22707
Karakalpak	305
Kabyle	2018
Kabardian	102
Kabardian in Cyrillic script	4
Kabiye	93
Cape Verdean Creole	6
Kongo	2646
Khowar	6
Gikuyu	229
Kirmanjki	5
Kwanyama	208
Eastern Pwo	1
Kazakh	11622
Kazakh Arabic alphabets	1297
Kazakh in China	730
Kazakh in Cyrillic script	1380
Kazakh in Kazakhstan	729
Kazakh in Latin script	1486
Kazakh in Turkey	871
Greenlandic	668
Khmer	388
Kannada	7621
Korean	94463
North Korean standard language	7
Permyak	84
Kanuri	209
Karachay-Balkar	55
Krio	6
Kinaray-a	157
Karelian	5
Kashmiri	107
Kashmiri in Arabic script	5
Kashmiri in Devanagari script	5
Ripuarian	483
Kurdish	1327
Kurdish Arabic alphabet	693
Kurdish in Latin script	454
Kumyk	1
Komi	169
Cornish	408
Kyrgyz	2689
Latin	23838
Judaeo-Spanish	454
Luxembourgish	7840
Lak	42
Lezgian	787
Lingua Franca Nova	401
Luganda	204
Limburgish	4657
Ligurian	4082
Livonian	56
Laki	69
Ladin	43
Lombard	2657
Lingala	340
Lao	511
Lozi	153
Northern Luri	222
Lithuanian	13077
Latgalian	271
Mizo	151
Southern Luri	64
Latvian	20535
Classical Chinese	136
Laz	155
Madurese	18
Maithili	3593
Banyumasan	817
Moksha	73
Malagasy	5577
Marshallese	169
Meadow Mari	525
Māori	430
Minangkabau	3348
Macedonian	16382
Malayalam	22501
Mongolian	5769
Meitei	10
Mon language spelling	22
Moldovan	281
Marathi	13224
Hill Mari	158
Malay	5592
Maltese	3295
Muscogee	213
Mirandese	542
Burmese	1549
Erzya	627
Mazanderani	2053
Nauruan Wikiquote	225
Nahuatl	383
Southern Min	3663
Neapolitan	3717
Bokmål	93161
Low German	12703
Dutch Low Saxon	6664
Nepali	5770
Newar	771
Ndonga	206
Nias	0
Niuean	6
Dutch	357349
informal Dutch	1
Nynorsk	54264
Norwegian	10
Northern Thai	6
Novial	303
N'Ko	253
Norman	2801
Northern Sotho	214
Navajo	232
Chewa	228
Noongar	140
Occitan	6223
Livvi-Karelian	167
Oromo	260
Odia	8551
Ossetian	542
Ottoman Turkish	41
Eastern Punjabi	9551
Pangasinan	246
Kapampangan	360
Papiamento	2048
Picard	3913
Pennsylvania German	474
Plautdietsch	255
Palatinate German	2813
Pali	160
Pitkern	234
Polish	99229
Piedmontese	4909
Western Punjabi	6957
Pontic Greek	106
Old Prussian	1730
Pashto	1556
Portuguese	107420
Brazilian Portuguese	21358
Quechua	1345
Kichwa	158
Romagnol	1596
Riffian	156
Romansh	4061
Finnish Kalo	17
Romani	300
Kirundi	210
Romanian	18351
Tarantino	245
Russian	684792
Rusyn	552
Aromanian	334
Megleno-Romanian	71
Megleno-Romanian in Cyrillic script	4
Megleno-Romanian in Latin script	203
Kinyarwanda	244
Marwari (India)	4
Sanskrit	1635
Sakha	905
Santali	1454
Sardinian	4202
Sicilian	4922
Scots	5696
Sindhi	1069
Sassarese	157
Southern Kurdish	3
Northern Sami	796
Seri	165
Koyraboro Senni	3
Sango	212
Samogitian	734
Serbo-Croatian	7920
Tashelhit	27
Tachelhit in Latin script	203
Tachelhit in Tifinagh script	4
Shan	26
Shawiya in Latin script	13
Sinhala	1729
Simple English	327
Kildin Sami	324
Pite Sami	355
Ume Sami	24
Slovak	18805
Saraiki	21
Saraiki in Arabic script	3
Slovene	87652
Silesian German	157
Samoan	236
Southern Sami	555
Lule Sami	408
Inari Sami	50
Skolt Sami	33
Shona	236
Somali	522
Albanian	180286
Serbian	39481
Serbian written in Cyrillic	10022
Serbian written in Latin script	8911
Sranan Tongo	521
Sirionó	6
Swazi	192
Sesotho	224
Saterland Frisian	484
Siberian Tatar	6
Sundanese	1106
Swedish	98325
Swahili	5610
Silesian	485
Sakizaya	56
Tamil	22542
Atayal	1
Tulu	315
Telugu	12069
Tetum	669
Tajik	45149
Tajik in Cyrillic script	109
Tajik in Latin script	585
Thai	21651
Tigrinya	26
Turkmen	628
Tagalog	3923
Talysh	6
Tswana	222
Tongan	263
Tok Pisin	232
Turkish	19679
Turoyo	154
Tsonga	214
Tatar	9013
Tatar in Cyrillic script	631
Tatar in Latin script	213
Tumbuka	212
Twi	197
Tahitian	958
Tuvan	703
Central Atlas Tamazight	2
Udmurt	238
Uyghur	466
Uyghur Arabic alphabet	65
Uyghur Latin alphabet	210
Ukrainian	155758
Urdu	17962
Uzbek	3465
Uzbek Cyrillic alphabet	0
Uzbek Latin alphabet	1
Venda	217
Venetian	4300
Veps	1003
Vietnamese	15879
West Flemish	4072
Main-Franconian	2041
Volapük	2994
Votic	207
Võro	265
Walloon	4518
Waray	1035
Wolof	2609
Wu Chinese	288
Kalmyk Oirat	73
Xhosa	274
Mingrelian	2206
Yiddish	2598
Yoruba	1496
Cantonese	191
Zhuang	273
Zeelandic	545
Standard Moroccan Berber	3
Chinese	5007
Putonghua	1217
Simplified Chinese	243
Traditional Chinese	1889
Chinese (Hong Kong)	36
Chinese in Macau	7
Malaysian Mandarin	6
Singaporean Mandarin	9
Taiwanese Mandarin	113
Zulu	2638
