language_long	npn_remove_parenthesis
global	402399
Afar	3
Abkhaz	3
Ambonese	0
Acehnese	22
Adyghe	0
Adyghe in Cyrillic script	0
Tunisian Arabic	0
Tunisian Arabic in Arabic script	5
Tunisian Arabic in Latin script	0
Afrikaans	2241
Akan Wiktionary	5
Gheg Albanian	0
Swiss German	4
Amharic	3
Aragonese	232
Old English	0
Angika	0
Arabic	4461
Aramaic	1
Mapudungun	0
Algerian Arabic	0
Moroccan Arabic	6
Egyptian Arabic	8258
Assamese	10
Asturian	767
Atikamekw	0
Avaric	0
Kotava	8
Awadhi	3
Aymara	0
Azerbaijani	370
South Azerbaijani	4077
Bashkir language	66
Balinese	2
Bavarian	332
Toba Batak	0
Batak Toba in Latin script	0
Southern Balochi	0
Central Bikol	12
Belarusian	92
Taraškievica	48
Bulgarian	2381
Western Balochi	0
Bhojpuri	10
Bislama Wiktionary	0
Banjar	19
Bambara	1
Bengali	552
Tibetan	0
Bishnupriya Manipuri	1
Bakhtiari	0
Breton	114
Brahui language	0
Bosnian	51
Mandailing	0
Rinconada Bikol	0
Buginese	17
Russia Buriat	0
Catalan	3619
Zamboanga Chavacano	0
Min Dong	0
Chechen	8
Cebuano	10
Chamorro	0
Choctaw	0
Cherokee	0
Cheyenne	0
Sorani	13
Corsican	94
Capiznon	0
Cree Wikiquote	0
Crimean Tatar	1
Crimean Tatar Cyrillic alphabet	0
Crimean Tatar Latin alphabet	2
Czech	16463
Kashubian	0
Old Church Slavonic	0
Chuvash	38
Welsh	224
Danish	6821
Dagbani	0
German	4323
Austrian German	110
Swiss Standard German	218
formal address in German	1
Dinka	1
Zazaki	43
Lower Sorbian	207
Kadazandusun	0
Doteli	0
Dhivehi	9
Dzongkha	0
Ewe	2
Emilian	0
Modern Greek	389
Emilian-Romagnol	7
English	55873
Canadian English	115
British English	154
Esperanto	1064
Spanish	6825
Latin American Spanish	1
formal Spanish	0
Estonian	464
Basque	282
Extremaduran	2
Persian	2086
Fula	1
Finnish	7088
Meänkieli	1
Fijian	0
kven	0
Faroese	14
French	2548
Louisiana French	1
Franco-Provençal	5
North Frisian	252
Friulian	9
West Frisian	129
Irish	74
Gagauz	0
Gan	0
simplified Gan	0
traditional Gan	0
Guianan Creole	3
Scottish Gaelic	18
Galician	757
Gilaki	1
Guarani	1
Goan Konkani	2
Goan Konkani in Devanagari script	0
Goan Konkani in Latin script	0
Gorontalo	1
Gothic	1
Ancient Greek	0
Alemannic	308
Gujarati	10
Manx	9
Hausa	14
Hakka	2
Hawaiian	50
Hebrew	728
Hindi	312
Fiji Hindi	8
Fiji Hindi in Latin script	0
Hiligaynon	0
Hiri Motu	0
Croatian	219
Hunsrik	0
Upper Sorbian	210
Haitian Creole	129
Hungarian	7747
formal Hungarian	0
Armenian	398
Western Armenian	29
Herero	0
Interlingua	11
Indonesian	1173
Interlingue	6
Igbo	4
Nuosu	0
Inupiat	0
Eastern Canadian (Aboriginal syllabics)	0
Eastern Canadian in Latin script	0
Ilocano	2
Ingush	0
Ido	5
Icelandic	31
Italian	4700
Inuktitut	0
Japanese	12539
Jamaican Creole	2
Lojban	0
Jutlandic	0
Javanese	36
Georgian	601
Karakalpak	0
Kabyle	2
Kabardian	0
Kabardian in Cyrillic script	0
Kabiye	0
Cape Verdean Creole	0
Kongo	2
Khowar	0
Gikuyu	0
Kirmanjki	0
Kwanyama	0
Eastern Pwo	0
Kazakh	62
Kazakh Arabic alphabets	1
Kazakh in China	1
Kazakh in Cyrillic script	1
Kazakh in Kazakhstan	1
Kazakh in Latin script	1
Kazakh in Turkey	1
Greenlandic	1
Khmer	2
Kannada	51
Korean	1920
