language_long	npn_remove_parenthesis_permute_comma
global	1002252
Afar	6
Abkhaz	26
Ambonese	0
Acehnese	45
Adyghe	0
Adyghe in Cyrillic script	0
Tunisian Arabic	0
Tunisian Arabic in Arabic script	5
Tunisian Arabic in Latin script	0
Afrikaans	2443
Akan Wiktionary	10
Gheg Albanian	1
Swiss German	4
Amharic	3
Aragonese	340
Old English	7
Angika	0
Arabic	4476
Aramaic	1
Mapudungun	0
Algerian Arabic	0
Moroccan Arabic	6
Egyptian Arabic	8261
Assamese	11
Asturian	8933
Atikamekw	2
Avaric	6
Kotava	8
Awadhi	3
Aymara	3
Azerbaijani	386
South Azerbaijani	4081
Bashkir language	96
Balinese	2
Bavarian	614
Toba Batak	0
Batak Toba in Latin script	0
Southern Balochi	0
Central Bikol	37
Belarusian	581
Taraškievica	60
Bulgarian	2607
Western Balochi	0
Bhojpuri	11
Bislama Wiktionary	3
Banjar	27
Bambara	68
Bengali	627
Tibetan	0
Bishnupriya Manipuri	1
Bakhtiari	0
Breton	309
Brahui language	0
Bosnian	412
Mandailing	0
Rinconada Bikol	0
Buginese	21
Russia Buriat	11
Catalan	9401
Zamboanga Chavacano	4
Min Dong	3
Chechen	628
Cebuano	49
Chamorro	3
Choctaw	3
Cherokee	0
Cheyenne	3
Sorani	14
Corsican	200
Capiznon	0
Cree Wikiquote	3
Crimean Tatar	2
Crimean Tatar Cyrillic alphabet	0
Crimean Tatar Latin alphabet	6
Czech	19396
Kashubian	3
Old Church Slavonic	0
Chuvash	56
Welsh	2099
Danish	11576
Dagbani	0
German	14911
Austrian German	204
Swiss Standard German	488
formal address in German	1
Dinka	2
Zazaki	50
Lower Sorbian	222
Kadazandusun	4
Doteli	0
Dhivehi	9
Dzongkha	0
Ewe	6
Emilian	6
Modern Greek	1558
Emilian-Romagnol	14
English	111324
Canadian English	2806
British English	2938
Esperanto	1461
Spanish	27042
Latin American Spanish	2
formal Spanish	0
Estonian	636
Basque	545
Extremaduran	13
Persian	2109
Fula	5
Finnish	10437
Meänkieli	6
Fijian	4
kven	0
Faroese	23
French	9839
Louisiana French	69
Franco-Provençal	79
North Frisian	285
Friulian	84
West Frisian	167
Irish	309
Gagauz	4
Gan	0
simplified Gan	0
traditional Gan	0
Guianan Creole	3
Scottish Gaelic	221
Galician	2336
Gilaki	1
Guarani	4
Goan Konkani	28
Goan Konkani in Devanagari script	12
Goan Konkani in Latin script	0
Gorontalo	5
Gothic	1
Ancient Greek	1
Alemannic	627
Gujarati	14
Manx	14
Hausa	22
Hakka	6
Hawaiian	51
Hebrew	5278
Hindi	375
Fiji Hindi	10
Fiji Hindi in Latin script	3
Hiligaynon	3
Hiri Motu	3
Croatian	644
Hunsrik	0
Upper Sorbian	243
Haitian Creole	137
Hungarian	15774
formal Hungarian	0
Armenian	511
Western Armenian	32
Herero	3
Interlingua	86
Indonesian	1953
Interlingue	79
Igbo	9
Nuosu	0
Inupiat	3
Eastern Canadian (Aboriginal syllabics)	1
