language_long	num_permuted_baseline	num_permuted_comma	num_permuted_edit_distance	num_permuted_remove_parenthesis	num_permuted_remove_parenthesis_permute_comma
global	0	618497	702548	402399	1002252
Afar	0	3	21	3	6
Abkhaz	0	23	30	3	26
Ambonese	0	0	0	0	0
Acehnese	0	23	107	22	45
Adyghe	0	0	11	0	0
Adyghe in Cyrillic script	0	0	0	0	0
Tunisian Arabic	0	0	0	0	0
Tunisian Arabic in Arabic script	0	0	105	5	5
Tunisian Arabic in Latin script	0	0	3	0	0
Afrikaans	0	252	456	2241	2443
Akan Wiktionary	0	5	23	5	10
Gheg Albanian	0	1	16	0	1
Swiss German	0	0	2	4	4
Amharic	0	0	168	3	3
Aragonese	0	121	355	232	340
Old English	0	7	88	0	7
Angika	0	0	0	0	0
Arabic	0	16	9024	4461	4476
Aramaic	0	0	18	1	1
Mapudungun	0	0	27	0	0
Algerian Arabic	0	0	10	0	0
Moroccan Arabic	0	0	120	6	6
Egyptian Arabic	0	3	7709	8258	8261
Assamese	0	1	37	10	11
Asturian	0	8290	9237	767	8933
Atikamekw	0	2	0	0	2
Avaric	0	6	20	0	6
Kotava	0	0	9	8	8
Awadhi	0	0	1	3	3
Aymara	0	3	30	0	3
Azerbaijani	0	19	1408	370	386
South Azerbaijani	0	4	3584	4077	4081
Bashkir language	0	30	4774	66	96
Balinese	0	0	4	2	2
Bavarian	0	300	321	332	614
Toba Batak	0	0	0	0	0
Batak Toba in Latin script	0	0	3	0	0
Southern Balochi	0	0	0	0	0
Central Bikol	0	25	37	12	37
Belarusian	0	492	2865	92	581
Taraškievica	0	12	208	48	60
Bulgarian	0	247	2135	2381	2607
Western Balochi	0	0	0	0	0
Bhojpuri	0	1	23	10	11
Bislama Wiktionary	0	3	21	0	3
Banjar	0	8	98	19	27
Bambara	0	67	60	1	68
Bengali	0	107	934	552	627
Tibetan	0	0	1	0	0
Bishnupriya Manipuri	0	0	7	1	1
Bakhtiari	0	0	0	0	0
Breton	0	196	460	114	309
Brahui language	0	0	17	0	0
Bosnian	0	364	242	51	412
Mandailing	0	0	0	0	0
Rinconada Bikol	0	0	0	0	0
Buginese	0	4	75	17	21
Russia Buriat	0	11	48	0	11
Catalan	0	5831	8245	3619	9401
Zamboanga Chavacano	0	4	26	0	4
Min Dong	0	3	136	0	3
Chechen	0	622	669	8	628
Cebuano	0	40	88	10	49
Chamorro	0	3	21	0	3
Choctaw	0	3	21	0	3
Cherokee	0	0	22	0	0
Cheyenne	0	3	21	0	3
Sorani	0	1	138	13	14
Corsican	0	110	278	94	200
Capiznon	0	0	0	0	0
Cree Wikiquote	0	3	21	0	3
Crimean Tatar	0	1	32	1	2
Crimean Tatar Cyrillic alphabet	0	0	0	0	0
Crimean Tatar Latin alphabet	0	4	50	2	6
Czech	0	4904	5001	16463	19396
Kashubian	0	3	30	0	3
Old Church Slavonic	0	0	23	0	0
Chuvash	0	18	2582	38	56
Welsh	0	1880	622	224	2099
Danish	0	4865	4777	6821	11576
Dagbani	0	0	1	0	0
German	0	11022	11670	4323	14911
Austrian German	0	103	191	110	204
Swiss Standard German	0	291	402	218	488
formal address in German	0	0	0	1	1
Dinka	0	1	2	1	2
Zazaki	0	8	58	43	50
Lower Sorbian	0	24	125	207	222
Kadazandusun	0	4	18	0	4
Doteli	0	0	7	0	0
Dhivehi	0	0	9	9	9
Dzongkha	0	0	0	0	0
Ewe	0	4	65	2	6
Emilian	0	6	2	0	6
Modern Greek	0	1174	3793	389	1558
Emilian-Romagnol	0	7	37	7	14
English	0	56873	4775	55873	111324
Canadian English	0	2702	250	115	2806
British English	0	2796	303	154	2938
Esperanto	0	408	1481	1064	1461
Spanish	0	20459	12034	6825	27042
Latin American Spanish	0	1	26	1	2
formal Spanish	0	0	0	0	0
Estonian	0	181	672	464	636
Basque	0	264	681	282	545
Extremaduran	0	11	33	2	13
Persian	0	23	3755	2086	2109
Fula	0	4	22	1	5
Finnish	0	3966	2400	7088	10437
Meänkieli	0	5	23	1	6
Fijian	0	4	22	0	4
kven	0	0	0	0	0
Faroese	0	9	64	14	23
French	0	7499	10769	2548	9839
Louisiana French	0	68	40	1	69
Franco-Provençal	0	74	103	5	79
North Frisian	0	45	133	252	285
Friulian	0	75	140	9	84
West Frisian	0	40	147	129	167
Irish	0	236	1161	74	309
Gagauz	0	4	21	0	4
Gan	0	0	0	0	0
simplified Gan	0	0	0	0	0
traditional Gan	0	0	0	0	0
Guianan Creole	0	0	2	3	3
Scottish Gaelic	0	203	183	18	221
Galician	0	1725	1425	757	2336
Gilaki	0	0	5	1	1
Guarani	0	3	26	1	4
