language_long	num_surviving_baseline	num_surviving_comma	num_surviving_edit_distance	num_surviving_remove_parenthesis	num_surviving_remove_parenthesis_permute_comma
global	71241097	70622600	70538549	70838566	70238713
Afar	25921	25918	25900	25918	25915
Abkhaz	386	363	356	383	360
Ambonese	3	3	3	3	3
Acehnese	82636	82613	82529	82614	82591
Adyghe	189	189	178	189	189
Adyghe in Cyrillic script	151	151	151	151	151
Tunisian Arabic	163	163	163	163	163
Tunisian Arabic in Arabic script	2482	2482	2377	2477	2477
Tunisian Arabic in Latin script	1448	1448	1445	1448	1448
Afrikaans	209961	209709	209505	207719	207517
Akan Wiktionary	26550	26545	26527	26545	26540
Gheg Albanian	23644	23643	23628	23644	23643
Swiss German	130	130	128	126	126
Amharic	1464	1464	1296	1461	1461
Aragonese	181399	181278	181044	181166	181058
Old English	28380	28373	28292	28380	28373
Angika	182	182	182	182	182
Arabic	525712	525696	516688	521251	521236
Aramaic	312	312	294	311	311
Mapudungun	23482	23482	23455	23482	23482
Algerian Arabic	463	463	453	463	463
Moroccan Arabic	5059	5059	4939	5053	5053
Egyptian Arabic	646696	646693	638987	638438	638435
Assamese	4468	4467	4431	4458	4457
Asturian	4264515	4256225	4255278	4263747	4255581
Atikamekw	778	776	778	778	776
Avaric	345	339	325	345	339
Kotava	1146	1146	1137	1138	1138
Awadhi	277	277	276	274	274
Aymara	27463	27460	27433	27463	27460
Azerbaijani	57617	57598	56209	57247	57231
South Azerbaijani	79149	79145	75565	75072	75068
Bashkir language	7108	7078	2334	7042	7012
Balinese	639	639	635	637	637
Bavarian	215284	214984	214963	214951	214669
Toba Batak	285	285	285	285	285
Batak Toba in Latin script	1449	1449	1446	1449	1449
Southern Balochi	189	189	189	189	189
Central Bikol	27741	27716	27704	27729	27704
Belarusian	36540	36048	33675	36448	35959
Taraškievica	16932	16920	16724	16884	16872
Bulgarian	63621	63374	61486	61238	61012
Western Balochi	151	151	151	151	151
Bhojpuri	1906	1905	1883	1896	1895
Bislama Wiktionary	26462	26459	26441	26462	26459
Banjar	75918	75910	75820	75899	75891
Bambara	76794	76727	76734	76792	76725
Bengali	60305	60198	59371	59753	59678
Tibetan	967	967	966	967	967
Bishnupriya Manipuri	308	308	301	307	307
Bakhtiari	190	190	190	190	190
