language_long	num_permuted_baseline	num_surviving_baseline
global	0	71241097
Afar	0	25921
Abkhaz	0	386
Ambonese	0	3
Acehnese	0	82636
Adyghe	0	189
Adyghe in Cyrillic script	0	151
Tunisian Arabic	0	163
Tunisian Arabic in Arabic script	0	2482
Tunisian Arabic in Latin script	0	1448
Afrikaans	0	209961
Akan Wiktionary	0	26550
Gheg Albanian	0	23644
Swiss German	0	130
Amharic	0	1464
Aragonese	0	181399
Old English	0	28380
Angika	0	182
Arabic	0	525712
Aramaic	0	312
Mapudungun	0	23482
Algerian Arabic	0	463
Moroccan Arabic	0	5059
Egyptian Arabic	0	646696
Assamese	0	4468
Asturian	0	4264515
Atikamekw	0	778
Avaric	0	345
Kotava	0	1146
Awadhi	0	277
Aymara	0	27463
Azerbaijani	0	57617
South Azerbaijani	0	79149
Bashkir language	0	7108
Balinese	0	639
Bavarian	0	215284
Toba Batak	0	285
Batak Toba in Latin script	0	1449
Southern Balochi	0	189
Central Bikol	0	27741
Belarusian	0	36540
Taraškievica	0	16932
Bulgarian	0	63621
Western Balochi	0	151
Bhojpuri	0	1906
Bislama Wiktionary	0	26462
Banjar	0	75918
Bambara	0	76794
Bengali	0	60305
Tibetan	0	967
Bishnupriya Manipuri	0	308
Bakhtiari	0	190
Breton	0	195185
Brahui language	0	23199
Bosnian	0	68477
Mandailing	0	2
Rinconada Bikol	0	335
Buginese	0	51759
Russia Buriat	0	488
Catalan	0	2243680
Zamboanga Chavacano	0	26183
Min Dong	0	26353
Chechen	0	2187
Cebuano	0	46441
Chamorro	0	25788
Choctaw	0	25712
Cherokee	0	23269
Cheyenne	0	25780
Sorani	0	5040
Corsican	0	203419
Capiznon	0	338
Cree Wikiquote	0	25615
Crimean Tatar	0	502
Crimean Tatar Cyrillic alphabet	0	184
Crimean Tatar Latin alphabet	0	26089
Czech	0	665811
Kashubian	0	26917
Old Church Slavonic	0	21253
Chuvash	0	3752
Welsh	0	412271
Danish	0	1276622
Dagbani	0	131
German	0	3012391
Austrian German	0	133839
Swiss Standard German	0	137405
formal address in German	0	11
