language_long	num_permuted_comma	num_surviving_comma
global	618497	70622600
Afar	3	25918
Abkhaz	23	363
Ambonese	0	3
Acehnese	23	82613
Adyghe	0	189
Adyghe in Cyrillic script	0	151
Tunisian Arabic	0	163
Tunisian Arabic in Arabic script	0	2482
Tunisian Arabic in Latin script	0	1448
Afrikaans	252	209709
Akan Wiktionary	5	26545
Gheg Albanian	1	23643
Swiss German	0	130
Amharic	0	1464
Aragonese	121	181278
Old English	7	28373
Angika	0	182
Arabic	16	525696
Aramaic	0	312
Mapudungun	0	23482
Algerian Arabic	0	463
Moroccan Arabic	0	5059
Egyptian Arabic	3	646693
Assamese	1	4467
Asturian	8290	4256225
Atikamekw	2	776
Avaric	6	339
Kotava	0	1146
Awadhi	0	277
Aymara	3	27460
Azerbaijani	19	57598
South Azerbaijani	4	79145
Bashkir language	30	7078
Balinese	0	639
Bavarian	300	214984
Toba Batak	0	285
Batak Toba in Latin script	0	1449
Southern Balochi	0	189
Central Bikol	25	27716
Belarusian	492	36048
Taraškievica	12	16920
Bulgarian	247	63374
Western Balochi	0	151
Bhojpuri	1	1905
Bislama Wiktionary	3	26459
Banjar	8	75910
Bambara	67	76727
Bengali	107	60198
Tibetan	0	967
Bishnupriya Manipuri	0	308
Bakhtiari	0	190
Breton	196	194989
Brahui language	0	23199
Bosnian	364	68113
Mandailing	0	2
Rinconada Bikol	0	335
Buginese	4	51755
Russia Buriat	11	477
Catalan	5831	2237849
Zamboanga Chavacano	4	26179
Min Dong	3	26350
Chechen	622	1565
Cebuano	40	46401
Chamorro	3	25785
Choctaw	3	25709
Cherokee	0	23269
Cheyenne	3	25777
Sorani	1	5039
Corsican	110	203309
Capiznon	0	338
Cree Wikiquote	3	25612
Crimean Tatar	1	501
Crimean Tatar Cyrillic alphabet	0	184
Crimean Tatar Latin alphabet	4	26085
Czech	4904	660907
Kashubian	3	26914
Old Church Slavonic	0	21253
Chuvash	18	3734
Welsh	1880	410391
Danish	4865	1271757
Dagbani	0	131
German	11022	3001369
Austrian German	103	133736
Swiss Standard German	291	137114
formal address in German	0	11
Dinka	1	419
Zazaki	8	32880
Lower Sorbian	24	63746
Kadazandusun	4	24331
Doteli	0	1152
Dhivehi	0	437
Dzongkha	0	197
Ewe	4	33009
Emilian	6	3220
Modern Greek	1174	83685
Emilian-Romagnol	7	30369
English	56873	7752033
Canadian English	2702	174295
British English	2796	196255
Esperanto	408	216771
Spanish	20459	4544709
Latin American Spanish	1	467
formal Spanish	0	36
Estonian	181	232526
Basque	264	269536
Extremaduran	11	33963
Persian	23	205854
Fula	4	26155
Finnish	3966	979817
Meänkieli	5	28147
Fijian	4	26169
kven	0	2
Faroese	9	61714
French	7499	3071922
Louisiana French	68	54411
Franco-Provençal	74	110851
North Frisian	45	66475
Friulian	75	131580
West Frisian	40	51986
Irish	236	1547974
Gagauz	4	26050
Gan	0	682
simplified Gan	0	386
traditional Gan	0	378
Guianan Creole	0	126
Scottish Gaelic	203	139162
Galician	1725	413617
Gilaki	0	344
Guarani	3	26269
Goan Konkani	26	549
Goan Konkani in Devanagari script	12	181
Goan Konkani in Latin script	0	1500
Gorontalo	4	26392
Gothic	0	23499
Ancient Greek	1	1041
Alemannic	334	190840
Gujarati	4	4005
Manx	5	29289
Hausa	8	31574
Hakka	4	29103
Hawaiian	50	25365
Hebrew	4620	127217
Hindi	78	26918
Fiji Hindi	2	26855
Fiji Hindi in Latin script	3	25621
Hiligaynon	3	1356
Hiri Motu	3	25713
Croatian	427	199779
Hunsrik	0	1707
Upper Sorbian	42	70526
Haitian Creole	14	38522
Hungarian	9119	779595
formal Hungarian	0	2
Armenian	124	64717
Western Armenian	3	2222
Herero	3	25660
Interlingua	75	111508
Indonesian	799	297612
Interlingue	73	111118
Igbo	5	27126
Nuosu	0	178
Inupiat	3	25722
Eastern Canadian (Aboriginal syllabics)	1	610
Eastern Canadian in Latin script	3	25535
Ilocano	13	31225
Ingush	2	216
Ido	88	114168
Icelandic	48	131961
Italian	10921	1894067
Inuktitut	0	23261
Japanese	55	464168
Jamaican Creole	68	77355
Lojban	12	26039
Jutlandic	1	1205
Javanese	14	87226
Georgian	13	24781
Karakalpak	5	26362
