language_long	num_permuted_edit_distance	num_surviving_edit_distance
global	702548	70538549
Afar	21	25900
Abkhaz	30	356
Ambonese	0	3
Acehnese	107	82529
Adyghe	11	178
Adyghe in Cyrillic script	0	151
Tunisian Arabic	0	163
Tunisian Arabic in Arabic script	105	2377
Tunisian Arabic in Latin script	3	1445
Afrikaans	456	209505
Akan Wiktionary	23	26527
Gheg Albanian	16	23628
Swiss German	2	128
Amharic	168	1296
Aragonese	355	181044
Old English	88	28292
Angika	0	182
Arabic	9024	516688
Aramaic	18	294
Mapudungun	27	23455
Algerian Arabic	10	453
Moroccan Arabic	120	4939
Egyptian Arabic	7709	638987
Assamese	37	4431
Asturian	9237	4255278
Atikamekw	0	778
Avaric	20	325
Kotava	9	1137
Awadhi	1	276
Aymara	30	27433
Azerbaijani	1408	56209
South Azerbaijani	3584	75565
Bashkir language	4774	2334
Balinese	4	635
Bavarian	321	214963
Toba Batak	0	285
Batak Toba in Latin script	3	1446
Southern Balochi	0	189
Central Bikol	37	27704
Belarusian	2865	33675
Taraškievica	208	16724
Bulgarian	2135	61486
Western Balochi	0	151
Bhojpuri	23	1883
Bislama Wiktionary	21	26441
Banjar	98	75820
Bambara	60	76734
Bengali	934	59371
Tibetan	1	966
Bishnupriya Manipuri	7	301
Bakhtiari	0	190
Breton	460	194725
Brahui language	17	23182
Bosnian	242	68235
Mandailing	0	2
Rinconada Bikol	0	335
Buginese	75	51684
Russia Buriat	48	440
Catalan	8245	2235435
Zamboanga Chavacano	26	26157
Min Dong	136	26217
Chechen	669	1518
Cebuano	88	46353
Chamorro	21	25767
Choctaw	21	25691
Cherokee	22	23247
Cheyenne	21	25759
Sorani	138	4902
Corsican	278	203141
Capiznon	0	338
Cree Wikiquote	21	25594
Crimean Tatar	32	470
Crimean Tatar Cyrillic alphabet	0	184
Crimean Tatar Latin alphabet	50	26039
Czech	5001	660810
Kashubian	30	26887
Old Church Slavonic	23	21230
Chuvash	2582	1170
Welsh	622	411649
Danish	4777	1271845
Dagbani	1	130
German	11670	3000721
Austrian German	191	133648
Swiss Standard German	402	137003
formal address in German	0	11
Dinka	2	418
Zazaki	58	32830
Lower Sorbian	125	63645
Kadazandusun	18	24317
Doteli	7	1145
Dhivehi	9	428
Dzongkha	0	197
Ewe	65	32948
Emilian	2	3224
Modern Greek	3793	81066
Emilian-Romagnol	37	30339
English	4775	7804131
Canadian English	250	176747
British English	303	198748
Esperanto	1481	215698
Spanish	12034	4553134
Latin American Spanish	26	442
formal Spanish	0	36
Estonian	672	232035
Basque	681	269119
Extremaduran	33	33941
Persian	3755	202122
Fula	22	26137
Finnish	2400	981383
Meänkieli	23	28129
Fijian	22	26151
kven	0	2
Faroese	64	61659
French	10769	3068652
Louisiana French	40	54439
Franco-Provençal	103	110822
North Frisian	133	66387
Friulian	140	131515
West Frisian	147	51879
Irish	1161	1547049
Gagauz	21	26033
Gan	0	682
simplified Gan	0	386
traditional Gan	0	378
Guianan Creole	2	124
Scottish Gaelic	183	139182
Galician	1425	413917
Gilaki	5	339
Guarani	26	26246
Goan Konkani	43	532
Goan Konkani in Devanagari script	15	178
Goan Konkani in Latin script	6	1494
Gorontalo	74	26322
Gothic	22	23477
Ancient Greek	12	1030
