language_long	num_permuted_remove_parenthesis	num_surviving_remove_parenthesis
global	402399	70838566
Afar	3	25918
Abkhaz	3	383
Ambonese	0	3
Acehnese	22	82614
Adyghe	0	189
Adyghe in Cyrillic script	0	151
Tunisian Arabic	0	163
Tunisian Arabic in Arabic script	5	2477
Tunisian Arabic in Latin script	0	1448
Afrikaans	2241	207719
Akan Wiktionary	5	26545
Gheg Albanian	0	23644
Swiss German	4	126
Amharic	3	1461
Aragonese	232	181166
Old English	0	28380
Angika	0	182
Arabic	4461	521251
Aramaic	1	311
Mapudungun	0	23482
Algerian Arabic	0	463
Moroccan Arabic	6	5053
Egyptian Arabic	8258	638438
Assamese	10	4458
Asturian	767	4263747
Atikamekw	0	778
Avaric	0	345
Kotava	8	1138
Awadhi	3	274
Aymara	0	27463
Azerbaijani	370	57247
South Azerbaijani	4077	75072
Bashkir language	66	7042
Balinese	2	637
Bavarian	332	214951
Toba Batak	0	285
Batak Toba in Latin script	0	1449
Southern Balochi	0	189
Central Bikol	12	27729
Belarusian	92	36448
Taraškievica	48	16884
Bulgarian	2381	61238
Western Balochi	0	151
Bhojpuri	10	1896
Bislama Wiktionary	0	26462
Banjar	19	75899
Bambara	1	76792
Bengali	552	59753
Tibetan	0	967
Bishnupriya Manipuri	1	307
Bakhtiari	0	190
Breton	114	195070
Brahui language	0	23199
Bosnian	51	68426
Mandailing	0	2
Rinconada Bikol	0	335
Buginese	17	51742
Russia Buriat	0	488
Catalan	3619	2240058
Zamboanga Chavacano	0	26183
Min Dong	0	26353
Chechen	8	2179
Cebuano	10	46431
Chamorro	0	25788
Choctaw	0	25712
Cherokee	0	23269
Cheyenne	0	25780
Sorani	13	5027
Corsican	94	203324
Capiznon	0	338
Cree Wikiquote	0	25615
Crimean Tatar	1	501
Crimean Tatar Cyrillic alphabet	0	184
Crimean Tatar Latin alphabet	2	26087
Czech	16463	649347
Kashubian	0	26917
Old Church Slavonic	0	21253
Chuvash	38	3714
Welsh	224	412046
Danish	6821	1269800
Dagbani	0	131
German	4323	3008065
Austrian German	110	133728
Swiss Standard German	218	137186
formal address in German	1	10
Dinka	1	419
Zazaki	43	32845
Lower Sorbian	207	63563
Kadazandusun	0	24335
Doteli	0	1152
Dhivehi	9	428
Dzongkha	0	197
Ewe	2	33011
Emilian	0	3226
Modern Greek	389	84469
Emilian-Romagnol	7	30369
English	55873	7753002
Canadian English	115	176881
British English	154	198896
Esperanto	1064	216114
Spanish	6825	4558341
Latin American Spanish	1	467
formal Spanish	0	36
Estonian	464	232242
Basque	282	269517
Extremaduran	2	33972
Persian	2086	203790
Fula	1	26158
Finnish	7088	976694
Meänkieli	1	28151
Fijian	0	26173
kven	0	2
Faroese	14	61709
French	2548	3076870
Louisiana French	1	54477
Franco-Provençal	5	110919
North Frisian	252	66268
Friulian	9	131645
West Frisian	129	51897
Irish	74	1548135
Gagauz	0	26054
Gan	0	682
simplified Gan	0	386
traditional Gan	0	378
Guianan Creole	3	123
Scottish Gaelic	18	139346
Galician	757	414584
Gilaki	1	343
Guarani	1	26271
Goan Konkani	2	573
Goan Konkani in Devanagari script	0	193
Goan Konkani in Latin script	0	1500
Gorontalo	1	26395
Gothic	1	23498
Ancient Greek	0	1042
Alemannic	308	190865
Gujarati	10	3999
Manx	9	29285
Hausa	14	31568
Hakka	2	29105
Hawaiian	50	25365
Hebrew	728	131109
Hindi	312	26684
Fiji Hindi	8	26849
Fiji Hindi in Latin script	0	25624
Hiligaynon	0	1359
Hiri Motu	0	25716
Croatian	219	199986
Hunsrik	0	1707
Upper Sorbian	210	70358
Haitian Creole	129	38407
Hungarian	7747	780966
formal Hungarian	0	2
Armenian	398	64443
Western Armenian	29	2196
Herero	0	25663
Interlingua	11	111571
Indonesian	1173	297237
Interlingue	6	111184
Igbo	4	27127
Nuosu	0	178
Inupiat	0	25725
Eastern Canadian (Aboriginal syllabics)	0	611
Eastern Canadian in Latin script	0	25538
Ilocano	2	31236
Ingush	0	218
Ido	5	114250
Icelandic	31	131978
Italian	4700	1900283
Inuktitut	0	23261
Japanese	12539	451684
Jamaican Creole	2	77420
Lojban	0	26051
Jutlandic	0	1206
Javanese	36	87204
Georgian	601	24193
Karakalpak	0	26367
Kabyle	2	77305
