language_long	num_permuted_remove_parenthesis_permute_comma	num_surviving_remove_parenthesis_permute_comma
global	1002252	70238713
Afar	6	25915
Abkhaz	26	360
Ambonese	0	3
Acehnese	45	82591
Adyghe	0	189
Adyghe in Cyrillic script	0	151
Tunisian Arabic	0	163
Tunisian Arabic in Arabic script	5	2477
Tunisian Arabic in Latin script	0	1448
Afrikaans	2443	207517
Akan Wiktionary	10	26540
Gheg Albanian	1	23643
Swiss German	4	126
Amharic	3	1461
Aragonese	340	181058
Old English	7	28373
Angika	0	182
Arabic	4476	521236
Aramaic	1	311
Mapudungun	0	23482
Algerian Arabic	0	463
Moroccan Arabic	6	5053
Egyptian Arabic	8261	638435
Assamese	11	4457
Asturian	8933	4255581
Atikamekw	2	776
Avaric	6	339
Kotava	8	1138
Awadhi	3	274
Aymara	3	27460
Azerbaijani	386	57231
South Azerbaijani	4081	75068
Bashkir language	96	7012
Balinese	2	637
Bavarian	614	214669
Toba Batak	0	285
Batak Toba in Latin script	0	1449
Southern Balochi	0	189
Central Bikol	37	27704
Belarusian	581	35959
Taraškievica	60	16872
Bulgarian	2607	61012
Western Balochi	0	151
Bhojpuri	11	1895
Bislama Wiktionary	3	26459
Banjar	27	75891
Bambara	68	76725
Bengali	627	59678
Tibetan	0	967
Bishnupriya Manipuri	1	307
Bakhtiari	0	190
Breton	309	194875
Brahui language	0	23199
Bosnian	412	68065
Mandailing	0	2
Rinconada Bikol	0	335
Buginese	21	51738
Russia Buriat	11	477
Catalan	9401	2234276
Zamboanga Chavacano	4	26179
Min Dong	3	26350
Chechen	628	1559
Cebuano	49	46392
Chamorro	3	25785
Choctaw	3	25709
Cherokee	0	23269
Cheyenne	3	25777
Sorani	14	5026
Corsican	200	203218
Capiznon	0	338
Cree Wikiquote	3	25612
Crimean Tatar	2	500
Crimean Tatar Cyrillic alphabet	0	184
Crimean Tatar Latin alphabet	6	26083
Czech	19396	646414
Kashubian	3	26914
Old Church Slavonic	0	21253
Chuvash	56	3696
Welsh	2099	410171
Danish	11576	1265045
Dagbani	0	131
German	14911	2997477
Austrian German	204	133634
