language_long	mean_cross_alignments
Japanese	7.056393155875517
Putonghua	6.808320498585193
Simplified Chinese	6.6046469618623975
Taiwanese Mandarin	6.281609642301711
Singaporean Mandarin	6.261853002070393
Cantonese	6.237609582501519
Chinese (Hong Kong)	6.050199570156586
Korean	5.847701990632318
Wu Chinese	5.700072098053353
Chinese in Macau	5.4846363282769355
Russian	5.46568075917718
Tigrinya	5.454545454545454
Malaysian Mandarin	5.439745075318656
Chuvash	5.3288912579957355
Amharic	5.065573770491803
Chinese	4.780522544975285
Kyrgyz	4.728823705477402
Bashkir language	4.605233539673607
Traditional Chinese	4.2644804359150745
Tuvan	4.166137566137566
Saraiki	4.0
Ossetian	3.952710495963091
Sakha	3.6633986928104574
Classical Chinese	3.3995836190849418
Hill Mari	3.37888198757764
Western Punjabi	3.338650627615063
Urdu	3.2093714754434535
Gan	3.1832844574780057
Sindhi	3.1496698459281
Ukrainian	2.977483281932273
Chechen	2.9743941472336535
Bulgarian	2.934565630845161
Meitei	2.9166666666666665
Mazanderani	2.844735764031135
Udmurt	2.824295010845987
Thai	2.76905311778291
Pashto	2.7602813852813854
Belarusian	2.7097974822112754
Moroccan Arabic	2.664360545562364
Tunisian Arabic in Arabic script	2.5475423045930703
Sinhala	2.4492078285181735
Kazakh in Cyrillic script	2.422388920946336
Georgian	2.3072114221182543
Telugu	2.2842528315674095
N'Ko	2.2813688212927756
Kazakh	2.2721654385547896
Komi	2.2670454545454546
Hebrew	2.243133566449479
Sanskrit	2.225974025974026
Yiddish	2.165867032213845
Ancient Greek	2.158349328214971
Kazakh in China	2.104040404040404
Kazakh Arabic alphabets	2.0822510822510822
Modern Greek	2.065732568142448
Saraiki in Arabic script	2.0
Tibetan	1.9906928645294726
Hindi	1.9553637575937175
Sorani	1.8373015873015872
Marathi	1.7864786336900291
Tamil	1.7518684603886399
Kannada	1.7385097493036212
Nepali	1.6893867175087385
Malayalam	1.6856417397002212
Gujarati	1.6722374657021701
Moksha	1.6472727272727272
Newar	1.6173752310536045
Odia	1.6132602739726027
Kazakh in Kazakhstan	1.6071932299012694
Avaric	1.5826086956521739
Uyghur	1.5688949522510232
Taraškievica	1.544412945901252
Tulu	1.5411334552102376
Bengali	1.508548213249316
Southern Min	1.4991719895907263
Eastern Punjabi	1.4905916585838992
Arabic	1.486673311623094
Khmer	1.4846335697399526
South Azerbaijani	1.4839479968161315
Persian	1.4625577407869748
Macedonian	1.4601115283942188
Meadow Mari	1.440217391304348
Erzya	1.4229096181730305
Bhojpuri	1.415529905561385
Maithili	1.3928122643880372
simplified Gan	1.3704663212435233
Russia Buriat	1.3688524590163935
Mon language spelling	1.3454545454545455
Mongolian	1.323448905109489
traditional Gan	1.253968253968254
Armenian	1.243318270847149
Permyak	1.2410071942446044
Abkhaz	1.238341968911917
Serbian	1.237356803576418
Lezgian	1.2354709418837675
Western Armenian	1.2301123595505619
Doteli	1.2256944444444444
Serbian written in Cyrillic	1.1906959571718663
Kalmyk Oirat	1.182170542635659
informal Dutch	1.1666666666666667
Goan Konkani	1.1617391304347826
Latin American Spanish	1.143162393162393
Crimean Tatar	1.1175298804780875
Karachay-Balkar	1.0625
Rusyn	0.9858247422680413
Algerian Arabic	0.9611231101511879
Northern Luri	0.9608355091383812
Egyptian Arabic	0.8902776575083192
Gilaki	0.8866279069767442
Bishnupriya Manipuri	0.8668831168831169
Mingrelian	0.851389448248087
Aramaic	0.8461538461538461
Guianan Creole	0.8412698412698413
Shawiya in Latin script	0.8333333333333334
Võro	0.8092738407699037
Kurdish Arabic alphabet	0.7927350427350427
Ingush	0.7844036697247706
Ladin	0.7814569536423841
Latin	0.7786547597570509
Tajik	0.7545953738842835
Central Atlas Tamazight	0.75
Dhivehi	0.7391304347826086
Kabardian	0.71671388101983
Kashmiri	0.7157190635451505
Hungarian	0.6761639833957557
formal Spanish	0.6666666666666666
Awadhi	0.6606498194945848
Lak	0.6255506607929515
Tatar in Cyrillic script	0.6186961869618696
Assamese	0.6072068039391226
Uzbek Latin alphabet	0.6
Goan Konkani in Devanagari script	0.5958549222797928
Kotava	0.5715532286212914
Azerbaijani	0.5477550028637381
Adyghe	0.544973544973545
Kildin Sami	0.5306748466257669
Tajik in Cyrillic script	0.5224913494809689
Uzbek	0.5123907145010552
Standard Moroccan Berber	0.5
Siberian Tatar	0.5
Eastern Pwo	0.5
Tatar	0.47576372080853013
Kabiye	0.4626865671641791
Czech	0.43600210870652484
Serbo-Croatian	0.43319169027384324
Polish	0.4089842978471262
Uyghur Arabic alphabet	0.3881856540084388
Vietnamese	0.3862543712630413
Shan	0.386046511627907
Ottoman Turkish	0.37438423645320196
Sakizaya	0.33226324237560195
Balinese	0.3317683881064163
Dzongkha	0.3299492385786802
Latvian	0.30635111559008704
Romanian	0.30332137180684593
Esperanto	0.2964282918698401
Brazilian Portuguese	0.28324194474907305
Portuguese	0.2787490638826118
formal address in German	0.2727272727272727
Estonian	0.25025461202284416
Turkish	0.2498123870653983
Swiss German	0.24615384615384617
Burmese	0.24156060922178177
Bokmål	0.2357168206571621
Danish	0.23485260319812756
Maltese	0.2345836297754761
Lithuanian	0.23443028530991317
Swedish	0.23408387276352705
Italian	0.2303767792762999
Croatian	0.22564758298952078
Finnish	0.22097251121436334
Inari Sami	0.21717171717171718
Afrikaans	0.211339248717619
Basque	0.21117123795404003
Palatinate German	0.20339748802746904
Catalan	0.19894860229622763
Dutch	0.19715703948969196
Bosnian	0.19641631496706924
French	0.19408161469315174
Indonesian	0.18896421378568484
Lower Sorbian	0.18762741100831112
Veps	0.18758492177491362
North Frisian	0.18740228502705952
Skolt Sami	0.18565400843881857
Dinka	0.18333333333333332
Serbian written in Latin script	0.1823171228413164
Aragonese	0.18034829298948726
Upper Sorbian	0.1775592336469788
Alemannic	0.17743521608586943
Breton	0.17720624023362452
Scots	0.17600121267242685
German	0.16806649601595544
Slovak	0.16314926547743966
Dutch Low Saxon	0.16201655509262383
Galician	0.1600199353785555
Livvi-Karelian	0.15989739204788372
Ume Sami	0.15593220338983052
Swiss Standard German	0.1555547469160511
Lombard	0.1538046146293569
Kazakh in Latin script	0.1526499406175772
Asturian	0.15258194659885121
Low German	0.15163370055082623
Quechua	0.1432789331948996
Nynorsk	0.14315055076400837
Icelandic	0.14217212462786627
Luxembourgish	0.14172912074455057
Malay	0.1390732676616074
Ewe	0.1378244933813952
Slovene	0.13697925940511926
Romagnol	0.1347270174906097
Corsican	0.13391571092179197
Louisiana French	0.13254648580186862
Swahili	0.12946740057368789
Piedmontese	0.1279814053280887
Bavarian	0.12734806116571598
West Frisian	0.12641756045054395
Malagasy	0.12296343469723504
Pontic Greek	0.12124582869855395
Walloon	0.1196869138652431
Occitan	0.11890840525573843
Kurdish	0.11502450442542608
Ido	0.11363079400644167
Canadian English	0.11361209512025627
Venetian	0.11340665765337815
Finnish Kalo	0.11336717428087986
Pali	0.11333714939896966
Scottish Gaelic	0.11121874215190328
British English	0.10734937277381174
Spanish	0.10682892721582207
Limburgish	0.10680420759756154
Capiznon	0.10650887573964497
Papiamento	0.1060621842612364
Sicilian	0.10466943581646881
Austrian German	0.10417740718325749
Cebuano	0.10286169548459335
Main-Franconian	0.10275380189066996
Kazakh in Turkey	0.10237748665696264
Niuean	0.10153846153846154
Kabyle	0.10152894913851089
Tagalog	0.10149794598647319
West Flemish	0.10074037659396973
Ligurian	0.10009640586870726
Jamaican Creole	0.09956989525076528
Old Prussian	0.09947939029626449
Angika	0.0989010989010989
North Korean standard language	0.0979381443298969
Bambara	0.09689559080136469
Simple English	0.09613983976693372
Goan Konkani in Latin script	0.09533333333333334
Interlingua	0.09505032128550048
Friulian	0.09472484903725646
Krio	0.09392265193370165
Picard	0.09369109330819982
Sardinian	0.09301027244305493
Neapolitan	0.09258285113098369
Volapük	0.09207573695736417
Norman	0.09198766911515839
Franco-Provençal	0.09188190218616182
Interlingue	0.0917160561556241
Toba Batak	0.0912280701754386
Kongo	0.08995455406173074
Wolof	0.08929465914353493
Zulu	0.08922419025032446
Yoruba	0.08761216708236576
Haitian Creole	0.08636080548058958
Welsh	0.08519638781287066
Norwegian	0.08505154639175258
Bakhtiari	0.08421052631578947
Crimean Tatar Cyrillic alphabet	0.08152173913043478
Rinconada Bikol	0.08059701492537313
Karelian	0.08035714285714286
Noongar	0.07934093789607098
Romansh	0.0788810115480193
Sirionó	0.07707910750507099
Hunsrik	0.07615700058582309
Livonian	0.07424144609425436
Tunisian Arabic	0.0736196319018405
Tunisian Arabic in Latin script	0.07320441988950276
Batak Toba in Latin script	0.07315389924085576
Northern Thai	0.07058823529411765
Minangkabau	0.07058448187850945
Jutlandic	0.06965174129353234
Atikamekw	0.06812339331619537
Hakka	0.06764695777647989
Cape Verdean Creole	0.0676056338028169
Khowar	0.0670391061452514
Zazaki	0.06452201410848941
Min Dong	0.06154896975676394
Turkmen	0.05991505504927632
Santali	0.05959213579191598
Lao	0.05920384224623626
Samogitian	0.05760169624626983
Meänkieli	0.0566567206592782
Tachelhit in Tifinagh script	0.05649717514124294
Kashmiri in Arabic script	0.05649717514124294
Kabardian in Cyrillic script	0.05649717514124294
Tashelhit	0.05627009646302251
Kashmiri in Devanagari script	0.056179775280898875
Nuosu	0.056179775280898875
Mirandese	0.05577561288941227
Hausa	0.055379646634158695
Talysh	0.054945054945054944
Javanese	0.05343878954607978
Dagbani	0.05343511450381679
Southern Balochi	0.05291005291005291
Megleno-Romanian in Cyrillic script	0.05291005291005291
Kirmanjki	0.05291005291005291
Old English	0.051656095842142355
Zeelandic	0.05039127729936806
Aymara	0.050213013873211226
Faroese	0.049025484827373914
Gorontalo	0.04871950295499318
Laki	0.04860267314702309
Hiligaynon	0.04856512141280353
Fiji Hindi	0.047957701902669694
Waray	0.04733581721057593
Extremaduran	0.04632954612350621
Emilian	0.04587724736515809
Tahitian	0.04399972933653618
Sranan Tongo	0.04349593495934959
Somali	0.04203981072308474
Megleno-Romanian	0.0417981072555205
Tajik in Latin script	0.04086115992970123
Tongan	0.04021083735974124
Ilocano	0.03995134131506498
Lule Sami	0.03993710691823899
Emilian-Romagnol	0.03943903081380037
Eastern Canadian (Aboriginal syllabics)	0.03927986906710311
Central Bikol	0.03903968854763707
Ripuarian	0.038293216630196934
Northern Sami	0.03798748890311126
Pite Sami	0.037560264603655115
Kurdish in Latin script	0.036730003693519926
Saterland Frisian	0.03601199301505716
Nahuatl	0.03599749197801792
Kashubian	0.035850949214251214
Silesian	0.03546446558477896
Greenlandic	0.03487204018177469
Manx	0.034614596845770465
Judaeo-Spanish	0.03434704830053667
Crimean Tatar Latin alphabet	0.033615700103491894
Albanian	0.032677487116100315
Tetum	0.03260497432282751
Pennsylvania German	0.03255586364377752
Moldovan	0.03204404928465045
Sundanese	0.03202362314966844
Lingala	0.03200126737692582
Lingua Franca Nova	0.03153669724770642
Cornish	0.031217356368019283
Hawaiian	0.031044658666142044
Igbo	0.030739744204047032
Buginese	0.030584053014934602
Lojban	0.03051706268473379
Kapampangan	0.030070036540803896
Acehnese	0.029345563676847864
Novial	0.028417760146475436
Irish	0.027292809115042532
Aromanian	0.026694979523737297
Banjar	0.02659448352169446
Southern Sami	0.026543814002339294
Banyumasan	0.026068104906937395
Madurese	0.02598064187468161
Karakalpak	0.025524329654492358
Guarani	0.025197929354445796
Māori	0.024745538664904164
Akan Wiktionary	0.024030131826741997
Zamboanga Chavacano	0.02322117404422717
Old Church Slavonic	0.023149672987342964
Latgalian	0.023036818494119548
Xhosa	0.022721884138149056
Navajo	0.022532145592325366
Zhuang	0.022050805702516052
Tswana	0.021981561254478844
Pangasinan	0.021935227498509836
Gothic	0.021660496191327292
Swazi	0.021256165160839773
Gagauz	0.02122514777001612
Samoan	0.02120639008490604
Sesotho	0.020766773162939296
Tarantino	0.02067841094365133
Kinyarwanda	0.020649085597662972
Fula	0.020337168852020335
Plautdietsch	0.020257015893350414
Twi	0.020179078401397686
Bislama Wiktionary	0.020104300506386518
Afar	0.02009953319702172
Oromo	0.020096430452574855
Chewa	0.019945201063744058
Romani	0.01991610146234367
Fijian	0.019906010010315976
Shona	0.01979085979860573
Cheyenne	0.019666408068269976
Tok Pisin	0.019408573393443877
Venda	0.019383259911894272
Pitkern	0.019191798784122065
Cherokee	0.019167132236022174
Chamorro	0.01915619668062665
Nauruan Wikiquote	0.01912404679203098
Hiri Motu	0.019093171566340023
Inuktitut	0.01904475302007652
Northern Sotho	0.018994999193418294
Gikuyu	0.018928793532338308
Muscogee	0.018917415149829107
Choctaw	0.01870721841941506
Inupiat	0.0186977648202138
Herero	0.01866500409149359
Tumbuka	0.018662269235410048
Southern Luri	0.018641333572324788
Tatar in Latin script	0.018619399951215546
Tsonga	0.01861852180220843
Kirundi	0.01836858006042296
Cree Wikiquote	0.01834862385321101
Sango	0.018284561049445005
Kwanyama	0.018259675204007432
Kanuri	0.018247880500605572
Eastern Canadian in Latin script	0.018247317722609444
Ndonga	0.0181773918688631
Mapudungun	0.018098969423388126
Fiji Hindi in Latin script	0.01806899781454886
Luganda	0.01784534038334435
Marshallese	0.0177057576827976
Tachelhit in Latin script	0.017654476670870115
Uyghur Latin alphabet	0.017603772817823313
Votic	0.01758609433654317
Megleno-Romanian in Latin script	0.017447535383113714
Seri	0.017028126058963065
Kichwa	0.01663246109115786
Kadazandusun	0.015944113416889255
Silesian German	0.015704584040747028
Sassarese	0.015586719608008786
Kinaray-a	0.015497902217655622
Gheg Albanian	0.015395026222297412
Riffian	0.015324686443217328
Brahui language	0.015043751885857149
Lozi	0.015017857911269849
Laz	0.014877102199223804
Mizo	0.014850845852524644
Turoyo	0.014794047875781756
Adyghe in Cyrillic script	0.013245033112582781
Southern Kurdish	0.013245033112582781
Western Balochi	0.013245033112582781
Marwari (India)	0.012345679012345678
Koyraboro Senni	0.012121212121212121
English	2.561178223940716e-07
Kumyk	0.0
formal Hungarian	0.0
kven	0.0
Atayal	0.0
Mandailing	0.0
Ambonese	0.0
Nias	0.0
Uzbek Cyrillic alphabet	0.0
