language_long	mca_comma
global	0.3080082834771621
Lingala	0.03247653372410789
Brahui language	0.014440277598172334
Manx	0.034717006895610025
Faroese	0.0522495666121219
Uyghur	1.4597544338335606
formal Spanish	0.19444444444444445
Uzbek	0.5599336750075369
Kazakh	2.3792884874415656
Palatinate German	0.18637390440046986
informal Dutch	0.5
Western Punjabi	2.250915271966527
Luganda	0.018547587574355585
Urdu	2.2444888752178818
Kichwa	0.016033863519753718
Arabic	1.190661426788812
Saraiki in Arabic script	2.6666666666666665
Kadazandusun	0.0168481610848572
Somali	0.045520315982949436
Afrikaans	0.22788041588675992
Afar	0.021141159677481577
Yoruba	0.13913018548780137
Dhivehi	0.8466819221967964
Silesian	0.03784275321768327
Telugu	2.0808184143222506
Norwegian	0.0979381443298969
Low German	0.19392630612585546
Simple English	0.09278951201747997
Avaric	1.6782608695652175
English	0.16050903929436466
Kildin Sami	0.4233128834355828
Maltese	0.21219742219427853
Kyrgyz	3.5686920083807245
Hiri Motu	0.02041530564629025
Tunisian Arabic	0.11042944785276074
Bengali	1.2509576320371445
Turoyo	0.013931421177485442
Russian	1.547978463461757
Eastern Canadian (Aboriginal syllabics)	0.054009819967266774
Ladin	0.5364238410596026
Romani	0.020896224565805466
Hill Mari	1.5900621118012421
Southern Balochi	0.08465608465608465
Bambara	0.12176732557231033
Swazi	0.022609227008860373
Azerbaijani	0.6165194300293316
West Flemish	0.1211268025265165
Guianan Creole	0.8888888888888888
Malagasy	0.14297844595567888
Crimean Tatar	1.3207171314741035
Meitei	1.8333333333333333
Amharic	1.258879781420765
Czech	0.49417176946610974
Goan Konkani in Latin script	0.10933333333333334
Uyghur Latin alphabet	0.01837622474285482
Hebrew	1.5598883469739147
Kwanyama	0.018259675204007432
Swedish	0.30789059480054076
Lombard	0.1732122402225495
Finnish	0.2842903363851581
Russia Buriat	1.1700819672131149
Macedonian	1.3278707181062934
Tongan	0.04076987581360061
Modern Greek	2.123569686185319
N'Ko	2.3916349809885933
Zamboanga Chavacano	0.02394683573310927
Northern Thai	0.11176470588235295
Khmer	1.2635933806146573
Catalan	0.24629180631819153
Crimean Tatar Latin alphabet	0.0397868833608034
Sardinian	0.11081956230460027
Santali	0.05592868482110148
Aymara	0.06022648654553399
Sicilian	0.12499538884913051
Fiji Hindi	0.048739620955430614
Kashmiri	0.7892976588628763
Ilocano	0.04641782444458672
Swiss Standard German	0.19358829736909136
Sakha	3.7720588235294117
Uzbek Cyrillic alphabet	0.0
Kannada	1.5916898792943361
Meänkieli	0.057722364308042055
Mingrelian	0.8409182440596054
Odia	1.3143013698630137
Welsh	0.1431873694729923
Laz	0.013885295385942216
Bokmål	0.26557669950437496
Māori	0.03114342366159947
Kongo	0.10968566559363757
Old Prussian	0.12471822670674108
