language_long	mca_ed
global	0.22561644439585202
Sirionó	0.06490872210953347
Interlingua	0.10052606579855354
Crimean Tatar Latin alphabet	0.02832611445436774
Odia	1.2863561643835617
Basque	0.2339288361749444
Hiligaynon	0.02869757174392936
Latvian	0.31669971717434414
Batak Toba in Latin script	0.08143547273982056
Hungarian	0.256147348722097
Mazanderani	1.6956165505940188
Austrian German	0.10032950036984735
Lezgian	1.0721442885771544
Tulu	1.3491773308957953
Inupiat	0.012089407191448008
Lule Sami	0.035849056603773584
Marathi	1.438310537878251
Friulian	0.10106718316812882
Laki	0.05224787363304982
formal Hungarian	0.0
Icelandic	0.15705747335408948
Tagalog	0.09328189187922713
Kabiye	0.382089552238806
Main-Franconian	0.11142248626835556
Kazakh in Turkey	0.05790069545528061
Singaporean Mandarin	1.356159420289855
Lombard	0.16219931271477664
Judaeo-Spanish	0.027262969588550984
Silesian German	0.008828522920203734
Crimean Tatar Cyrillic alphabet	0.10869565217391304
Kildin Sami	0.4110429447852761
Traditional Chinese	0.8750465120078122
Mandailing	0.0
Meadow Mari	0.7880434782608695
Lingua Franca Nova	0.029274974515800203
Pali	0.1307956496851746
Faroese	0.04596341720266351
Swedish	0.22338140686811564
Bashkir language	2.815559932470456
Abkhaz	0.9378238341968912
Lingala	0.023050417838330232
Ilocano	0.033164735258339205
Turkmen	0.04370953775102058
Arabic	1.1616550506741334
Quechua	0.1705330780961033
Burmese	0.21372835384936364
Southern Luri	0.007348987273704965
Kashubian	0.024519820187985288
Pennsylvania German	0.028086772141575598
Pangasinan	0.016133518776077885
Cape Verdean Creole	0.05070422535211268
Tachelhit in Tifinagh script	0.0903954802259887
Swiss German	0.23846153846153847
Avaric	1.5681159420289854
Scottish Gaelic	0.11632045348545188
Occitan	0.12387506617257808
Inuktitut	0.011435449894673488
Gan	0.7067448680351907
Kurdish Arabic alphabet	0.8664529914529915
Ancient Greek	1.5566218809980805
Santali	0.046973582447999346
Taraškievica	1.4243444365698086
Tarantino	0.01475325088479739
Goan Konkani in Devanagari script	0.44041450777202074
Korean	0.9685873666406454
Permyak	0.7913669064748201
Sassarese	0.00874376953620005
Louisiana French	0.1463866811064814
Urdu	2.1615913052394133
Tamil	1.6350745364198278
Rinconada Bikol	0.05373134328358209
Kazakh in Latin script	0.09311906175771971
Siberian Tatar	0.5
Kongo	0.09557848892255255
Amharic	1.0293715846994536
Old Church Slavonic	0.016044793676186893
Finnish Kalo	0.0676818950930626
Sindhi	2.2164343360234775
Banjar	0.019218103743512738
Ossetian	2.176470588235294
Zamboanga Chavacano	0.015277088186991559
Lozi	0.008003786737811438
Kabardian	0.6062322946175638
Nepali	1.290117572291071
Mapudungun	0.011753683672600289
Māori	0.019167217448777262
Galician	0.17330296478564652
Bengali	1.2061686427327751
Afar	0.013425407970371513
Dagbani	0.10687022900763359
Koyraboro Senni	0.030303030303030304
Võro	0.17060367454068243
Nuosu	0.11797752808988764
Tigrinya	1.1818181818181819
Luxembourgish	0.1462209159931423
Meänkieli	0.04916169366297243
Zeelandic	0.04295864575488687
Saraiki	4.041666666666667
Samoan	0.01472777755422317
Kyrgyz	1.9778509428314877
Russia Buriat	0.9016393442622951
Megleno-Romanian in Cyrillic script	0.08465608465608465
Inari Sami	0.16287878787878787
Malaysian Mandarin	0.9497875627655465
Romani	0.014113772689849846
Shona	0.013787761425251743
Adyghe	0.3968253968253968
Uyghur	1.3178717598908596
Atayal	0.0
Xhosa	0.018098474670038726
Egyptian Arabic	0.7389623563467225
Moksha	0.6327272727272727
formal address in German	0.5454545454545454
Indonesian	0.18231566530724402
Norman	0.09797016072228981
Komi	1.2926136363636365
Tatar in Cyrillic script	0.6063960639606396
Malay	0.13557124536704293
Tuvan	1.9005291005291005
Serbian written in Latin script	0.18310117302052786
Votic	0.011832870899298189
Sanskrit	1.6588744588744588
formal Spanish	0.19444444444444445
North Frisian	0.16346963319302465
Emilian-Romagnol	0.031538056360284436
Turkish	0.25061734088536536
Gujarati	1.1915689698179097
Maithili	1.0929881879869314
Silesian	0.029273922775601566
Sorani	1.6238095238095238
Dutch Low Saxon	0.1619797387265219
Italian	0.22760300852288834
Meitei	1.8333333333333333
Northern Luri	0.9973890339425587
Luganda	0.011938202247191011
Western Armenian	1.411685393258427
South Azerbaijani	1.075553702510455
Ambonese	0.0
Kurdish in Latin script	0.02987647227808101
Hebrew	1.3679012720253039
Kwanyama	0.012159650965500526
Waray	0.045719800691295956
Bambara	0.1051644659739042
Walloon	0.1297071129707113
Newar	1.466728280961183
Lojban	0.02042148094123066
Kashmiri in Arabic script	0.11864406779661017
Tachelhit in Latin script	0.011878127161046251
Skolt Sami	0.1209563994374121
Central Atlas Tamazight	0.5
Jutlandic	0.07213930348258707
Ladin	0.3708609271523179
English	3.739320206953445e-05
Ottoman Turkish	0.3793103448275862
Manx	0.027104526524202907
Goan Konkani	0.9026086956521739
Toba Batak	0.06315789473684211
French	0.19915789364299327
Chuvash	2.5911513859275055
Atikamekw	0.056555269922879174
Nahuatl	0.03566554789215506
Greenlandic	0.030710356374073187
Ripuarian	0.03176285557986871
Khmer	1.202127659574468
Macedonian	1.2775691362239672
Tajik in Latin script	0.03938328806518613
Extremaduran	0.04203214222640843
Sardinian	0.09857218624385887
Bishnupriya Manipuri	0.8668831168831169
Maltese	0.1978358344777379
Noongar	0.07401774397972116
Kapampangan	0.02363733252131547
Kadazandusun	0.00834189439079515
Haitian Creole	0.077563836412705
Dzongkha	0.3553299492385787
Yiddish	1.399588759424263
German	0.16538191755319945
Lak	0.3788546255506608
Kazakh in Kazakhstan	1.120592383638928
Tsonga	0.012815346175546062
Banyumasan	0.01926025803722504
Cantonese	1.1896970749066922
Venda	0.013496195434521427
Tibetan	1.6339193381592554
Udmurt	1.5748373101952278
Sranan Tongo	0.03640059127864006
Uyghur Latin alphabet	0.012155953978127415
Ndonga	0.012172360626470827
Latin	0.7093932286968548
Tetum	0.0266035645957104
Sakha	1.6764705882352942
Kichwa	0.009449290234308192
Uzbek Cyrillic alphabet	0.0
Venetian	0.12238096978112326
Ukrainian	1.9708265901248894
Twi	0.014282594452937322
Northern Thai	0.11176470588235295
Serbian written in Cyrillic	1.1656821118700387
Tswana	0.01541930029389267
Irish	0.028264253557333953
Kotava	0.5078534031413613
Zulu	0.09478903091474403
Norwegian	0.0979381443298969
Assamese	0.5167860340196956
Asturian	0.1308118273707561
Adyghe in Cyrillic script	0.033112582781456956
Karelian	0.05357142857142857
Persian	1.0103459832812796
Mizo	0.007963497051353794
Hiri Motu	0.012599160055996267
informal Dutch	0.16666666666666666
Southern Min	0.8798202034539863
Ume Sami	0.08644067796610169
Upper Sorbian	0.15823035936968596
Canadian English	0.11634095493143952
Krio	0.08011049723756906
Hausa	0.041637641694636185
Danish	0.2240404755675525
Somali	0.03750342184505886
Angika	0.0989010989010989
Bislama Wiktionary	0.015229385533973244
Romanian	0.3095380884497534
Slovene	0.14815333083354107
Turoyo	0.007806771619581626
Kazakh Arabic alphabets	2.03586889301175
Balinese	0.30359937402190923
Cheyenne	0.012839410395655547
Japanese	1.5874848941133894
Armenian	1.157832235776746
Eastern Canadian in Latin script	0.011982144255619078
Kashmiri in Devanagari script	0.11797752808988764
Gagauz	0.016081983572580026
simplified Gan	0.38341968911917096
Nynorsk	0.1427716842434927
Chamorro	0.012641538700170622
