language_long	mca_baseline	mca_comma	mca_edit_distance	mca_remove_parenthesis	mca_comma_remove_parenthesis	max_diff
Chuvash	0.0	0.7060234541577826	-3.8984541577825156	0.07009594882729253	0.7430703624733477	3.8984541577825156
Tuvan	0.0	-3.253968253968254	-3.0772486772486776	0.06560846560846656	-3.250793650793651	3.253968253968254
Bashkir language	0.0	0.6284468204839619	-3.1603826674169953	0.0687957231288685	0.6586944288126064	3.1603826674169953
Ossetian	0.0	-1.656286043829296	-2.823529411764706	0.06574394463667943	-1.6608996539792389	2.823529411764706
Russian	0.0	-2.59893879986362	-2.620215365382429	0.051262927605409736	-2.59805091487669	2.620215365382429
Kyrgyz	0.0	-0.8991319964082609	-2.489374438790781	0.05537264292128086	-0.8919485184076623	2.489374438790781
Udmurt	0.0	-2.190889370932755	-1.9566160520607372	0.02603036876355791	-2.190889370932755	2.190889370932755
Komi	0.0	0.1761363636363642	-1.9715909090909085	0.025568181818182545	0.1875	1.9715909090909085
Sakha	0.0	0.1960784313725492	-1.9011437908496733	0.033496732026144116	0.19199346405228734	1.9011437908496733
Chechen	0.0	-1.6076817558299041	-1.6662094192958392	0.04160951074531294	-1.6095107453132147	1.6662094192958392
Hill Mari	0.0	-1.523809523809524	-1.550724637681159	0.05175983436852993	-1.5320910973084885	1.550724637681159
Erzya	0.0	-1.2402126631222812	-1.2701788303528274	0.01594973417109702	-1.238762687288545	1.2701788303528274
Ukrainian	0.0	0.2891569208220095	-1.1137927875660325	0.015371461724021707	0.29152035176646596	1.1137927875660325
Moksha	0.0	-0.9236363636363636	-1.0763636363636362	0.003636363636363882	-0.9309090909090908	1.0763636363636362
Permyak	0.0	0.16546762589928066	-1.014388489208633	0.039568345323741205	0.17266187050359716	1.014388489208633
Kalmyk Oirat	0.0	-0.4883720930232558	-0.9961240310077519	0.03488372093023262	-0.4651162790697674	0.9961240310077519
Meadow Mari	0.0	-0.7975543478260869	-0.779891304347826	0.021739130434782927	-0.794836956521739	0.7975543478260869
Shawiya in Latin script	0.0	0.0	-0.6666666666666666	0.0	0.0	0.6666666666666666
Karachay-Balkar	0.0	-0.24583333333333335	-0.6291666666666665	0.012500000000000178	-0.24583333333333335	0.6291666666666665
Kazakh in Cyrillic script	0.0	0.05597230236583961	-0.6226197345643394	0.024235429890363314	0.0675129832660124	0.6226197345643394
Võro	0.0	0.009186351706036766	-0.573490813648294	0.0017497812773402677	0.00962379702537186	0.573490813648294
Kazakh in China	0.0	0.0	-0.5696969696969696	0.007070707070707449	0.02323232323232327	0.5696969696969696
Kazakh	0.0	0.08604706441644883	-0.5430631487203863	0.015846604864907743	0.08969178353537766	0.5430631487203863
Kazakh Arabic alphabets	0.0	0.014842300556586085	-0.5231910946196661	0.02288188002473701	0.039579468150896524	0.5231910946196661
Classical Chinese	0.0	0.0018247281277554706	-0.002667287155873388	-0.4825658861565592	-0.47962427745664743	0.4825658861565592
Ingush	0.0	-0.050458715596330306	-0.45871559633027525	0.0	-0.03211009174311941	0.45871559633027525
Kazakh in Kazakhstan	0.0	0.06699576868829338	-0.43723554301833567	0.016220028208744797	0.07686882933709449	0.43723554301833567
Saraiki	0.0	0.0	-0.4166666666666661	0.0	0.0	0.4166666666666661
Southern Min	0.0	0.02862550272060571	-0.3963804116394606	-0.0005914360066241464	0.02909865152590485	0.3963804116394606
Korean	0.0	0.006960707780379938	-0.3787324355971896	-0.007668162893572639	0.00268345042935203	0.3787324355971896
Hungarian	0.0	0.19680771483706383	-0.3754060407194497	-0.02892353549763982	0.17152073256945177	0.3754060407194497
Traditional Chinese	0.0	0.0049261888469197546	-0.00606788847282691	-0.36446537056230066	-0.3587042344531912	0.36446537056230066
Lak	0.0	-0.29515418502202645	-0.36123348017621143	0.004405286343612369	-0.2995594713656388	0.36123348017621143
Goan Konkani in Devanagari script	0.0	-0.33678756476683946	-0.3471502590673576	0.020725388601036232	-0.33678756476683946	0.3471502590673576
Saraiki in Arabic script	0.0	0.0	-0.3333333333333335	0.0	0.0	0.3333333333333335
informal Dutch	0.0	0.33333333333333337	0.0	-0.1666666666666666	0.0	0.33333333333333337
Uzbek	0.0	-0.03038890563762442	-0.3158577027434429	0.001537533916189271	-0.02900211034066924	0.3158577027434429
Lezgian	0.0	0.08917835671342678	-0.311623246492986	0.019038076152304573	0.1012024048096194	0.311623246492986
Abkhaz	0.0	-0.2979274611398963	-0.2953367875647668	0.04145077720207291	-0.2642487046632124	0.2979274611398963
Adyghe	0.0	0.042328042328042326	-0.29629629629629634	0.0	0.042328042328042326	0.29629629629629634
