language_long	mean_crossing_alignments
French  0.23702799974410774
Russian 1.518455222184339
English 0.1500266490594201
Arabic  1.1129629911434398
Bulgarian       2.464579305575203
Breton  0.1946563516663678
Catalan 0.2408641160949868
Czech   0.5300047611108858
Danish  0.3025319945919779
German  0.2352606285173472
Swiss Standard German   0.18861759033514064
Modern Greek    2.187676027292332
Canadian English        0.4231201658785177
British English 0.3930148554892967
Spanish 0.18661372374466834
Persian 0.9999514273085386
Finnish 0.28459731465170673
Hebrew  1.5604344759058535
Hungarian       0.8560213207829453
Indonesian      0.217180331824229
Italian 0.31446077350618484
Japanese        1.6410130476085847
Georgian        1.948011615713479
Korean  1.2455926359614884
Latin   0.8006043658668591
Lithuanian      0.27190841118419246
Latvian 0.3281102694970905
Marathi 1.4550350790163702
Dutch   0.3255337037091575
Nynorsk 0.15148678717671718
Polish  0.5103419141045055
Portuguese      0.3717448356464785
Brazilian Portuguese    0.33848242728079797
Romanian        0.3396123154565862
Serbian 1.2175188600167646
Swedish 0.31726966811250334
Thai    2.709385529852724
Turkish 0.26101885352775206
Ukrainian       2.8659989618003605
Urdu    2.1963498410745412
Chinese 1.0496738238455354
Occitan 0.1311793291736309
Bokmål  0.2684925248322421
Mongolian       1.1094890510948905
Kazakh  2.2052135330005544
Malagasy        0.1326601011364584
Slovene 0.16137988533075812
Armenian        1.1568143612837556
Malay   0.15365915528685578
Aragonese       0.193005474120585
Asturian        0.1672645072182886
Extremaduran    0.049773356095837995
Galician        0.22673122390704528
Azerbaijani     0.5796726660534217
Akan Wiktionary 0.02534839924670433
Zazaki  0.0674714181464364
Egyptian Arabic 0.7080467483949182
Simple English  0.09919883466860889
Faroese 0.05199034395606176
Icelandic       0.15164875122150762
Northern Sami   0.03837975101678469
Pite Sami       0.037392084314385024
Southern Sami   0.026257369966342824
Lule Sami       0.03988469601677149
Swahili 0.1375765563221955
Albanian        0.12010206201992053
Irish   0.030543660097790352
Welsh   0.134542570299633
Afrikaans       0.22925209919937511
Bavarian        0.14645305735679381
Bambara 0.1075083990936792
Corsican        0.1442539782419538
Austrian German 0.11283706542935916
Esperanto       0.3215412171526713
Estonian        0.2635331124547177
Basque  0.22480726464047443
Louisiana French        0.14726775454762386
Franco-Provençal        0.10072571557358576
Friulian        0.10418897877027078
Scottish Gaelic 0.1335055429986008
Alemannic       0.2142184606693379
Croatian        0.24271000869104822
Interlingua     0.10407499350259448
Interlingue     0.10041280319450316
Ido     0.12429106567707604
Jamaican Creole 0.1102514756596877
Kabyle  0.11179955502664667
Kongo   0.09879757621662563
Luxembourgish   0.1796767083027186
Limburgish      0.14687219061493134
Ligurian        0.10984996836682433
Minangkabau     0.07665262889229199
Neapolitan      0.10195244303150897
Low German      0.19771671395982862
Dutch Low Saxon 0.17368120708592327
Norman  0.10117179996158034
Papiamento      0.11709025571584813
Picard  0.11166499764373233
Piedmontese     0.13878777042731985
Old Prussian    0.10974398883641048
Romagnol        0.149106499222218
Romansh 0.08856526823563807
Sardinian       0.10238248101831175
Sicilian        0.1150426808124479
Scots   0.2977717144156435
Slovak  0.17312434417628542
Serbian written in Latin script 0.18398704789833822
Venetian        0.12376950341652355
Vietnamese      0.4097533534764227
West Flemish    0.11129483970921225
Main-Franconian 0.1136270223816463
Volapük 0.10143020646521814
Walloon 0.1301255230125523
Wolof   0.09823546646252139
Zulu    0.098131670105788
Greenlandic     0.03537431236546281
Serbo-Croatian  0.44588897882099016
Tibetan 1.874870734229576
Malayalam       1.4910721598820542
Võro    0.7650918635170604
Belarusian      2.578434592227696
Chuvash 5.617803837953092
Waray   0.051106522422229204
Acehnese        0.02911563967278184
Cantonese       1.3123860775974308
Tamil   1.7414454813557954
Eastern Punjabi 1.0718719689621727
Traditional Chinese     0.8786367852352283
Javanese        0.052063273727647866
Putonghua       1.6294279881084566
Simplified Chinese      1.5031724885406552
Taiwanese Mandarin      1.464696734059098
Malaysian Mandarin      0.962726921591348
Chinese (Hong Kong)     1.3504503121481937
Chinese in Macau        1.043562816024893
Singaporean Mandarin    1.3548136645962734
Classical Chinese       0.6885029881453905
Mazanderani     1.5903318312167145
Min Dong        0.05145524228740561
Southern Min    1.169032410693163
Wu Chinese      1.3022968379853743
South Azerbaijani       1.0984219636382013
Western Punjabi 2.2379707112970713
Lombard 0.16201930944198986
Amharic 1.2377049180327868
Old English     0.052854122621564484
Central Bikol   0.042103745358855124
Bengali 1.2430478401459248
Bosnian 0.2264263913430787
Cebuano 0.10464890936887664
Manx    0.036492114426162355
Ilocano 0.04238427556181574
Kurdish 0.11206202911272035
Burmese 0.2441059878990194
Nepali  1.2832856688910073
Kapampangan     0.03098355663824604
Kinyarwanda     0.020128856696946657
Tagalog 0.11213508067665297
Yiddish 1.562714187799863
Yoruba  0.13179094636048277
Quechua 0.14350605106907627
Dhivehi 0.8032036613272311
Taraškievica    1.4658043940467753
Nauruan Wikiquote       0.018525172675370304
Macedonian      1.2727893479003072
Cornish 0.030976295701084774
Turkmen 0.05513174714444765
Bislama Wiktionary      0.021049051470032498
Mingrelian      0.8240032219089811
Tajik   0.760022897364683
Lingua Franca Nova      0.03255606523955148
Hindi   1.506704696992147
Tatar   0.4831883299535553
Hakka   0.06098189438966572
Tswana  0.0218607834453883
Gagauz  0.022530129730559605
Sorani  1.4557539682539682
Gothic  0.021192391165581515
Upper Sorbian   0.19773835166080944
Lower Sorbian   0.19662850870315196
Palatinate German       0.21348152164091444
North Frisian   0.20467528562838244
Maltese 0.24302188983934214
Bishnupriya Manipuri    0.8051948051948052
Zamboanga Chavacano     0.024214184776381622
Kashubian       0.032990303525652936
Emilian-Romagnol        0.04042665262048986
West Frisian    0.14246722792449928
Haitian Creole  0.08892983184554702
Karakalpak      0.026434558349451968
Permyak 1.3129496402877698
Ripuarian       0.041917396061269145
Judaeo-Spanish  0.034561717352415026
Lingala 0.03049625727751594
Banyumasan      0.023596129441624366
Meadow Mari     0.6711956521739131
Mirandese       0.059165685329907576
Nahuatl 0.03795227381698816
Novial  0.02837961550198352
Pennsylvania German     0.03438264557168488
Pitkern 0.01895339134580999
Sanskrit        1.7835497835497836
Sango   0.017679112008072654
Samoan  0.02036135366786045
Sranan Tongo    0.044863266814486324
Saterland Frisian       0.036209680076438995
Sundanese       0.030216248552191124
Silesian        0.034450195858981535
Tok Pisin       0.019981661190494385
Udmurt  1.2733188720173536
Uyghur  1.4392905866302865
Uzbek   0.49101597829363886
Pangasinan      0.022173653884363202
Samogitian      0.05383226009109471
Swiss German    0.2153846153846154
Fiji Hindi      0.046393863797147855
Kyrgyz  3.162825501346902
Veps    0.17753018362514073
Hausa   0.057089481350136154
Igbo    0.032177214256754266
Sindhi  2.3580337490829053
Banjar  0.024565979082694485
Gan     0.7302052785923754
Guarani 0.02679658952496955
Khmer   1.2257683215130024
Kannada 1.6275533890436398
Newar   1.4177449168207024
Odia    1.3312876712328767
Rusyn   0.9110824742268041
Sakha   3.2794117647058822
Sinhala 2.178005591798695
Telugu  2.0873949579831934
Bashkir language        5.151660101294317
Assamese        0.5566248880931065
Chechen 1.5491540923639688
Crimean Tatar Latin alphabet    0.03526390432749434
Russia Buriat   1.1270491803278688
Zeelandic       0.050915163223208146
Lojban  0.027177459598479906
Aromanian       0.027036250568785076
Oromo   0.01993436246505409
Pashto  2.1471861471861473
Aymara  0.051159742198594475
Maithili        1.0289017341040463
Livvi-Karelian  0.14792646430098333
Doteli  0.8810763888888888
Kabiye  0.3970149253731343
Tulu    1.4076782449725778
Crimean Tatar   1.045816733067729
Santali 0.05434118940041519
Bhojpuri        1.0981112277019938
Guianan Creole  0.6349206349206349
Gujarati        1.2312297331005237
Tuvan   1.6296296296296295
Gorontalo       0.04887104106682831
Balinese        0.3114241001564945
Fula    0.02129286287702129
Chamorro        0.020125639832480224
Sesotho 0.02060702875399361
Ossetian        3.3690888119953866
Ewe     0.14142913397752402
Western Armenian        1.2921348314606742
Kotava  0.5549738219895288
Inari Sami      0.19823232323232323
Tahitian        0.0472646073688128
Old Church Slavonic     0.022490942455182798
Meänkieli       0.05804205740267122
Finnish Kalo    0.10490693739424704
Kildin Sami     0.3987730061349693
Ume Sami        0.13898305084745763
Skolt Sami      0.18143459915611815
Moroccan Arabic 1.5275746194900177
Kalmyk Oirat    1.1666666666666667
Navajo  0.02216937401749365
Ancient Greek   1.4952015355086372
Northern Luri   0.9530026109660574
Dinka   0.1761904761904762
Sakizaya        0.29213483146067415
Komi    2.5198863636363638
Māori   0.030931923331130203
Emilian 0.06323620582765034
Afar    0.020678214575054976
Tunisian Arabic in Latin script 0.06629834254143646
Batak Toba in Latin script      0.06625258799171843
Buginese        0.026719990726250507
Choctaw 0.019640634723086497
Cheyenne        0.02017067494181536
Cree Wikiquote  0.019519812609798945
Fijian  0.02097581477094716
Goan Konkani in Latin script    0.08666666666666667
Hawaiian        0.028487113909108793
Fiji Hindi in Latin script      0.019200749297533563
Hiri Motu       0.01998755638512988
Hunsrik 0.06619800820152313
Herero  0.01960020262634922
Inupiat 0.019591836734693877
Eastern Canadian in Latin script        0.01938288041350145
Gikuyu  0.019978233830845772
Kwanyama        0.017653712531308072
Kazakh in Latin script  0.12488865795724466
Kanuri  0.018046023415421882
Kurdish in Latin script 0.03652480814215948
Luganda 0.017349636483807006
Livonian        0.0671400903808909
Latgalian       0.022834741138907974
Marshallese     0.01669021547156482
Muscogee        0.01855973293060965
Erzya   0.5041082648622522
Ndonga  0.01756877383753956
Northern Sotho  0.01843039199870947
Chewa   0.020267547747602546
