language_long	mean_crossing_alignments
French  0.1907176706270432
Russian 1.6112356517786113
English 4.174720505023367e-05
Arabic  1.0881984812977448
Bulgarian       2.3933135285518934
Breton  0.1748136383431104
Catalan 0.19662295871068958
Czech   0.4265579871765411
Danish  0.22921193587451885
German  0.1651153518915705
Swiss Standard German   0.15345147556493577
Modern Greek    1.9910675355589862
Canadian English        0.11178155561958678
British English 0.10535993288152283
Spanish 0.1023368690922218
Persian 0.967985739057787
Finnish 0.218293058530184
Hebrew  1.3708746406547478
Hungarian       0.25449529233663915
Indonesian      0.17885064558612115
Italian 0.22450850084095017
Japanese        1.6108917481469036
Georgian        1.8669032830523513
Korean  0.8807409575852199
Latin   0.7666576462805942
Lithuanian      0.23056837069991717
Latvian 0.3051699662993184
Marathi 1.36319183615619
Dutch   0.18441841108631188
Nynorsk 0.14360331385044509
Polish  0.4082285425856431
Portuguese      0.2745135639868468
Brazilian Portuguese    0.2730273121311818
Romanian        0.30093889790099787
Serbian 1.1196097606407749
Swedish 0.22856677081531376
Thai    2.6407450876462346
Turkish 0.22227206600621324
Ukrainian       2.0691318818895232
Urdu    2.118578898800369
Chinese 1.0328828667029546
Occitan 0.1151551561078033
Bokmål  0.2316261804238308
Mongolian       0.8312043795620438
Kazakh  1.6947151572775532
Malagasy        0.11864959325554772
Slovene 0.13407503147433977
Armenian        1.0907296309433845
Malay   0.12631237757014613
Aragonese       0.17957100094267334
Asturian        0.12843711418531767
Extremaduran    0.039324189085771476
Galician        0.15857293507519105
Azerbaijani     0.5168960549837721
Akan Wiktionary 0.017175141242937852
Zazaki  0.057863050352712234
Egyptian Arabic 0.7000259782030506
Simple English  0.08914785142024763
Faroese 0.04529915914650941
Icelandic       0.14021771242869804
Northern Sami   0.032495819311683216
Pite Sami       0.033748178046866244
Southern Sami   0.020958155300408184
Lule Sami       0.035796645702306076
Swahili 0.12313357624622064
Albanian        0.03331557339760285
Irish   0.026827110017374905
Welsh   0.0798382617259036
Afrikaans       0.21512566619515053
Bavarian        0.12618215938016758
Bambara 0.09512461911086803
Corsican        0.13327171994749754
Austrian German 0.10207786967924147
Esperanto       0.27596590830605167
Estonian        0.2462624673946207
Basque  0.2063713862120089
Louisiana French        0.13247306301510675
Franco-Provençal        0.09019607843137255
Friulian        0.09411720025825072
Scottish Gaelic 0.10934596204211962
Alemannic       0.17835584336782198
Croatian        0.21990849425092154
Interlingua     0.09283672243979818
Interlingue     0.08953962101249202
Ido     0.11098760677776222
Jamaican Creole 0.09736124924118156
Kabyle  0.09886428312723133
Kongo   0.0879662942624503
Luxembourgish   0.14110213078618664
Limburgish      0.10704044202085425
Ligurian        0.09914741059862019
Minangkabau     0.06706865747830526
Neapolitan      0.09190433715283337
Low German      0.152690841818283
Dutch Low Saxon 0.16182020114008014
Norman  0.09021304622252307
Papiamento      0.10429144315400239
Picard  0.09270440622054665
Piedmontese     0.12740210978008223
Old Prussian    0.09773507943323315
Romagnol        0.13478392836817543
Romansh 0.07847902353457097
Sardinian       0.09230543769539973
Sicilian        0.10397591872569924
Scots   0.17249052599666514
Slovak  0.161050629590766
Serbian written in Latin script 0.16763400130335615
Venetian        0.11224467424270107
Vietnamese      0.2443847755360053
West Flemish    0.100099809319509
Main-Franconian 0.10091046095978279
Volapük 0.09086812721357569
Walloon 0.118373972009811
Wolof   0.08753674142542554
Zulu    0.08738480499715222
Greenlandic     0.030327672805548912
Serbo-Croatian  0.4056218804802374
Tibetan 1.8314374353671148
Malayalam       1.4369317716438692
Võro    0.15485564304461943
Belarusian      2.5744116037219484
Chuvash 2.8584754797441363
Waray   0.04161242537145935
Acehnese        0.020620552785710827
Cantonese       1.2693342591788908
Tamil   1.6671918555326628
Eastern Punjabi 1.0213385063045586
Traditional Chinese     0.8650380354779982
Javanese        0.043397524071526826
Putonghua       1.6041763673484006
Simplified Chinese      1.4738297920382957
Taiwanese Mandarin      1.4295101088646966
Malaysian Mandarin      0.9341444573194283
Chinese (Hong Kong)     1.316804830621226
Chinese in Macau        1.00291715285881
Singaporean Mandarin    1.326966873706004
Classical Chinese       0.6787670226315273
Mazanderani     1.5530520278574356
Min Dong        0.03991955375099609
Southern Min    0.7726519990537024
Wu Chinese      1.2785044803790298
South Azerbaijani       1.0206825102022767
Western Punjabi 2.1486663179916317
Lombard 0.15004090983472426
Amharic 1.0177595628415301
Old English     0.03791402396053559
Central Bikol   0.029883565841173715
Bengali 1.189420446065832
Bosnian 0.1829665435109599
Cebuano 0.09422708382679099
Manx    0.027957943606199222
Ilocano 0.03162814520775978
Kurdish 0.10087045570916539
Burmese 0.21084915501773419
Nepali  1.246107403876708
Kapampangan     0.022571559074299634
Kinyarwanda     0.013165792948897515
Tagalog 0.08373814842004967
Yiddish 1.4904043865661412
Yoruba  0.07562856569479086
Quechua 0.13341552837351156
Dhivehi 0.7528604118993135
Taraškievica    1.4332624616111505
Nauruan Wikiquote       0.012496506567652813
Macedonian      1.2256742915670877
Cornish 0.023744475693049417
Turkmen 0.0428435940785947
Bislama Wiktionary      0.013377673645227118
Mingrelian      0.8095046314941603
Tajik   0.7365106960374839
Lingua Franca Nova      0.026025739041794088
Hindi   1.4365831975107424
Tatar   0.44164976777654213
Hakka   0.04919778747380355
Tswana  0.01541930029389267
Gagauz  0.01446994703308513
Sorani  1.4444444444444444
Gothic  0.014979360823864845
Upper Sorbian   0.17826777009409364
Lower Sorbian   0.18406774345303434
Palatinate German       0.20052408059998192
North Frisian   0.18373421527360193
Maltese 0.2284783004351495
Bishnupriya Manipuri    0.8084415584415584
Zamboanga Chavacano     0.015468051789328955
Kashubian       0.025039937585912247
Emilian-Romagnol        0.030517513826705294
West Frisian    0.11838311613424057
Haitian Creole  0.076110649782022
Karakalpak      0.016877157052376076
Permyak 0.7446043165467626
Ripuarian       0.02947210065645514
Judaeo-Spanish  0.026189624329159212
Lingala 0.021386985623192998
Banyumasan      0.017515334179357023
Meadow Mari     0.8328804347826086
Mirandese       0.046782999678835244
Nahuatl 0.029764319699037364
Novial  0.022123893805309734
Pennsylvania German     0.025216114826292612
Pitkern 0.012675328803592005
Sanskrit        1.6787878787878787
Sango   0.011584258324924318
Samoan  0.014043700454710073
Sranan Tongo    0.03636363636363636
Saterland Frisian       0.028532832526111166
Sundanese       0.023406773836343504
Silesian        0.02605623950755456
Tok Pisin       0.01276075494765798
Udmurt  1.8047722342733188
Uyghur  1.2646657571623465
Uzbek   0.2762134458848357
Pangasinan      0.014663222729982118
Samogitian      0.044879849222553794
Swiss German    0.2230769230769231
Fiji Hindi      0.03782998845738541
Kyrgyz  2.0308290930859023
Veps    0.042587056950968594
Hausa   0.044772338673928186
Igbo    0.01953484943422653
Sindhi  2.243580337490829
Banjar  0.017611106720408862
Gan     0.7052785923753666
Guarani 0.019107795371498173
Khmer   1.1867612293144207
Kannada 1.5509517177344476
Newar   1.3585951940850278
Odia    1.304986301369863
Rusyn   0.8182989690721649
Sakha   1.7647058823529411
Sinhala 1.9389561975768872
Telugu  1.9818779685787358
Bashkir language        3.130135059088351
Assamese        0.5201432408236347
Chechen 1.7137631458619114
Crimean Tatar Latin alphabet    0.024876384683199818
Russia Buriat   0.8381147540983607
Zeelandic       0.041026816410726565
Lojban  0.018195078883728073
Aromanian       0.01960412558774458
Oromo   0.013816295936145213
Pashto  2.0205627705627704
Aymara  0.0433674398281324
Maithili        1.0178436793164112
Livvi-Karelian  0.13210773834972211
Doteli  0.8723958333333334
Kabiye  0.3074626865671642
Tulu    1.3820840950639854
Crimean Tatar   0.9362549800796812
Santali 0.04583384214596817
Bhojpuri        1.0865687303252887
Guianan Creole  0.6111111111111112
Gujarati        1.1758543277625344
Tuvan   2.1386243386243384
Gorontalo       0.03727837551144113
Balinese        0.28482003129890454
Fula    0.01315034978401315
Chamorro        0.012292539165503335
Sesotho 0.01365814696485623
Ossetian        2.1937716262975777
Ewe     0.1332202465695332
Western Armenian        1.1977528089887641
Kotava  0.5209424083769634
Inari Sami      0.1388888888888889
Tahitian        0.04026119024258213
Old Church Slavonic     0.015762480590975392
Meänkieli       0.05008525149190111
Finnish Kalo    0.077834179357022
Kildin Sami     0.3803680981595092
Ume Sami        0.09152542372881356
Skolt Sami      0.11533052039381153
Moroccan Arabic 1.4809250840086974
Kalmyk Oirat    0.6511627906976745
Navajo  0.01463178685154581
Ancient Greek   1.4750479846449136
Northern Luri   0.9295039164490861
Dinka   0.1619047619047619
Sakizaya        0.27447833065810595
Komi    1.3210227272727273
Māori   0.019722405816259087
Emilian 0.03781773093614383
Afar    0.013116777902087111
Tunisian Arabic in Latin script 0.06146408839779006
Batak Toba in Latin script      0.06142167011732229
Buginese        0.020788655113120422
Choctaw 0.011784380833851898
Cheyenne        0.012335143522110162
Cree Wikiquote  0.011633808315440171
Fijian  0.012952279066213273
Goan Konkani in Latin script    0.07933333333333334
Hawaiian        0.02356875860712178
Fiji Hindi in Latin script      0.011317514829847018
Hiri Motu       0.012132524498366775
Hunsrik 0.062097246631517285
Herero  0.011728948291314344
Inupiat 0.01173955296404276
Eastern Canadian in Latin script        0.011473098911426111
Gikuyu  0.01197139303482587
Kwanyama        0.011553688292801163
Kazakh in Latin script  0.09267369358669834
Kanuri  0.011667339523617279
Kurdish in Latin script 0.028604259859646243
Luganda 0.010740251156642433
Livonian        0.06262104583602324
Latgalian       0.015236632582952754
Marshallese     0.010243730130695867
Muscogee        0.012280422859868054
Erzya   0.5616239729337844
Ndonga  0.011442018988882576
Northern Sotho  0.012058396515567027
Chewa   0.013296800709162705
Pali    0.10618202633085289
Romani  0.01332967420708041
Kirundi 0.011722054380664653
Tarantino       0.013838628862289737
Megleno-Romanian in Latin script        0.01094029607938832
Tachelhit in Latin script       0.011145913842899565
Shona   0.01254841208365608
Somali  0.03707324703765985
Swazi   0.013836148574920343
Tetum   0.024267445373074212
Tajik in Latin script   0.03395111040102253
Tongan  0.03186519186998363
Tsonga  0.011928749899250423
Tatar in Latin script   0.012236767216846899
Tumbuka 0.012066122350480634
Twi     0.012666521074470409
Uyghur Latin alphabet   0.011098914501768508
Venda   0.012735282338806568
Votic   0.01109841684347968
Xhosa   0.01596459337706473
Zhuang  0.015548645046645935
Serbian written in Cyrillic     1.0738416097470924
Kadazandusun    0.008835011300595849
Hiligaynon      0.03164091243561442
Kazakh in Turkey        0.05591945657447841
Kashmiri        0.7123745819397993
Kazakh Arabic alphabets 2.0117501546072973
Kazakh in China 1.7878787878787878
Kazakh in Kazakhstan    1.0571227080394923
Kazakh in Cyrillic script       1.6087709174841316
Lezgian 1.0981963927855711
Lao     0.05283088574859148
Moldovan        0.02166358261497495
Gheg Albanian   0.008966333953645746
Mapudungun      0.011625926241376374
Cherokee        0.012462933516696034
Inuktitut       0.011478440307811357
Kinaray-a       0.008562376915831836
Turoyo  0.00815182229890015
Brahui language 0.008491745333850597
Lozi    0.008348035629760317
Laz     0.008236308753773179
Southern Luri   0.00716974368166338
Mizo    0.008178726701390384
Riffian 0.008347245409015025
Kichwa  0.009492047203694202
Plautdietsch    0.013731534488970736
Sassarese       0.00874376953620005
Seri    0.009827177228058285
Silesian German 0.008828522920203734
Kurdish Arabic alphabet 0.9017094017094017
Avaric  1.4
Lak     0.3524229074889868
Atikamekw       0.04627249357326478
Jutlandic       0.06384742951907131
Sirionó 0.0486815415821501
Madurese        0.02445236882322975
Tunisian Arabic in Arabic script        2.043513295729251
Gilaki  0.7906976744186046
Crimean Tatar Cyrillic alphabet 0.07065217391304347
Atayal  0.0
Algerian Arabic 0.8423326133909287
Mon language spelling   1.6
Goan Konkani    0.8452173913043478
Tatar in Cyrillic script        0.5805658056580566
N'Ko    2.1749049429657794
Aramaic 0.7051282051282052
Toba Batak      0.0456140350877193
Rinconada Bikol 0.03880597014925373
Capiznon        0.06804733727810651
Cape Verdean Creole     0.036619718309859155
Krio    0.058011049723756904
Karelian        0.03869047619047619
Niuean  0.06461538461538462
Noongar 0.07021546261089988
simplified Gan  0.38341968911917096
traditional Gan 0.3888888888888889
Abkhaz  0.8860103626943006
Ottoman Turkish 0.3251231527093596
Latin American Spanish  0.5982905982905983
Awadhi  0.555956678700361
Hill Mari       1.4968944099378882
Ladin   0.44370860927152317
Moksha  0.6145454545454545
Kabardian       0.5014164305949008
Pontic Greek    0.10567296996662959
Goan Konkani in Devanagari script       0.47668393782383417
Megleno-Romanian        0.03943217665615142
Tashelhit       0.06109324758842444
Eastern Canadian (Aboriginal syllabics) 0.03436988543371522
North Korean standard language  0.07731958762886598
Shan    0.413953488372093
Marwari (India) 0.043209876543209874
Tajik in Cyrillic script        0.370242214532872
Dagbani 0.04580152671755725
Tunisian Arabic 0.06748466257668712
Uyghur Arabic alphabet  0.23628691983122363
Ingush  0.6146788990825688
Saraiki 4.125
Karachay-Balkar 0.525
Norwegian       0.07989690721649484
Dzongkha        0.3197969543147208
Laki    0.046172539489671933
Kirmanjki       0.05291005291005291
Meitei  2.1666666666666665
Shawiya in Latin script 0.16666666666666666
Eastern Pwo     1.5
Siberian Tatar  1.5
Kabardian in Cyrillic script    0.05649717514124294
Northern Thai   0.07058823529411765
Adyghe  0.3544973544973545
Western Balochi 0.013245033112582781
Megleno-Romanian in Cyrillic script     0.05291005291005291
Southern Balochi        0.05291005291005291
Nuosu   0.07303370786516854
Tachelhit in Tifinagh script    0.05649717514124294
Kashmiri in Arabic script       0.0903954802259887
Southern Kurdish        0.013245033112582781
Khowar  0.0893854748603352
Adyghe in Cyrillic script       0.013245033112582781
Angika  0.06593406593406594
Koyraboro Senni 0.012121212121212121
Kashmiri in Devanagari script   0.09550561797752809
Bakhtiari       0.08947368421052632
Talysh  0.054945054945054944
Tigrinya        0.9696969696969697
formal Spanish  0.5555555555555556
formal address in German        0.5454545454545454
Saraiki in Arabic script        3.3333333333333335
informal Dutch  0.16666666666666666
Standard Moroccan Berber        0.5
Nias    0.0
Uzbek Latin alphabet    0.2
Ambonese        0.0
Mandailing      0.0
Central Atlas Tamazight 0.5
kven    0.0
formal Hungarian        0.0
Kumyk   0.0
Uzbek Cyrillic alphabet 0.0
