language_code,english_match
aa,0.99
ab,0.29
abs,1.0
ace,0.97
ady,0.33
ady-cyrl,0.98
aeb,0.9
aeb-arab,0.06
aeb-latn,0.95
af,0.93
ak,0.98
aln,0.99
als,0.62
am,0.0
ami,0.5
an,0.94
ang,0.95
anp,0.95
ar,0.0
arc,0.24
arn,0.99
arq,0.27
ary,0.03
arz,0.0
as,0.53
ast,0.96
atj,0.89
av,0.2
avk,0.53
awa,0.29
ay,0.9
az,0.48
azb,0.0
ba,0.01
ban,0.7
bar,0.96
bbc,0.99
bbc-latn,0.95
bcc,0.97
bcl,0.97
be,0.0
be-tarask,0.01
bg,0.0
bgn,0.57
bho,0.03
bi,0.99
bjn,0.98
bm,0.98
bn,0.01
bo,0.1
bpy,0.01
bqi,0.96
br,0.93
brh,0.99
bs,0.88
btm,1.0
bto,0.99
bug,0.98
bxr,0.14
ca,0.92
cbk-zam,0.98
cdo,0.85
ce,0.01
ceb,0.85
ch,0.99
cho,0.99
chr,0.98
chy,0.99
ckb,0.02
co,0.97
cps,0.99
cr,0.99
crh,0.16
crh-cyrl,0.92
crh-latn,0.92
cs,0.84
csb,0.93
cu,0.97
cv,0.01
cy,0.86
da,0.93
dag,0.92
de,0.89
de-at,0.97
de-ch,0.94
de-formal,0.75
din,0.83
diq,0.87
dsb,0.92
dtp,0.99
dty,0.07
dv,0.2
dz,0.53
ee,0.95
egl,0.98
el,0.01
eml,0.95
en,1.0
en-ca,0.96
en-gb,0.97
eo,0.87
es,0.95
es-419,0.65
es-formal,0.81
et,0.89
eu,0.87
ext,0.97
fa,0.0
ff,0.98
fi,0.92
fit,0.98
fj,0.99
fkv,0.42
fo,0.97
fr,0.9
frc,0.98
frp,0.97
frr,0.9
fur,0.97
fy,0.89
ga,0.94
gag,0.97
gan,0.01
gan-hans,0.01
gan-hant,0.33
gcr,0.38
gd,0.95
gl,0.94
glk,0.14
gn,0.96
gom,0.41
gom-deva,0.38
gom-latn,0.92
gor,0.98
got,0.97
grc,0.15
gsw,0.94
gu,0.01
gv,0.94
ha,0.96
hak,0.9
haw,0.97
he,0.0
hi,0.01
hif,0.96
hif-latn,0.99
hil,0.98
ho,0.99
hr,0.9
hrx,0.96
hsb,0.89
ht,0.79
hu,0.85
hu-formal,1.0
hy,0.0
hyw,0.0
hz,0.99
ia,0.97
id,0.93
ie,0.98
ig,0.98
ii,0.86
ik,0.99
ike-cans,0.95
ike-latn,0.99
ilo,0.95
inh,0.37
io,0.96
is,0.95
it,0.89
iu,0.98
ja,0.0
jam,0.98
jbo,0.97
jut,0.94
jv,0.88
ka,0.01
kaa,0.96
kab,0.96
kbd,0.28
kbd-cyrl,0.98
kbp,0.55
kea,0.87
kg,0.98
khw,0.96
ki,0.98
kiu,0.97
kj,0.99
kjp,0.03
kk,0.0
kk-arab,0.0
kk-cn,0.03
kk-cyrl,0.0
kk-kz,0.09
kk-latn,0.42
kk-tr,0.8
kl,0.99
km,0.08
kn,0.01
ko,0.0
ko-kp,0.84
koi,0.19
kr,0.99
krc,0.35
kri,0.98
krj,0.99
krl,0.98
ks,0.48
ks-arab,0.97
ks-deva,0.97
ksh,0.97
ku,0.73
ku-arab,0.05
ku-latn,0.88
kum,0.5
kv,0.19
kw,0.93
ky,0.01
la,0.62
lad,0.94
lb,0.94
lbe,0.35
lez,0.07
lfn,0.97
lg,0.98
li,0.97
lij,0.97
liv,0.93
lki,0.92
lld,0.51
lmo,0.91
ln,0.97
lo,0.95
loz,0.99
lrc,0.12
lt,0.79
ltg,0.97
lus,0.99
luz,0.99
lv,0.71
lzh,0.0
lzz,0.99
mad,0.97
mai,0.02
map-bms,0.95
mdf,0.35
mg,0.94
mh,0.99
mhr,0.09
mi,0.97
min,0.97
mk,0.01
ml,0.0
mn,0.03
mni,0.08
mnw,0.1
mo,0.96
mr,0.01
mrj,0.06
ms,0.89
mt,0.93
mus,0.99
mwl,0.95
my,0.78
myv,0.34
mzn,0.02
na,0.98
nah,0.93
nap,0.97
nb,0.9
nds,0.95
nds-nl,0.96
ne,0.01
new,0.01
ng,0.99
nia,1.0
