language_code,english_match
aa,0.99
ab,0.3
abs,1.0
ace,0.97
ady,0.33
ady-cyrl,0.97
aeb,0.89
aeb-arab,0.06
aeb-latn,0.94
af,0.93
ak,0.98
aln,0.99
als,0.61
am,0.0
ami,0.5
an,0.94
ang,0.95
anp,0.94
ar,0.0
arc,0.23
arn,0.99
arq,0.26
ary,0.03
arz,0.0
as,0.48
ast,0.96
atj,0.89
av,0.21
avk,0.55
awa,0.27
ay,0.9
az,0.47
azb,0.0
ba,0.01
ban,0.7
bar,0.95
bbc,0.99
bbc-latn,0.94
bcc,0.97
bcl,0.96
be,0.01
be-tarask,0.02
bg,0.01
bgn,0.58
bho,0.03
bi,0.98
bjn,0.98
bm,0.98
bn,0.0
bo,0.1
bpy,0.01
bqi,0.95
br,0.92
brh,0.99
bs,0.87
btm,1.0
bto,0.99
bug,0.98
bxr,0.15
ca,0.91
cbk-zam,0.98
cdo,0.85
ce,0.01
ceb,0.85
ch,0.99
cho,0.99
chr,0.98
chy,0.98
ckb,0.02
co,0.96
cps,0.99
cr,0.98
crh,0.16
crh-cyrl,0.91
crh-latn,0.91
cs,0.83
csb,0.93
cu,0.97
cv,0.02
cy,0.85
da,0.92
dag,0.93
de,0.88
de-at,0.96
de-ch,0.93
de-formal,0.68
din,0.83
diq,0.86
dsb,0.92
dtp,0.99
dty,0.07
dv,0.2
dz,0.53
ee,0.95
egl,0.98
el,0.02
eml,0.95
en,1.0
en-ca,0.96
en-gb,0.96
eo,0.83
es,0.94
es-419,0.61
es-formal,0.79
et,0.88
eu,0.86
ext,0.96
fa,0.0
ff,0.98
fi,0.91
fit,0.98
fj,0.98
fkv,0.42
fo,0.97
fr,0.88
frc,0.98
frp,0.97
frr,0.9
fur,0.97
fy,0.88
ga,0.94
gag,0.97
gan,0.01
gan-hans,0.01
gan-hant,0.34
gcr,0.37
gd,0.95
gl,0.93
glk,0.15
gn,0.96
gom,0.4
gom-deva,0.37
gom-latn,0.91
gor,0.97
got,0.97
grc,0.16
gsw,0.94
gu,0.01
gv,0.94
ha,0.95
hak,0.9
haw,0.97
he,0.01
hi,0.01
hif,0.96
hif-latn,0.99
hil,0.98
ho,0.99
hr,0.88
hrx,0.95
hsb,0.89
ht,0.79
hu,0.84
hu-formal,0.6
hy,0.02
hyw,0.01
hz,0.99
ia,0.97
id,0.91
ie,0.97
ig,0.98
ii,0.87
ik,0.98
ike-cans,0.95
ike-latn,0.99
ilo,0.94
inh,0.38
io,0.95
is,0.95
it,0.88
iu,0.98
ja,0.01
jam,0.98
jbo,0.97
jut,0.94
jv,0.89
ka,0.02
kaa,0.96
kab,0.96
kbd,0.3
kbd-cyrl,0.97
kbp,0.55
kea,0.88
kg,0.97
khw,0.96
ki,0.98
kiu,0.96
kj,0.99
kjp,0.03
kk,0.01
kk-arab,0.01
kk-cn,0.04
kk-cyrl,0.01
kk-kz,0.09
kk-latn,0.42
kk-tr,0.8
kl,0.98
km,0.1
kn,0.01
ko,0.01
ko-kp,0.81
koi,0.21
kr,0.99
krc,0.34
kri,0.98
krj,0.99
krl,0.98
ks,0.5
ks-arab,0.97
ks-deva,0.97
ksh,0.96
ku,0.72
ku-arab,0.05
ku-latn,0.88
kum,0.33
kv,0.2
kw,0.93
ky,0.02
la,0.62
lad,0.93
lb,0.93
lbe,0.36
lez,0.08
lfn,0.96
lg,0.98
li,0.96
lij,0.97
liv,0.93
lki,0.92
lld,0.5
lmo,0.91
ln,0.97
lo,0.95
loz,0.99
lrc,0.1
lt,0.78
ltg,0.97
lus,0.99
luz,0.99
lv,0.7
lzh,0.0
lzz,0.99
mad,0.96
mai,0.02
map-bms,0.95
mdf,0.38
mg,0.94
mh,0.99
mhr,0.1
mi,0.96
min,0.97
mk,0.02
ml,0.0
mn,0.04
mni,0.05
mnw,0.09
mo,0.95
mr,0.01
mrj,0.07
ms,0.88
mt,0.93
mus,0.99
mwl,0.94
my,0.76
myv,0.35
mzn,0.03
na,0.98
nah,0.93
nap,0.97
nb,0.89
nds,0.95
nds-nl,0.96
ne,0.01
new,0.01
ng,0.99
nia,1.0
niu,0.97
nl,0.93
nl-informal,0.83
nn,0.92
no,0.93
nod,0.9
nov,0.97
nqo,0.0
nrm,0.97
nso,0.97
nv,0.9
ny,0.98
nys,0.96
