language_code,language,script_entropy
ja,Japanese,0.792
yue,Cantonese,0.521
ru,Russian,0.129
uk,Ukrainian,0.115
ka,Georgian,0.115
hy,Armenian,0.112
zh-hk,Chinese (Hong Kong),0.1
cu,Old Church Slavonic,0.098
cv,Chuvash,0.097
ko,Korean,0.097
ckb,Sorani,0.095
ky,Kyrgyz,0.092
hi,Hindi,0.092
he,Hebrew,0.089
zh-tw,Taiwanese Mandarin,0.089
pa,Eastern Punjabi,0.082
zh-hans,Simplified Chinese,0.081
ne,Nepali,0.08
gu,Gujarati,0.078
sh,Serbo-Croatian,0.078
zh,Chinese,0.076
zh-cn,Putonghua,0.074
be,Belarusian,0.07
new,Newar,0.07
bpy,Bishnupriya Manipuri,0.069
ba,Bashkir language,0.069
iu,Inuktitut,0.066
hyw,Western Armenian,0.065
chr,Cherokee,0.062
te,Telugu,0.059
bg,Bulgarian,0.058
wuu,Wu Chinese,0.058
kn,Kannada,0.057
kk,Kazakh,0.057
kbp,Kabiye,0.055
zh-sg,Singaporean Mandarin,0.054
sr-ec,Serbian written in Cyrillic,0.053
kk-arab,Kazakh Arabic alphabets,0.05
gan-hans,simplified Gan,0.049
zh-my,Malaysian Mandarin,0.048
pnb,Western Punjabi,0.048
gan,Gan,0.047
mo,Moldovan,0.046
mr,Marathi,0.045
az,Azerbaijani,0.044
th,Thai,0.042
zh-hant,Traditional Chinese,0.042
ce,Chechen,0.038
ta,Tamil,0.037
sgs,Samogitian,0.035
ml,Malayalam,0.035
bn,Bengali,0.034
kk-cyrl,Kazakh in Cyrillic script,0.034
tg,Tajik,0.033
ar,Arabic,0.027
ur,Urdu,0.024
cr,Cree Wikiquote,0.023
crh,Crimean Tatar,0.023
yo,Yoruba,0.022
ku,Kurdish,0.021
am,Amharic,0.02
fa,Persian,0.02
kk-latn,Kazakh in Latin script,0.016
uz,Uzbek,0.014
ilo,Ilocano,0.013
tl,Tagalog,0.01
ku-latn,Kurdish in Latin script,0.01
cdo,Min Dong,0.01
nv,Navajo,0.009
ban,Balinese,0.009
tr,Turkish,0.008
de-ch,Swiss Standard German,0.008
sco,Scots,0.008
liv,Livonian,0.008
azb,South Azerbaijani,0.008
oc,Occitan,0.008
gl,Galician,0.007
lzh,Classical Chinese,0.007
ha,Hausa,0.007
hak,Hakka,0.007
rw,Kinyarwanda,0.007
sdc,Sassarese,0.007
de-at,Austrian German,0.007
cs,Czech,0.007
war,Waray,0.007
ny,Chewa,0.007
nys,Noongar,0.007
en-gb,British English,0.007
en-ca,Canadian English,0.007
sm,Samoan,0.007
vi,Vietnamese,0.007
sk,Slovak,0.007
smn,Inari Sami,0.007
rup,Aromanian,0.007
ki,Gikuyu,0.006
ms,Malay,0.006
sr-el,Serbian written in Latin script,0.006
bs,Bosnian,0.006
vro,Võro,0.006
atj,Atikamekw,0.006
jut,Jutlandic,0.006
scn,Sicilian,0.006
csb,Kashubian,0.006
kk-tr,Kazakh in Turkey,0.006
ro,Romanian,0.006
eu,Basque,0.006
aa,Afar,0.006
nl,Dutch,0.005
id,Indonesian,0.005
pt-br,Brazilian Portuguese,0.005
kr,Kanuri,0.005
pl,Polish,0.005
is,Icelandic,0.005
lv,Latvian,0.005
zu,Zulu,0.005
et,Estonian,0.005
eo,Esperanto,0.005
crh-latn,Crimean Tatar Latin alphabet,0.005
gag,Gagauz,0.005
hr,Croatian,0.005
ia,Interlingua,0.004
pms,Piedmontese,0.004
cps,Capiznon,0.004
se,Northern Sami,0.004
fr,French,0.004
sc,Sardinian,0.004
rm,Romansh,0.004
lij,Ligurian,0.004
li,Limburgish,0.004
szl,Silesian,0.004
fur,Friulian,0.004
lmo,Lombard,0.004
pcd,Picard,0.004
lt,Lithuanian,0.004
en,English,0.004
fi,Finnish,0.004
nap,Neapolitan,0.004
co,Corsican,0.004
gd,Scottish Gaelic,0.004
vec,Venetian,0.004
an,Aragonese,0.004
bbc,Toba Batak,0.004
hrx,Hunsrik,0.004
vls,West Flemish,0.004
avk,Kotava,0.004
br,Breton,0.004
wa,Walloon,0.004
kg,Kongo,0.004
bto,Rinconada Bikol,0.004
af,Afrikaans,0.004
nds-nl,Dutch Low Saxon,0.003
nn,Nynorsk,0.003
