language_code	language	script_entropy
ko	Korean	1.321
gom	Goan Konkani	1.17
ks	Kashmiri	1.168
ja	Japanese	1.166
ab	Abkhaz	1.024
uz-cyrl	Uzbek in Cyrillic script	1.0
bgn	Western Balochi	1.0
dz	Dzongkha	1.0
ti	Tigrinya	0.999
gan-hant	traditional Gan	0.983
as	Assamese	0.982
yue	Cantonese	0.962
inh	Ingush	0.961
lbe	Lak	0.952
av	Avaric	0.944
mdf	Moksha	0.934
tt-cyrl	Tatar in Cyrillic script	0.929
myv	Erzya	0.927
gom-deva	Goan Konkani in Devanagari script	0.921
kum	Kumyk	0.918
krc	Karachay-Balkar	0.913
koi	Permyak	0.901
ady	Adyghe	0.897
my	Burmese	0.889
ug-arab	Uyghur in Arabic script	0.882
kbd	Kabardian	0.878
arq	Algerian Arabic	0.873
shn	Shan	0.868
arc	Aramaic	0.865
awa	Awadhi	0.864
tcy	Tulu	0.855
tg-cyrl	Tajik in Cyrillic script	0.851
pnt	Pontic Greek	0.834
ryu	Okinawan	0.826
ug	Uyghur	0.813
sr	Serbian	0.766
dv	Dhivehi	0.758
pi	Pali	0.741
zgh	Standard Moroccan Berber	0.725
tyv	Tuvan	0.724
xal	Kalmyk Oirat	0.698
sah	Sakha	0.697
tzm	Central Atlas Tamazight	0.672
sat	Santali	0.634
grc	Ancient Greek	0.626
glk	Gilaki	0.612
bxr	Russia Buriat	0.593
mrj	Hill Mari	0.588
kv	Komi	0.575
sty	Siberian Tatar	0.544
shy	Shawiya	0.523
km	Khmer	0.518
udm	Udmurt	0.506
lrc	Northern Luri	0.499
mnw	Mon	0.474
ii	Nuosu	0.445
lez	Lezgian	0.418
mhr	Meadow Mari	0.414
dty	Doteli	0.411
mn	Mongolian	0.4
ota	Ottoman Turkish	0.398
os	Ossetian	0.39
aeb-arab	Tunisian Arabic in Arabic script	0.385
tt	Tatar	0.383
am	Amharic	0.369
sd	Sindhi	0.365
ku-arab	Kurdish in Arabic script	0.362
aeb	Tunisian Arabic	0.36
rue	Rusyn	0.351
crh-cyrl	Crimean Tatar in Cyrillic	0.341
lo	Lao	0.324
sa	Sanskrit	0.321
kk-kz	Kazakh in Kazakhstan	0.319
ary	Moroccan Arabic	0.312
xmf	Mingrelian	0.308
nod	Northern Thai	0.29
ps	Pashto	0.285
yi	Yiddish	0.273
ban-bali	Balinese in Balinese script	0.25
bho	Bhojpuri	0.244
zh-mo	Chinese in Macau	0.243
got	Gothic	0.222
ike-cans	Eastern Canadian (Aboriginal syllabics)	0.213
el	Greek	0.192
ks-arab	Kashmiri in Arabic script	0.192
ru	Russian	0.19
or	Odia	0.189
mzn	Mazanderani	0.186
mk	Macedonian	0.18
mai	Maithili	0.18
cu	Slavonic documents	0.177
kk-cn	Kazakh in China	0.176
si	Sinhala	0.173
ko-kp	North Korean standard language	0.168
uk	Ukrainian	0.163
sjd	Kildin Sami	0.162
kjp	Eastern Pwo	0.156
chr	Cherokee	0.151
hy	Armenian	0.148
be-tarask	Taraškievica	0.147
ka	მთავარი გვერდი	0.144
