language_code	language	script_entropy_before	script_entropy_after
ko	Korean	1.321	0.231
gom	Goan Konkani	1.17	0.31
ks	Kashmiri	1.168	0.448
ja	Japanese	1.166	1.045
ab	Abkhaz	1.024	0.0
dz	Dzongkha	1.0	0.0
bgn	Western Balochi	1.0	0.0
uz-cyrl	Uzbek in Cyrillic script	1.0	0.0
ti	Tigrinya	0.999	0.0
gan-hant	traditional Gan	0.983	0.023
as	Assamese	0.982	0.0
yue	Cantonese	0.962	0.962
inh	Ingush	0.961	0.0
lbe	Lak	0.952	0.0
av	Avaric	0.944	0.0
mdf	Moksha	0.934	0.0
tt-cyrl	Tatar in Cyrillic script	0.929	0.009
myv	Erzya	0.927	0.0
gom-deva	Goan Konkani in Devanagari script	0.921	0.0
kum	Kumyk	0.918	0.0
krc	Karachay-Balkar	0.913	0.0
koi	Permyak	0.901	0.0
ady	Adyghe	0.897	0.0
my	Burmese	0.889	0.0
ug-arab	Uyghur in Arabic script	0.882	0.0
kbd	Kabardian	0.878	0.0
arq	Algerian Arabic	0.873	0.0
shn	Shan	0.868	0.0
arc	Aramaic	0.865	0.0
awa	Awadhi	0.864	0.0
tcy	Tulu	0.855	0.0
tg-cyrl	Tajik in Cyrillic script	0.851	0.0
pnt	Pontic Greek	0.834	0.023
ryu	Okinawan	0.826	0.971
ug	Uyghur	0.813	0.813
sr	Serbian	0.766	0.764
dv	Dhivehi	0.758	0.0
pi	Pali	0.741	0.0
zgh	Standard Moroccan Berber	0.725	0.0
tyv	Tuvan	0.724	0.018
xal	Kalmyk Oirat	0.698	0.0
sah	Sakha	0.697	0.0
tzm	Central Atlas Tamazight	0.672	0.0
sat	Santali	0.634	0.0
grc	Ancient Greek	0.626	0.008
glk	Gilaki	0.612	0.0
bxr	Russia Buriat	0.593	0.0
mrj	Hill Mari	0.588	0.0
kv	Komi	0.575	0.0
sty	Siberian Tatar	0.544	0.544
shy	Shawiya	0.523	0.0
km	Khmer	0.518	0.004
udm	Udmurt	0.506	0.0
lrc	Northern Luri	0.499	0.0
mnw	Mon	0.474	0.0
ii	Nuosu	0.445	0.0
lez	Lezgian	0.418	0.0
mhr	Meadow Mari	0.414	0.0
dty	Doteli	0.411	0.0
mn	Mongolian	0.4	0.015
ota	Ottoman Turkish	0.398	0.165
os	Ossetian	0.39	0.0
aeb-arab	Tunisian Arabic in Arabic script	0.385	0.0
tt	Tatar	0.383	0.38
sd	Sindhi	0.365	0.01
ku-arab	Kurdish in Arabic script	0.362	0.0
aeb	Tunisian Arabic	0.36	0.0
rue	Rusyn	0.351	0.0
crh-cyrl	Crimean Tatar in Cyrillic	0.341	0.0
lo	Lao	0.324	0.0
sa	Sanskrit	0.321	0.0
kk-kz	Kazakh in Kazakhstan	0.319	0.318
ary	Moroccan Arabic	0.312	0.003
xmf	Mingrelian	0.308	0.002
nod	Northern Thai	0.29	0.949
ps	Pashto	0.285	0.0
yi	Yiddish	0.273	0.031
ban-bali	Balinese in Balinese script	0.25	0.0
bho	Bhojpuri	0.244	0.244
zh-mo	Chinese in Macau	0.243	0.006
got	Gothic	0.222	0.0
ike-cans	Eastern Canadian (Aboriginal syllabics)	0.213	0.0
el	Greek	0.192	0.002
ks-arab	Kashmiri in Arabic script	0.192	0.0
ru	Russian	0.19	0.002
or	Odia	0.189	0.0
mzn	Mazanderani	0.186	0.0
mk	Macedonian	0.18	0.003
mai	Maithili	0.18	0.0
cu	Slavonic documents	0.177	0.0
kk-cn	Kazakh in China	0.176	0.0
si	Sinhala	0.173	0.001
ko-kp	North Korean standard language	0.168	0.65
uk	Ukrainian	0.163	0.002
sjd	Kildin Sami	0.162	0.162
kjp	Eastern Pwo	0.156	0.0
chr	Cherokee	0.151	0.035
hy	Armenian	0.148	0.001
be-tarask	Taraškievica	0.147	0.001
ka	მთავარი გვერდი	0.144	0.001
zh-hk	Chinese (Hong Kong)	0.142	0.005
cv	Chuvash	0.141	0.003
zh-tw	Taiwanese Mandarin	0.139	0.006
ckb	Sorani	0.137	0.0
khw	Khowar	0.133	0.0
iu	Inuktitut	0.132	0.0
anp	Angika	0.131	0.0
pa	Punjabi	0.13	0.008
zh	Chinese	0.129	0.008
he	Hebrew	0.128	0.01
ne	Nepali	0.127	0.0
hi	Hindi	0.127	0.0
zh-hans	Simplified Chinese	0.123	0.009
bqi	Bakhtiari	0.113	0.0
shi	Tashelhit	0.112	0.105
ks-deva	Kashmiri in Devanagari script	0.112	0.0
gu	Gujarati	0.111	0.0
bo	Tibetan	0.106	0.0
ky	Kyrgyz	0.103	0.001
zh-cn	Putonghua	0.101	0.01
new	Newar	0.101	0.0
be	Belarusian	0.101	0.001
sh	Serbo-Croatian	0.095	0.001
bg	Bulgarian	0.094	0.007
bpy	Bishnupriya Manipuri	0.093	0.0
te	Telugu	0.09	0.003
wuu	Wu Chinese	0.09	0.003
hyw	Western Armenian	0.088	0.004
ba	Bashkir	0.087	0.001
kn	Kannada	0.084	0.0
mo	Moldovan	0.08	0.079
gan-hans	simplified Gan	0.08	0.001
zh-sg	Singaporean Mandarin	0.08	0.004
zh-my	Malaysian Mandarin	0.078	0.002
gan	Gan	0.076	0.001
pnb	Western Punjabi	0.074	0.001
zh-hant	Traditional Chinese	0.07	0.006
trv	Seediq	0.067	0.0
mr	Marathi	0.066	0.0
sr-ec	Serbian written in Cyrillic	0.066	0.064
tly	Talysh	0.061	0.061
ur	Urdu	0.059	0.013
