language_code	language	script_entropy_before	script_entropy_after	script_entropy_difference
ko	Korean	1.321	0.412	-0.909
gom	Goan Konkani	1.17	0.31	-0.8599999999999999
ks	Kashmiri	1.168	0.448	-0.72
ja	Japanese	1.166	1.052	-0.11399999999999988
ab	Abkhaz	1.024	0.0	-1.024
uz-cyrl	Uzbek in Cyrillic script	1.0	0.0	-1.0
bgn	Western Balochi	1.0	0.0	-1.0
dz	Dzongkha	1.0	0.0	-1.0
ti	Tigrinya	0.999	0.0	-0.999
gan-hant	traditional Gan	0.983	0.023	-0.96
as	Assamese	0.982	0.0	-0.982
yue	Cantonese	0.962	0.962	0.0
inh	Ingush	0.961	0.0	-0.961
lbe	Lak	0.952	0.0	-0.952
av	Avaric	0.944	0.0	-0.944
mdf	Moksha	0.934	0.0	-0.934
tt-cyrl	Tatar in Cyrillic script	0.929	0.009	-0.92
myv	Erzya	0.927	0.0	-0.927
gom-deva	Goan Konkani in Devanagari script	0.921	0.0	-0.921
kum	Kumyk	0.918	0.0	-0.918
krc	Karachay-Balkar	0.913	0.0	-0.913
koi	Permyak	0.901	0.0	-0.901
ady	Adyghe	0.897	0.0	-0.897
my	Burmese	0.889	0.0	-0.889
ug-arab	Uyghur in Arabic script	0.882	0.0	-0.882
kbd	Kabardian	0.878	0.0	-0.878
arq	Algerian Arabic	0.873	0.0	-0.873
shn	Shan	0.868	0.0	-0.868
arc	Aramaic	0.865	0.0	-0.865
awa	Awadhi	0.864	0.0	-0.864
tcy	Tulu	0.855	0.0	-0.855
tg-cyrl	Tajik in Cyrillic script	0.851	0.0	-0.851
pnt	Pontic Greek	0.834	0.023	-0.8109999999999999
ryu	Okinawan	0.826	0.971	0.14500000000000002
ug	Uyghur	0.813	0.813	0.0
sr	Serbian	0.766	0.766	0.0
dv	Dhivehi	0.758	0.0	-0.758
pi	Pali	0.741	0.0	-0.741
zgh	Standard Moroccan Berber	0.725	0.0	-0.725
tyv	Tuvan	0.724	0.018	-0.706
xal	Kalmyk Oirat	0.698	0.0	-0.698
sah	Sakha	0.697	0.0	-0.697
tzm	Central Atlas Tamazight	0.672	0.0	-0.672
sat	Santali	0.634	0.0	-0.634
grc	Ancient Greek	0.626	0.008	-0.618
glk	Gilaki	0.612	0.0	-0.612
bxr	Russia Buriat	0.593	0.0	-0.593
mrj	Hill Mari	0.588	0.0	-0.588
kv	Komi	0.575	0.0	-0.575
sty	Siberian Tatar	0.544	0.544	0.0
shy	Shawiya	0.523	0.0	-0.523
km	Khmer	0.518	0.004	-0.514
udm	Udmurt	0.506	0.0	-0.506
lrc	Northern Luri	0.499	0.0	-0.499
mnw	Mon	0.474	0.0	-0.474
ii	Nuosu	0.445	0.0	-0.445
lez	Lezgian	0.418	0.0	-0.418
mhr	Meadow Mari	0.414	0.0	-0.414
dty	Doteli	0.411	0.0	-0.411
mn	Mongolian	0.4	0.016	-0.384
ota	Ottoman Turkish	0.398	0.165	-0.233
os	Ossetian	0.39	0.0	-0.39
aeb-arab	Tunisian Arabic in Arabic script	0.385	0.0	-0.385
tt	Tatar	0.383	0.381	-0.0020000000000000018
am	Amharic	0.369	0.023	-0.346
sd	Sindhi	0.365	0.01	-0.355
ku-arab	Kurdish in Arabic script	0.362	0.003	-0.359
aeb	Tunisian Arabic	0.36	0.0	-0.36
rue	Rusyn	0.351	0.0	-0.351
crh-cyrl	Crimean Tatar in Cyrillic	0.341	0.0	-0.341
lo	Lao	0.324	0.0	-0.324
sa	Sanskrit	0.321	0.0	-0.321
kk-kz	Kazakh in Kazakhstan	0.319	0.319	0.0
ary	Moroccan Arabic	0.312	0.003	-0.309
xmf	Mingrelian	0.308	0.002	-0.306
nod	Northern Thai	0.29	0.949	0.659
ps	Pashto	0.285	0.0	-0.285
yi	Yiddish	0.273	0.032	-0.24100000000000002
ban-bali	Balinese in Balinese script	0.25	0.0	-0.25
bho	Bhojpuri	0.244	0.244	0.0
zh-mo	Chinese in Macau	0.243	0.011	-0.23199999999999998
got	Gothic	0.222	0.0	-0.222
ike-cans	Eastern Canadian (Aboriginal syllabics)	0.213	0.0	-0.213
el	Greek	0.192	0.002	-0.19
ks-arab	Kashmiri in Arabic script	0.192	0.0	-0.192
ru	Russian	0.19	0.003	-0.187
or	Odia	0.189	0.0	-0.189
mzn	Mazanderani	0.186	0.0	-0.186
mk	Macedonian	0.18	0.006	-0.174
mai	Maithili	0.18	0.0	-0.18
cu	Slavonic documents	0.177	0.0	-0.177
kk-cn	Kazakh in China	0.176	0.0	-0.176
si	Sinhala	0.173	0.001	-0.172
ko-kp	North Korean standard language	0.168	0.65	0.482
uk	Ukrainian	0.163	0.003	-0.16
sjd	Kildin Sami	0.162	0.162	0.0
kjp	Eastern Pwo	0.156	0.0	-0.156
chr	Cherokee	0.151	0.035	-0.11599999999999999
hy	Armenian	0.148	0.001	-0.147
be-tarask	Taraškievica	0.147	0.002	-0.145
ka	მთავარი გვერდი	0.144	0.001	-0.143
zh-hk	Chinese (Hong Kong)	0.142	0.006	-0.13599999999999998
cv	Chuvash	0.141	0.003	-0.13799999999999998
zh-tw	Taiwanese Mandarin	0.139	0.008	-0.131
ckb	Sorani	0.137	0.0	-0.137
khw	Khowar	0.133	0.0	-0.133
iu	Inuktitut	0.132	0.0	-0.132
anp	Angika	0.131	0.0	-0.131
pa	Punjabi	0.13	0.008	-0.122
zh	Chinese	0.129	0.012	-0.117
he	Hebrew	0.128	0.012	-0.116
hi	Hindi	0.127	0.0	-0.127
ne	Nepali	0.127	0.0	-0.127
zh-hans	Simplified Chinese	0.123	0.012	-0.111
bqi	Bakhtiari	0.113	0.0	-0.113
ks-deva	Kashmiri in Devanagari script	0.112	0.0	-0.112
shi	Tashelhit	0.112	0.112	0.0
gu	Gujarati	0.111	0.0	-0.111
bo	Tibetan	0.106	0.0	-0.106
ky	Kyrgyz	0.103	0.001	-0.102
new	Newar	0.101	0.0	-0.101
zh-cn	Putonghua	0.101	0.014	-0.08700000000000001
be	Belarusian	0.101	0.002	-0.099
sh	Serbo-Croatian	0.095	0.003	-0.092
bg	Bulgarian	0.094	0.01	-0.084
bpy	Bishnupriya Manipuri	0.093	0.0	-0.093
wuu	Wu Chinese	0.09	0.004	-0.086
te	Telugu	0.09	0.004	-0.086
hyw	Western Armenian	0.088	0.004	-0.08399999999999999
ba	Bashkir	0.087	0.001	-0.086
kn	Kannada	0.084	0.0	-0.084
gan-hans	simplified Gan	0.08	0.003	-0.077
mo	Moldovan	0.08	0.08	0.0
zh-sg	Singaporean Mandarin	0.08	0.006	-0.074
zh-my	Malaysian Mandarin	0.078	0.004	-0.074
gan	Gan	0.076	0.003	-0.073
pnb	Western Punjabi	0.074	0.005	-0.06899999999999999
zh-hant	Traditional Chinese	0.07	0.009	-0.061000000000000006
trv	Seediq	0.067	0.0	-0.067
sr-ec	Serbian written in Cyrillic	0.066	0.066	0.0
mr	Marathi	0.066	0.0	-0.066
tly	Talysh	0.061	0.061	0.0
ur	Urdu	0.059	0.027	-0.032
cr	Cree	0.058	0.003	-0.055
kk	Kazakh	0.058	0.0	-0.058
th	Thai	0.058	0.002	-0.056
ml	Malayalam	0.056	0.004	-0.052000000000000005
krl	Karelian	0.055	0.046	-0.009000000000000001
tg	Tajik	0.055	0.055	0.0
niu	Niuean	0.055	0.045	-0.010000000000000002
rwr	Marwari	0.054	0.0	-0.054
ta	Tamil	0.053	0.004	-0.049
ruq-cyrl	Megleno-Romanian in Cyrillic script	0.051	0.0	-0.051
kk-arab	Kazakh in Arabic script	0.049	0.0	-0.049
kea	Cape Verdean Creole	0.048	0.04	-0.008
kri	Krio	0.048	0.04	-0.008
din	Dinka	0.047	0.034	-0.012999999999999998
srq	Sirionó	0.047	0.039	-0.008
az	Azerbaijani	0.046	0.01	-0.036
es-419	Latin American Spanish	0.046	0.017	-0.028999999999999998
ar	Arabic	0.043	0.003	-0.039999999999999994
