lang_code	language	orthography	observed_scripts	keep_these_scripts	is_subtag
aa	Afar	Latin	Common,Latin	Latin	FALSE
ab	Abkhaz	Cyrillic	Cyrillic	Cyrillic	FALSE
abe	Abenaki	Latin			FALSE
abq	Abaza	Cyrillic			FALSE
abs	Ambonese	Latin	Latin	Latin	FALSE
ace	Acehnese	Latin	Common,Latin	Latin	FALSE
adx	Amdo Tibetan	Tibetan			FALSE
ady	Adyghe	Cyrillic	Cyrillic	Cyrillic	FALSE
ady-cyrl	Adyghe in Cyrillic script	Cyrillic	Latin	Cyrillic	TRUE
aeb	Tunisian Arabic	Arabic	Arabic	Arabic	FALSE
aeb-arab	Tunisian Arabic in Arabic script	Arabic	Arabic	Arabic	TRUE
aeb-latn	Tunisian Arabic in Latin script	Latin	Common,Latin	Latin	TRUE
af	Afrikaans	Latin	Common,Latin	Latin	FALSE
agq	Aghem	Latin	Latin	Latin	FALSE
ak	Akan	Latin	Common,Latin	Latin	FALSE
akl	Aklan	Latin			FALSE
akz	Alabama	Latin			FALSE
aln	Gheg Albanian	Latin	Common,Latin	Latin	FALSE
als	Swiss German	Latin	Latin	Latin	FALSE
alt	Altai	Cyrillic	Cyrillic	Cyrillic	FALSE
am	Amharic	Ge'ez	Common,Ethiopic	FIXME	FALSE
ami	Amis	Latin	Latin	Latin	FALSE
an	Aragonese	Latin	Common,Latin	Latin	FALSE
ang	Old English	Latin	Common,Latin	Latin	FALSE
anp	Angika	Tirhuta	Devanagari	Tirhuta,Devanagari	FALSE
aoc	Pemon	Latin			FALSE
ar	Arabic	Arabic	Arabic,Common,Latin	Arabic	FALSE
arc	Aramaic	Aramaic	Syriac	Syriac,Aramaic	FALSE
arn	Mapudungun	Latin	Common,Latin	Latin	FALSE
arq	Algerian Arabic	Arabic	Arabic	Arabic	FALSE
ary	Moroccan Arabic	Arabic	Arabic,Common	Arabic	FALSE
arz	Egyptian Arabic	Arabic	Arabic,Common	Arabic	FALSE
as	Assamese	Assamese	Bengali	Bengali	FALSE
ase	American Sign Language	Latin	Latin	Latin	FALSE
ast	Asturian	Latin	Common,Latin	Latin	FALSE
atj	Atikamekw	Latin	Common,Latin	Latin	FALSE
av	Avaric	Cyrillic	Cyrillic	Cyrillic	FALSE
avk	Kotava	Latin	Common,Latin	Latin	FALSE
awa	Awadhi	Devanagari	Devanagari	Devanagari	FALSE
ay	Aymara	Latin	Common,Latin	Latin	FALSE
az	Azerbaijani	Latin	Common,Latin	Latin	FALSE
az-cyrl	Azerbaijani in Cyrillic	Cyrillic			TRUE
azb	South Azerbaijani	Arabic	Arabic,Common	Aarabic	FALSE
