lang_code	scripts
ab	Cyrillic
abs	Latin
aa	Common,Latin
ady-cyrl	Latin
ady	Cyrillic
aeb-arab	Arabic
aeb-latn	Common,Latin
aeb	Arabic
agq	Latin
als	Latin
alt	Cyrillic
ak	Common,Latin
ami	Latin
aln	Common,Latin
am	Common,Ethiopic
anp	Devanagari
ace	Common,Latin
arc	Syriac
arq	Arabic
ang	Common,Latin
arn	Common,Latin
ary	Arabic,Common
ase	Latin
as	Bengali
atj	Common,Latin
avk	Common,Latin
av	Cyrillic
awa	Devanagari
bag	Latin
ban-bali	Balinese
ay	Common,Latin
ban	Common,Latin
bas	Latin
bax	Latin
bbc-latn	Common,Latin
bbc	Common,Latin
bbj	Latin
ba	Common,Cyrillic
bcc	Common,Latin
az	Common,Latin
be-x-old	Cyrillic
bgn	Arabic
bcl	Common,Latin
af	Common,Latin
bho	Common,Devanagari
bh	Devanagari
bkc	Latin
bkh	Latin
be-tarask	Common,Cyrillic
bi	Common,Latin
bkm	Latin
bqi	Arabic
an	Common,Latin
bo	Tibetan
bjn	Common,Latin
bpy	Bengali
azb	Arabic,Common
brh	Common,Latin
btm	Latin
be	Common,Cyrillic
bto	Common,Latin
bxr	Cyrillic
bm	Common,Latin
bug	Common,Latin
cbk-zam	Common,Latin
cdo	Common,Latin
chr	Cherokee,Common
cho	Common,Latin
bs	Common,Latin
ch	Common,Latin
chy	Common,Latin
ckb	Arabic
cps	Common,Latin
crh-cyrl	Cyrillic
bar	Common,Latin
bg	Common,Cyrillic
crh	Common,Latin
crh-latn	Common,Latin
cr	Common,Latin
cu	Cyrillic
cv	Common,Cyrillic,Latin
dag	Latin
csb	Common,Latin
de-formal	Latin
bn	Bengali
din	Common,Latin
ce	Common,Cyrillic
dty	Devanagari
dua	Latin
dv	Thaana
dtp	Common,Latin
dz	Tibetan
egl	Common,Latin
diq	Common,Latin
br	Common,Latin
dsb	Common,Latin
ee	Common,Latin
en-us	Latin
es-419	Common,Latin
eml	Common,Latin
es-formal	Latin
eto	Latin
ewo	Latin
ext	Common,Latin
co	Common,Latin
fkv	Latin
ff	Common,Latin
fit	Common,Latin
fmp	Latin
fj	Common,Latin
de-at	Common,Latin
gan-hant	Common,Han
gag	Common,Latin
gan-hans	Common,Han
gcr	Latin
de-ch	Common,Latin
el	Common,Greek,Latin
gan	Common,Han
glk	Arabic
fo	Common,Latin
frc	Common,Latin
fy	Common,Latin
frr	Common,Latin
gom-deva	Devanagari
gom-latn	Common,Latin
gn	Common,Latin
gom	Devanagari,Kannada,Latin
got	Gothic,Latin
ar	Arabic,Common,Latin
grc	Common,Greek,Latin
gor	Common,Latin
guc	Latin
gur	Latin
arz	Arabic,Common
frp	Common,Latin
gu	Gujarati
hak	Common,Latin
gv	Common,Latin
haw	Common,Latin
fur	Common,Latin
ha	Common,Latin
hil	Common,Latin
hif-latn	Common,Latin
hif	Common,Latin
ho	Common,Latin
hrx	Common,Latin
hu-formal	Latin
et	Common,Latin
en-ca	Common,Latin
eo	Common,Latin
hyw	Armenian,Common
hi	Common,Devanagari
hz	Common,Latin
gd	Common,Latin
ii	Yi
ht	Common,Latin
ike-cans	Canadian_Aboriginal
hsb	Common,Latin
ig	Common,Latin
cy	Common,Latin
inh	Cyrillic
ike-latn	Common,Latin
ik	Common,Latin
ilo	Common,Latin
iu	Canadian_Aboriginal
en-gb	Common,Latin
gsw	Common,Latin
he	Common,Hebrew
jbo	Common,Latin
kaa	Common,Latin
jut	Common,Latin
kbd-cyrl	Latin
kbd	Cyrillic
fa	Arabic,Common
kbp	Common,Latin
kcg	Latin
kea	Common,Latin
eu	Common,Latin
ie	Common,Latin
jam	Common,Latin
khw	Arabic
ia	Common,Latin
hy	Armenian,Common
kiu	Common,Latin
kjp	Myanmar
ka	Common,Georgian,Latin
ki	Common,Latin
kab	Common,Latin
kk-cn	Arabic
kj	Common,Latin
is	Common,Latin
jv	Common,Latin
kk-arab	Arabic
kk-kz	Cyrillic
km	Common,Khmer
io	Common,Latin
kk-cyrl	Cyrillic
hr	Common,Latin
koi	Cyrillic
ko-kp	Common,Hangul
kk-tr	Common,Latin
ko	Common,Hangul,Latin
kk-latn	Common,Latin
kn	Kannada
krc	Cyrillic
kri	Common,Latin
krl	Common,Latin
ks-arab	Arabic
krj	Common,Latin
ks-deva	Latin
kr	Common,Latin
kl	Common,Latin
ks	Arabic,Devanagari
ku-arab	Arabic,Common
kk	Common,Cyrillic
kum	Cyrillic
kg	Common,Latin
ksh	Common,Latin
kv	Cyrillic
ku-latn	Common,Latin
cs	Common,Latin
lbe	Cyrillic
kw	Common,Latin
ku	Common,Latin
ky	Common,Cyrillic
lez	Cyrillic
lad	Common,Latin
lg	Common,Latin
liv	Common,Latin
lfn	Common,Latin
lki	Common,Latin
lld	Latin
gl	Common,Latin
lo	Lao
lrc	Arabic
ln	Common,Latin
loz	Common,Latin
la	Common,Latin
ltg	Common,Latin
luz	Common,Latin
lus	Common,Latin
lmo	Common,Latin
mad	Latin
lzz	Common,Latin
mai	Devanagari
mcn	Latin
id	Common,Latin
mdf	Cyrillic
mhr	Cyrillic
ceb	Common,Latin
lij	Common,Latin
map-bms	Common,Latin
mh	Common,Latin
mni	Meetei_Mayek
mnw	Myanmar
mn	Common,Cyrillic,Latin,Mongolian
mi	Common,Latin
mrj	Cyrillic
li	Common,Latin
mk	Common,Cyrillic
mo	Common,Latin
ms-arab	Arabic
ml	Common,Malayalam
mr	Devanagari
my	Myanmar
myv	Cyrillic
lv	Common,Latin
mus	Common,Latin
lb	Common,Latin
mwl	Common,Latin
mzn	Arabic
nan-hani	Han
mt	Common,Latin
nah	Common,Latin
na	Common,Latin
lzh	Common,Han
ne	Devanagari
new	Devanagari
nia	Latin
niu	Common,Latin
nl-informal	Latin
ng	Common,Latin
lt	Common,Latin
mg	Common,Latin
nod	Tai_Tham,Thai
no	Latin
nqo	Nko
nov	Common,Latin
min	Common,Latin
nso	Common,Latin
nys	Common,Latin
nv	Common,Latin
fi	Common,Latin
olo	Common,Latin
ny	Common,Latin
or	Oriya
os	Cyrillic
